,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
1,上海市,04-01 12:00,Ⅲ,17.3,7.99,8.64,861.9,67.3,5.81,0.097,0.065,1.67
2,上海市,04-01 12:00,Ⅲ,17.3,7.99,8.64,861.9,67.3,5.81,0.097,0.065,1.67
3,上海市,04-01 16:00,Ⅲ,17.4,7.97,8.38,895.4,104.5,5.63,0.09,0.057,1.54
4,上海市,04-01 20:00,Ⅳ,17.2,7.91,8.01,872.3,61.0,6.19,0.099,0.055,1.49
5,上海市,04-01 20:00,Ⅳ,17.2,7.91,8.01,872.3,61.0,6.19,0.099,0.055,1.49
6,上海市,04-02 04:00,Ⅲ,17.0,7.87,7.51,841.5,76.1,5.79,0.071,0.06,1.4
7,上海市,04-02 08:00,Ⅲ,17.1,7.89,7.6,826.0,72.9,5.61,0.053,0.052,1.34
8,上海市,04-02 12:00,Ⅳ,17.6,7.92,7.93,801.5,823.6,6.82,0.048,0.075,1.52
9,上海市,04-02 16:00,Ⅲ,17.8,7.92,7.94,797.7,76.9,5.33,0.044,0.068,1.57
10,上海市,04-02 20:00,Ⅲ,17.6,7.84,7.46,808.2,131.3,5.48,0.048,0.065,1.6
11,上海市,04-02 20:00,Ⅲ,17.6,7.84,7.46,808.2,131.3,5.48,0.048,0.065,1.6
16,上海市,04-03 20:00,Ⅲ,17.0,7.76,7.76,698.8,138.0,5.26,0.051,0.062,1.8
17,上海市,04-03 20:00,Ⅲ,17.0,7.76,7.76,698.8,138.0,5.26,0.051,0.062,1.8
21,上海市,04-05 08:00,Ⅲ,16.3,7.8,8.43,865.7,127.3,4.52,0.036,0.107,2.0
22,上海市,04-05 12:00,Ⅲ,19.0,7.89,9.33,892.3,39.3,4.74,0.028,0.076,1.52
23,上海市,04-05 16:00,Ⅲ,19.7,8.08,10.52,882.3,39.6,4.63,0.025,0.065,1.54
24,上海市,04-01 04:00,Ⅲ,15.8,8.29,9.1,380.9,78.8,1.99,0.031,0.104,2.47
25,上海市,04-01 12:00,Ⅱ,16.2,8.28,8.95,379.5,58.4,1.7,0.084,0.1,2.28
26,上海市,04-01 12:00,Ⅱ,16.2,8.28,8.95,379.5,58.4,1.7,0.084,0.1,2.28
27,上海市,04-01 16:00,Ⅱ,16.4,8.3,8.88,384.2,57.3,1.52,0.092,0.098,2.4
28,上海市,04-01 20:00,Ⅲ,15.9,8.07,7.52,416.9,87.7,2.15,0.425,0.15,3.2
29,上海市,04-01 20:00,Ⅲ,15.9,8.07,7.52,416.9,87.7,2.15,0.425,0.15,3.2
30,上海市,04-02 04:00,Ⅱ,16.2,8.24,8.68,386.4,54.2,1.99,0.036,0.1,2.13
31,上海市,04-02 08:00,Ⅲ,16.1,8.17,8.34,395.2,82.5,2.11,0.064,0.126,2.36
32,上海市,04-02 12:00,Ⅱ,16.4,8.14,8.18,398.9,63.7,1.95,0.085,0.087,2.39
33,上海市,04-02 16:00,Ⅲ,16.9,8.16,8.18,397.2,79.9,1.84,0.065,0.125,0.64
34,上海市,04-02 20:00,Ⅲ,16.7,8.07,7.4,490.0,136.3,2.6,0.4,0.181,3.48
35,上海市,04-02 20:00,Ⅲ,16.7,8.07,7.4,490.0,136.3,2.6,0.4,0.181,3.48
36,上海市,04-03 04:00,Ⅲ,16.4,8.15,8.16,444.9,88.4,2.1,0.052,0.12,2.58
37,上海市,04-03 08:00,Ⅲ,16.3,8.14,8.2,435.2,81.2,1.85,0.072,0.114,2.58
38,上海市,04-03 12:00,Ⅲ,16.5,8.17,8.34,438.1,86.2,1.9,0.062,0.12,2.61
39,上海市,04-03 16:00,Ⅲ,16.5,8.18,8.36,496.4,91.1,1.67,0.08,0.121,2.78
40,上海市,04-03 20:00,Ⅲ,16.2,8.19,8.52,490.4,94.1,2.24,0.063,0.122,2.77
41,上海市,04-03 20:00,Ⅲ,16.2,8.19,8.52,490.4,94.1,2.24,0.063,0.122,2.77
43,上海市,04-04 04:00,Ⅲ,15.6,8.2,8.6,477.3,71.7,1.82,0.069,0.106,2.53
44,上海市,04-04 12:00,Ⅲ,15.9,8.22,8.76,498.7,73.8,1.74,0.081,0.111,2.51
45,上海市,04-04 16:00,Ⅲ,16.6,8.25,8.7,509.5,69.7,1.66,0.066,0.107,2.49
46,上海市,04-04 20:00,Ⅲ,16.3,8.27,8.78,511.4,83.9,2.21,0.079,0.113,2.54
47,上海市,04-04 20:00,Ⅲ,16.3,8.27,8.78,511.4,83.9,2.21,0.079,0.113,2.54
48,上海市,04-05 04:00,Ⅱ,15.3,8.26,8.93,479.1,50.2,1.36,0.062,0.093,2.35
49,上海市,04-05 08:00,Ⅱ,15.0,8.26,8.97,483.7,59.2,1.61,0.083,0.099,2.36
51,上海市,04-05 16:00,Ⅱ,16.5,8.28,8.68,491.4,57.4,2.25,0.061,0.096,2.5
52,上海市,04-01 04:00,Ⅱ,15.8,7.61,9.12,1633.4,73.4,2.84,0.05,0.078,2.25
