,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,云南省,04-01 04:00,Ⅱ,18.0,7.8,6.46,534.7,0.6,2.56,0.025,0.028,5.0
1,云南省,04-01 12:00,Ⅱ,18.5,8.03,8.94,550.4,2.7,2.64,0.025,0.027,5.13
2,云南省,04-01 12:00,Ⅱ,18.5,8.03,8.94,550.4,2.7,2.64,0.025,0.027,5.13
3,云南省,04-01 16:00,Ⅱ,18.8,8.22,10.12,540.5,21.5,2.69,0.025,0.027,5.14
4,云南省,04-01 20:00,Ⅱ,18.6,8.14,8.53,524.0,3.3,2.56,0.025,0.028,5.06
5,云南省,04-01 20:00,Ⅱ,18.6,8.14,8.53,524.0,3.3,2.56,0.025,0.028,5.06
6,云南省,04-02 04:00,Ⅱ,17.9,7.71,6.41,517.4,1.9,2.53,0.025,0.029,4.84
7,云南省,04-02 08:00,Ⅱ,17.4,7.98,8.38,508.0,3.7,2.47,0.025,0.029,4.8
8,云南省,04-02 12:00,Ⅱ,17.7,7.57,6.34,517.3,0.7,2.44,0.025,0.027,4.8
9,云南省,04-02 16:00,Ⅱ,17.6,7.69,7.45,484.9,2.4,2.42,0.025,0.028,4.66
10,云南省,04-02 20:00,Ⅱ,16.8,7.92,7.75,461.0,1.6,2.21,0.025,0.027,4.45
11,云南省,04-02 20:00,Ⅱ,16.8,7.92,7.75,461.0,1.6,2.21,0.025,0.027,4.45
12,云南省,04-03 04:00,Ⅱ,16.9,8.14,8.06,462.2,1.6,1.9,0.025,0.027,4.15
13,云南省,04-03 08:00,Ⅱ,16.4,7.93,7.26,458.8,1.7,1.83,0.025,0.027,4.01
14,云南省,04-03 12:00,Ⅱ,16.6,7.82,7.55,469.3,1.0,1.74,0.025,0.026,3.97
15,云南省,04-03 16:00,Ⅱ,17.7,7.92,9.06,465.0,12.7,1.85,0.025,0.026,3.89
16,云南省,04-03 20:00,Ⅱ,17.1,7.89,7.86,464.4,16.4,1.72,0.025,0.025,3.86
17,云南省,04-03 20:00,Ⅱ,17.1,7.89,7.86,464.4,16.4,1.72,0.025,0.025,3.86
19,云南省,04-04 04:00,Ⅱ,16.7,8.0,7.96,461.6,2.1,1.71,0.025,0.025,3.83
20,云南省,04-04 12:00,Ⅱ,17.5,8.05,7.84,463.7,1.9,1.65,0.025,0.024,3.76
21,云南省,04-04 16:00,Ⅱ,17.4,7.95,8.65,467.6,33.1,2.11,0.025,0.025,3.75
22,云南省,04-04 20:00,Ⅱ,16.8,7.81,7.53,471.6,172.4,2.04,0.029,0.023,3.75
23,云南省,04-04 20:00,Ⅱ,16.8,7.81,7.53,471.6,172.4,2.04,0.029,0.023,3.75
24,云南省,04-05 04:00,Ⅱ,15.9,7.86,7.85,467.2,481.3,1.9,0.033,0.023,3.77
25,云南省,04-05 08:00,Ⅱ,15.8,7.98,8.18,466.0,263.8,1.81,0.025,0.022,3.79
26,云南省,04-05 12:00,Ⅱ,16.1,8.03,8.79,468.6,65.2,1.76,0.025,0.022,3.73
27,云南省,04-05 16:00,Ⅱ,16.0,8.01,8.98,469.0,37.7,1.71,0.025,0.022,3.71
28,云南省,04-01 04:00,Ⅳ,17.6,8.13,4.91,769.6,2.6,5.16,0.025,0.133,4.4
29,云南省,04-01 12:00,Ⅲ,18.7,8.56,9.82,803.4,2.4,4.74,0.025,0.094,4.64
30,云南省,04-01 16:00,Ⅲ,19.7,8.83,12.87,768.0,2.2,4.74,0.025,0.094,4.64
31,云南省,04-01 20:00,Ⅲ,18.6,8.35,7.94,773.6,2.3,4.92,0.025,0.089,4.61
32,云南省,04-02 00:00,Ⅲ,18.1,8.13,7.31,781.7,4.5,5.0,0.025,0.082,4.4
33,云南省,04-02 00:00,Ⅲ,18.1,8.13,7.31,781.7,4.5,5.0,0.025,0.082,4.4
34,云南省,04-02 08:00,Ⅴ,16.4,7.84,4.62,803.1,2.4,11.02,0.025,0.129,4.61
35,云南省,04-02 12:00,Ⅲ,18.5,8.48,8.68,802.5,19.3,5.06,0.027,0.097,4.3
36,云南省,04-02 16:00,Ⅲ,20.1,8.67,8.11,806.6,2.6,5.82,0.066,0.126,4.59
37,云南省,04-02 20:00,Ⅲ,19.9,8.24,8.8,796.2,3.5,5.31,0.025,0.101,6.42
38,云南省,04-03 00:00,Ⅲ,18.5,7.69,5.19,790.9,3.4,5.59,0.025,0.094,6.27
39,云南省,04-03 00:00,Ⅲ,18.5,7.69,5.19,790.9,3.4,5.59,0.025,0.094,6.27
40,云南省,04-03 08:00,Ⅴ,16.9,7.51,5.32,822.5,3.6,10.84,0.106,0.145,5.44
41,云南省,04-03 12:00,Ⅲ,18.6,7.95,8.94,811.4,2.5,4.98,0.034,0.105,4.96
42,云南省,04-03 16:00,Ⅲ,22.3,8.4,13.6,776.6,2.6,4.89,0.025,0.102,5.72
43,云南省,04-03 20:00,Ⅲ,21.8,8.28,10.1,763.6,3.5,5.26,0.025,0.096,6.3
44,云南省,04-04 00:00,Ⅲ,20.9,7.93,6.33,754.1,3.7,5.33,0.025,0.092,6.07
45,云南省,04-04 00:00,Ⅲ,20.9,7.93,6.33,754.1,3.7,5.33,0.025,0.092,6.07
48,云南省,04-04 12:00,Ⅲ,18.0,7.53,5.91,794.0,3.1,5.12,0.025,0.095,6.79
49,云南省,04-04 16:00,Ⅲ,18.6,8.01,8.79,788.8,2.6,5.18,0.025,0.092,7.21
50,云南省,04-04 20:00,Ⅲ,18.4,7.99,7.71,794.4,2.6,5.31,0.025,0.083,6.67
51,云南省,04-05 00:00,Ⅲ,17.8,7.87,5.97,787.7,2.9,5.31,0.025,0.083,6.67
52,云南省,04-05 04:00,Ⅳ,17.2,7.63,4.88,779.4,2.9,5.09,0.036,0.126,7.01
