,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,内蒙古自治区,04-01 08:00,Ⅱ,2.6,7.96,11.62,202.6,39.9,1.93,0.025,0.03,1.77
1,内蒙古自治区,04-01 12:00,Ⅱ,3.2,7.94,11.8,200.8,40.9,1.81,0.025,0.028,1.8
2,内蒙古自治区,04-01 12:00,Ⅱ,3.2,7.94,11.8,200.8,40.9,1.81,0.025,0.028,1.8
3,内蒙古自治区,04-01 16:00,Ⅱ,3.4,7.95,11.97,200.0,46.4,1.95,0.025,0.032,1.69
4,内蒙古自治区,04-01 20:00,Ⅱ,3.0,7.98,12.0,198.6,47.4,1.96,0.025,0.035,1.64
5,内蒙古自治区,04-02 00:00,Ⅱ,2.4,8.05,12.2,192.1,56.5,2.43,0.027,0.043,1.56
6,内蒙古自治区,04-02 04:00,Ⅱ,2.3,8.06,12.2,189.1,59.5,2.37,0.027,0.044,1.39
7,内蒙古自治区,04-02 08:00,Ⅱ,2.4,8.03,11.95,189.7,54.8,2.42,0.029,0.04,1.51
8,内蒙古自治区,04-02 12:00,Ⅱ,2.5,8.01,12.02,185.5,54.7,2.48,0.034,0.048,1.83
9,内蒙古自治区,04-02 16:00,Ⅱ,3.0,8.05,11.96,187.3,55.3,2.46,0.033,0.05,1.72
10,内蒙古自治区,04-02 20:00,Ⅱ,3.2,8.02,11.96,189.9,51.9,2.37,0.033,0.049,1.75
11,内蒙古自治区,04-03 00:00,Ⅱ,2.1,8.06,12.2,185.1,69.2,2.75,0.044,0.06,1.62
12,内蒙古自治区,04-03 04:00,Ⅱ,3.0,7.96,11.59,198.8,47.2,2.13,0.033,0.054,1.79
13,内蒙古自治区,04-03 08:00,Ⅱ,3.3,7.88,11.19,210.1,39.4,1.69,0.025,0.044,2.02
14,内蒙古自治区,04-03 12:00,Ⅱ,2.9,7.91,11.51,200.0,52.1,2.13,0.031,0.05,1.8
15,内蒙古自治区,04-03 16:00,Ⅱ,2.9,8.11,12.38,180.9,90.4,3.49,0.04,0.079,1.2
16,内蒙古自治区,04-03 20:00,Ⅱ,3.5,8.03,11.95,198.4,54.6,2.35,0.033,0.063,1.65
17,内蒙古自治区,04-04 00:00,Ⅱ,2.6,8.08,12.14,185.6,62.8,2.78,0.047,0.062,1.52
19,内蒙古自治区,04-04 08:00,Ⅱ,2.5,8.0,11.81,192.0,50.1,2.28,0.04,0.057,1.77
20,内蒙古自治区,04-04 12:00,Ⅱ,3.2,7.97,11.9,189.2,47.9,2.27,0.04,0.047,1.76
21,内蒙古自治区,04-04 20:00,Ⅱ,3.4,8.06,12.2,186.2,59.5,2.85,0.042,0.063,1.48
22,内蒙古自治区,04-04 20:00,Ⅱ,3.4,8.06,12.2,186.2,59.5,2.7,0.037,0.063,1.5
23,内蒙古自治区,04-05 00:00,Ⅱ,3.2,8.07,12.15,185.5,59.5,2.7,0.037,0.063,1.5
24,内蒙古自治区,04-05 04:00,Ⅱ,3.3,8.03,11.83,188.9,52.0,2.39,0.036,0.053,1.65
25,内蒙古自治区,04-05 12:00,Ⅱ,3.4,8.05,11.98,183.8,48.8,2.3,0.039,0.048,1.74
26,内蒙古自治区,04-05 16:00,Ⅱ,3.8,8.11,12.19,180.8,55.4,2.06,0.038,0.048,1.72
27,内蒙古自治区,04-05 20:00,Ⅱ,3.9,8.09,12.1,183.5,53.5,2.53,0.038,0.055,1.53
31,内蒙古自治区,04-01 08:00,Ⅴ,2.8,6.8,11.01,62.2,21.4,10.37,0.202,0.074,1.95
32,内蒙古自治区,04-01 12:00,Ⅳ,2.4,6.81,11.1,60.8,23.7,10.0,0.155,0.066,1.44
33,内蒙古自治区,04-01 16:00,Ⅳ,3.1,6.82,11.28,59.2,24.3,10.0,0.155,0.066,1.44
34,内蒙古自治区,04-01 20:00,Ⅳ,4.0,6.84,11.45,58.1,22.7,9.93,0.146,0.071,1.45
35,内蒙古自治区,04-02 00:00,Ⅳ,2.8,6.84,11.38,58.3,23.8,9.68,0.131,0.067,1.61
36,内蒙古自治区,04-02 04:00,Ⅳ,2.8,6.81,11.25,57.8,23.5,9.68,0.131,0.067,1.61
37,内蒙古自治区,04-02 08:00,Ⅳ,3.4,6.81,11.28,56.4,21.9,9.93,0.119,0.066,1.35
38,内蒙古自治区,04-02 12:00,Ⅴ,2.0,6.81,11.21,55.5,20.1,10.01,0.117,0.064,1.33
39,内蒙古自治区,04-02 16:00,Ⅳ,2.9,6.81,11.36,55.4,17.7,9.6,0.103,0.064,1.33
40,内蒙古自治区,04-02 20:00,Ⅳ,3.8,6.82,11.67,54.6,20.2,8.86,0.108,0.058,1.15
41,内蒙古自治区,04-03 00:00,Ⅳ,2.6,6.83,11.53,55.3,20.4,9.03,0.106,0.062,1.14
42,内蒙古自治区,04-03 04:00,Ⅳ,3.4,6.82,11.63,54.8,16.5,9.03,0.106,0.062,1.14
43,内蒙古自治区,04-03 08:00,Ⅳ,3.7,6.8,11.61,54.7,13.3,8.83,0.112,0.057,1.13
44,内蒙古自治区,04-03 12:00,Ⅳ,2.1,6.82,11.46,53.7,13.9,8.29,0.113,0.052,1.13
45,内蒙古自治区,04-03 16:00,Ⅳ,2.9,6.87,11.84,53.1,12.6,7.79,0.107,0.05,0.99
46,内蒙古自治区,04-03 20:00,Ⅳ,3.8,6.88,11.96,53.4,15.9,7.62,0.105,0.05,1.01
47,内蒙古自治区,04-04 00:00,Ⅳ,2.5,6.85,11.81,54.5,15.1,7.82,0.103,0.052,1.01
48,内蒙古自治区,04-04 04:00,Ⅳ,2.4,6.82,11.52,53.7,13.6,7.82,0.103,0.052,1.01
51,内蒙古自治区,04-04 12:00,Ⅳ,2.3,6.83,11.5,53.7,12.8,6.94,0.126,0.046,1.02
52,内蒙古自治区,04-04 20:00,Ⅳ,4.0,6.85,11.73,52.5,12.1,6.64,0.139,0.045,1.0
53,内蒙古自治区,04-04 20:00,Ⅳ,4.0,6.85,11.73,52.5,12.1,6.98,0.132,0.047,0.99
54,内蒙古自治区,04-05 00:00,Ⅳ,2.6,6.85,11.66,52.9,14.5,6.98,0.132,0.047,0.99
55,内蒙古自治区,04-05 04:00,Ⅳ,3.5,6.81,11.53,51.5,15.0,6.92,0.109,0.049,0.9
56,内蒙古自治区,04-05 12:00,Ⅳ,2.2,6.84,11.35,51.6,14.0,6.63,0.109,0.044,0.9
58,内蒙古自治区,04-05 20:00,Ⅳ,3.4,6.88,11.76,50.7,12.0,6.2,0.094,0.051,1.07
59,内蒙古自治区,04-01 04:00,Ⅱ,8.7,8.48,9.66,965.2,73.4,0.25,0.255,0.026,2.65
60,内蒙古自治区,04-01 12:00,Ⅱ,9.5,8.48,10.14,967.4,56.6,0.25,0.201,0.029,2.57
61,内蒙古自治区,04-01 12:00,Ⅱ,9.5,8.48,10.14,967.4,56.6,0.25,0.201,0.029,2.57
62,内蒙古自治区,04-01 16:00,Ⅱ,14.0,8.44,9.16,978.8,48.2,0.27,0.16,0.024,2.54
63,内蒙古自治区,04-01 20:00,Ⅱ,12.0,8.48,9.08,979.7,41.2,0.25,0.157,0.023,2.51
