,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,北京市,04-01 08:00,Ⅲ,14.6,7.75,5.7,731.2,36.4,5.54,0.139,0.084,4.46
1,北京市,04-01 12:00,Ⅲ,14.5,7.73,5.5,730.9,35.3,5.67,0.154,0.086,4.38
2,北京市,04-01 16:00,Ⅲ,14.7,7.8,6.73,730.8,25.4,5.67,0.154,0.086,4.38
3,北京市,04-01 20:00,Ⅲ,14.5,7.74,5.63,728.8,24.4,5.62,0.118,0.072,4.28
4,北京市,04-02 00:00,Ⅲ,14.7,7.79,6.69,727.6,22.4,5.81,0.139,0.08,4.3
5,北京市,04-02 04:00,Ⅲ,14.8,7.83,6.93,727.8,13.9,5.81,0.139,0.08,4.3
6,北京市,04-02 08:00,Ⅲ,14.7,7.8,6.54,727.6,18.2,5.43,0.081,0.067,4.21
7,北京市,04-02 12:00,Ⅲ,14.8,7.78,6.41,725.2,33.2,5.4,0.096,0.067,4.29
8,北京市,04-02 16:00,Ⅲ,14.7,7.71,5.18,724.2,23.5,5.56,0.134,0.075,4.44
9,北京市,04-02 20:00,Ⅲ,14.9,7.74,5.72,726.1,17.9,5.26,0.151,0.075,4.18
10,北京市,04-03 00:00,Ⅲ,15.2,7.77,6.35,726.4,22.1,5.3,0.121,0.066,4.21
11,北京市,04-03 04:00,Ⅲ,15.0,7.74,5.95,727.0,13.7,5.3,0.121,0.066,4.21
12,北京市,04-03 08:00,Ⅲ,14.8,7.71,5.44,727.3,16.7,5.13,0.116,0.068,4.32
13,北京市,04-03 12:00,Ⅲ,14.8,7.69,5.03,724.0,14.6,5.09,0.127,0.063,4.29
14,北京市,04-03 16:00,Ⅲ,15.0,7.75,5.94,725.7,12.9,4.93,0.154,0.06,4.12
15,北京市,04-03 20:00,Ⅲ,15.2,7.73,6.07,729.0,13.7,4.93,0.139,0.059,4.07
16,北京市,04-04 00:00,Ⅲ,15.1,7.74,5.93,739.6,12.0,5.18,0.132,0.071,4.18
17,北京市,04-04 04:00,Ⅲ,14.9,7.73,5.8,745.7,11.6,5.18,0.132,0.071,4.18
19,北京市,04-04 08:00,Ⅲ,14.8,7.72,5.63,750.4,12.4,4.96,0.118,0.064,4.28
20,北京市,04-04 16:00,Ⅲ,15.2,7.74,5.96,750.0,12.9,4.97,0.152,0.067,4.21
21,北京市,04-04 20:00,Ⅲ,15.0,7.68,5.04,749.4,12.6,4.96,0.126,0.057,4.1
22,北京市,04-05 00:00,Ⅲ,14.9,7.65,4.48,750.9,14.4,4.91,0.144,0.061,4.06
23,北京市,04-05 04:00,Ⅳ,14.8,7.75,5.98,763.2,10.6,4.91,0.144,0.061,4.06
24,北京市,04-05 08:00,Ⅲ,14.5,7.72,5.68,765.1,10.7,4.9,0.101,0.056,4.17
25,北京市,04-05 12:00,Ⅲ,15.0,7.78,6.96,769.7,31.8,5.11,0.101,0.053,4.17
26,北京市,04-05 16:00,Ⅲ,15.7,7.88,7.81,773.3,14.4,5.3,0.111,0.069,4.32
27,北京市,04-05 20:00,Ⅲ,15.3,7.79,6.73,772.5,13.1,5.08,0.086,0.048,4.19
37,北京市,04-02 20:00,Ⅲ,13.5,8.09,9.68,1312.2,5.9,4.7,0.025,0.029,2.1
38,北京市,04-03 00:00,Ⅲ,13.4,8.15,9.78,1308.7,5.1,4.67,0.029,0.026,2.12
39,北京市,04-03 04:00,Ⅲ,13.3,8.13,9.75,1310.2,4.4,4.67,0.029,0.026,2.12
40,北京市,04-03 08:00,Ⅲ,13.0,8.15,9.94,1312.9,5.4,4.7,0.025,0.027,2.12
41,北京市,04-03 12:00,Ⅲ,13.6,8.19,10.37,1311.1,4.5,4.67,0.025,0.027,2.14
42,北京市,04-03 16:00,Ⅲ,14.0,8.23,10.34,1305.0,7.7,4.73,0.025,0.027,2.04
43,北京市,04-03 20:00,Ⅲ,13.8,8.19,9.99,1305.0,5.9,4.85,0.025,0.028,2.18
44,北京市,04-04 00:00,Ⅲ,13.4,8.16,9.89,1306.8,6.2,4.84,0.025,0.026,2.11
45,北京市,04-04 04:00,Ⅲ,13.1,8.14,9.72,1307.8,6.1,4.84,0.025,0.026,2.11
48,北京市,04-04 16:00,Ⅲ,14.9,8.19,9.92,1302.1,10.9,4.83,0.025,0.027,2.06
49,北京市,04-04 20:00,Ⅲ,14.0,8.2,9.93,1302.8,8.4,4.84,0.025,0.028,2.1
50,北京市,04-05 00:00,Ⅲ,13.5,8.19,9.93,1307.2,5.8,4.87,0.025,0.027,2.07
51,北京市,04-05 04:00,Ⅲ,13.3,8.17,9.76,1307.7,6.0,4.87,0.025,0.027,2.07
52,北京市,04-05 08:00,Ⅲ,13.2,8.17,9.86,1308.9,6.6,4.76,0.025,0.028,2.06
53,北京市,04-05 12:00,Ⅲ,13.9,8.2,10.01,1306.8,7.8,4.68,0.025,0.026,2.1
54,北京市,04-05 16:00,Ⅲ,13.8,8.21,10.02,1306.6,6.7,4.81,0.025,0.027,2.11
55,北京市,04-05 20:00,Ⅲ,13.1,8.16,9.63,1308.5,7.2,4.87,0.025,0.026,2.08
56,北京市,04-01 04:00,Ⅱ,12.9,7.91,10.87,614.3,11.6,0.5,0.19,0.005,8.49
57,北京市,04-01 12:00,Ⅱ,12.1,7.91,11.51,620.6,12.2,0.62,0.19,0.005,8.66
58,北京市,04-01 12:00,Ⅱ,12.1,7.91,11.51,620.6,12.2,0.62,0.19,0.005,8.66
59,北京市,04-01 16:00,Ⅱ,12.5,7.99,12.34,615.5,17.3,0.63,0.17,0.005,8.45
60,北京市,04-01 20:00,Ⅱ,12.8,8.01,12.02,611.5,16.0,0.6,0.2,0.005,8.52
61,北京市,04-02 00:00,Ⅱ,12.8,7.97,11.33,610.9,10.0,0.6,0.19,0.005,8.53
62,北京市,04-02 04:00,Ⅰ,12.5,7.92,10.72,612.1,10.0,0.6,0.06,0.005,8.79
63,北京市,04-02 08:00,Ⅱ,12.2,7.86,10.5,612.3,7.6,0.58,0.19,0.005,8.2
64,北京市,04-02 12:00,Ⅱ,12.4,7.94,11.15,609.2,13.7,0.58,0.18,0.005,8.38
