,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,吉林省,04-01 04:00,Ⅲ,8.4,7.15,10.58,117.9,34.6,4.43,0.188,0.094,1.86
1,吉林省,04-01 12:00,Ⅲ,9.9,7.14,11.66,125.5,31.2,4.25,0.233,0.12,1.84
2,吉林省,04-01 12:00,Ⅲ,9.9,7.14,11.66,125.5,31.2,4.25,0.233,0.12,1.84
3,吉林省,04-01 16:00,Ⅲ,12.3,7.27,11.35,123.1,28.0,4.17,0.212,0.121,1.8
4,吉林省,04-02 00:00,Ⅱ,9.9,7.21,10.42,120.4,29.6,3.88,0.177,0.093,1.67
5,吉林省,04-02 00:00,Ⅱ,9.9,7.21,10.42,120.4,29.6,3.88,0.177,0.093,1.67
6,吉林省,04-02 04:00,Ⅱ,9.2,7.13,10.46,116.4,27.5,3.84,0.165,0.074,1.69
7,吉林省,04-02 08:00,Ⅱ,8.8,7.09,10.64,124.9,28.7,3.89,0.207,0.099,1.72
8,吉林省,04-02 12:00,劣Ⅴ,10.5,7.2,11.58,117.2,25.3,3.89,0.207,1.0,1.72
9,吉林省,04-02 20:00,Ⅲ,10.9,7.28,10.77,144.2,25.9,3.16,0.205,0.142,1.89
10,吉林省,04-02 20:00,Ⅱ,10.9,7.28,10.77,144.2,25.9,3.15,0.287,0.079,1.84
11,吉林省,04-03 00:00,Ⅱ,10.1,7.12,10.03,167.7,31.8,3.15,0.287,0.079,1.84
12,吉林省,04-03 04:00,Ⅱ,9.6,7.07,9.89,173.7,32.6,3.18,0.449,0.075,2.29
13,吉林省,04-03 12:00,Ⅲ,11.0,7.16,10.17,174.3,24.2,3.46,0.565,0.108,2.41
14,吉林省,04-03 12:00,Ⅲ,11.0,7.16,10.17,174.3,24.2,3.28,0.484,0.12,2.21
15,吉林省,04-03 12:00,Ⅲ,11.0,7.16,10.17,174.3,24.2,3.28,0.484,0.12,2.21
16,吉林省,04-03 20:00,Ⅲ,20.7,7.03,9.03,1.4,0.2,3.17,0.21,0.154,2.45
17,吉林省,04-04 00:00,Ⅲ,8.4,7.01,10.82,120.4,27.2,3.17,0.21,0.154,2.45
19,吉林省,04-04 08:00,Ⅱ,7.5,7.18,11.1,126.1,19.7,2.99,0.197,0.094,1.72
20,吉林省,04-04 12:00,Ⅱ,9.7,7.28,11.94,127.2,21.3,2.97,0.23,0.087,1.78
21,吉林省,04-04 16:00,Ⅱ,11.4,7.47,11.69,127.3,25.2,2.94,0.212,0.091,1.68
22,吉林省,04-04 20:00,Ⅱ,10.0,7.39,10.99,131.3,31.5,2.92,0.233,0.064,1.72
23,吉林省,04-05 00:00,Ⅱ,8.6,7.2,10.59,131.4,25.2,2.92,0.233,0.064,1.72
24,吉林省,04-05 04:00,Ⅱ,8.2,7.14,10.52,134.2,18.9,2.82,0.241,0.046,1.66
25,吉林省,04-05 08:00,Ⅱ,8.1,7.1,10.96,130.1,16.8,2.87,0.219,0.051,1.52
26,吉林省,04-05 12:00,Ⅱ,10.4,7.29,12.3,130.4,19.5,2.84,0.238,0.071,1.55
27,吉林省,04-05 16:00,Ⅱ,12.4,7.5,12.21,127.4,24.9,2.91,0.218,0.072,1.55
28,吉林省,04-01 08:00,Ⅱ,3.8,7.31,10.47,183.7,4.8,3.94,0.025,0.031,2.6
