,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,四川省,04-01 04:00,Ⅳ,18.9,7.64,7.07,686.0,19.2,2.9,0.213,0.223,2.87
1,四川省,04-01 12:00,Ⅳ,18.4,7.64,7.15,711.1,19.3,3.16,0.326,0.241,4.08
2,四川省,04-01 12:00,Ⅳ,18.4,7.64,7.15,711.1,19.3,3.16,0.326,0.241,4.08
3,四川省,04-01 20:00,Ⅳ,18.8,7.54,6.66,689.6,17.6,3.49,0.41,0.296,4.35
4,四川省,04-01 20:00,Ⅴ,18.8,7.54,6.66,689.6,17.6,3.53,0.595,0.322,3.73
5,四川省,04-02 00:00,Ⅴ,18.4,7.49,6.53,669.1,17.6,3.53,0.595,0.322,3.73
6,四川省,04-02 08:00,Ⅴ,17.9,7.43,6.12,662.9,18.0,3.53,0.696,0.313,3.56
7,四川省,04-02 08:00,Ⅴ,17.9,7.43,6.12,662.9,18.0,4.26,0.741,0.312,3.32
8,四川省,04-02 12:00,Ⅴ,18.0,7.43,5.93,632.3,19.8,4.35,0.765,0.302,4.43
9,四川省,04-02 16:00,Ⅳ,19.3,7.63,6.85,583.9,27.9,4.95,0.241,0.255,4.4
10,四川省,04-02 20:00,Ⅳ,19.0,7.77,7.53,546.3,28.9,4.39,0.251,0.28,3.51
11,四川省,04-03 00:00,Ⅳ,18.7,7.66,6.25,507.0,30.5,4.39,0.251,0.28,3.51
12,四川省,04-03 04:00,Ⅳ,18.4,7.61,5.21,502.0,28.6,5.23,0.173,0.262,2.66
13,四川省,04-03 08:00,Ⅳ,17.9,7.58,5.6,526.4,25.5,4.95,0.168,0.246,4.23
14,四川省,04-03 12:00,Ⅳ,19.7,7.74,7.32,540.6,25.9,3.98,0.155,0.226,4.23
15,四川省,04-03 16:00,Ⅳ,21.5,7.84,7.68,549.2,25.4,3.8,0.157,0.238,4.56
16,四川省,04-04 00:00,Ⅳ,19.6,7.77,6.09,507.9,78.8,3.62,0.114,0.23,2.81
17,四川省,04-04 00:00,Ⅳ,19.6,7.77,6.09,507.9,78.8,3.62,0.114,0.23,2.81
19,四川省,04-04 08:00,Ⅳ,18.1,7.65,5.93,535.3,25.2,3.31,0.153,0.213,3.43
20,四川省,04-04 12:00,Ⅳ,18.7,7.69,6.6,539.9,25.9,3.51,0.131,0.206,2.46
21,四川省,04-04 16:00,Ⅳ,19.1,7.77,7.13,533.2,24.6,3.48,0.122,0.202,2.38
22,四川省,04-04 20:00,Ⅳ,18.8,7.77,7.1,514.9,24.0,3.16,0.103,0.211,2.72
23,四川省,04-05 00:00,Ⅳ,18.5,7.74,5.57,502.0,25.7,3.16,0.103,0.211,2.72
24,四川省,04-05 04:00,Ⅳ,17.9,7.7,6.19,529.7,25.2,3.35,0.121,0.201,0.94
