,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,天津市,04-01 08:00,Ⅲ,13.5,8.28,7.75,1700.8,20.5,5.94,0.1,0.076,1.28
1,天津市,04-01 12:00,Ⅳ,14.0,8.45,9.54,1655.3,20.5,6.6,0.073,0.077,1.43
2,天津市,04-01 16:00,Ⅳ,14.4,8.45,9.38,1669.2,21.1,6.6,0.073,0.077,1.43
3,天津市,04-01 20:00,Ⅳ,14.1,8.44,9.26,1640.2,18.8,6.34,0.085,0.07,1.19
4,天津市,04-02 00:00,Ⅲ,13.7,8.39,8.7,1658.7,19.5,5.97,0.073,0.066,1.17
5,天津市,04-02 04:00,Ⅲ,13.6,8.46,9.3,1449.3,14.6,5.97,0.073,0.066,1.17
6,天津市,04-02 08:00,Ⅲ,13.5,8.41,8.81,1497.6,18.3,5.39,0.033,0.068,1.12
7,天津市,04-02 12:00,Ⅲ,13.7,8.54,10.37,1475.6,16.5,5.73,0.034,0.066,1.15
8,天津市,04-02 16:00,Ⅳ,13.7,8.45,9.27,1575.0,20.3,6.55,0.025,0.074,1.23
9,天津市,04-02 20:00,Ⅲ,13.6,8.33,8.12,1648.4,19.6,5.89,0.046,0.066,1.08
10,天津市,04-03 00:00,Ⅲ,13.5,8.34,8.37,1612.9,15.0,5.42,0.083,0.066,1.11
11,天津市,04-03 04:00,Ⅲ,13.2,8.39,8.82,1570.3,17.5,5.42,0.083,0.066,1.11
12,天津市,04-03 08:00,Ⅲ,13.1,8.31,8.18,1648.2,22.8,5.49,0.068,0.07,1.13
13,天津市,04-03 12:00,Ⅲ,13.5,8.21,7.0,1815.7,24.7,5.69,0.101,0.075,1.16
14,天津市,04-03 16:00,Ⅲ,14.1,8.34,8.16,1696.9,23.0,5.64,0.219,0.074,1.27
15,天津市,04-03 20:00,Ⅲ,14.1,8.38,8.53,1669.7,21.6,5.84,0.161,0.071,1.21
16,天津市,04-04 00:00,Ⅲ,13.6,8.36,8.45,1692.3,19.7,5.72,0.14,0.068,1.13
17,天津市,04-04 04:00,Ⅲ,13.2,8.35,8.48,1666.5,18.4,5.72,0.14,0.068,1.13
18,天津市,04-04 04:00,Ⅲ,13.2,8.35,8.48,1666.5,18.4,5.22,0.112,0.076,1.1
19,天津市,04-04 08:00,Ⅲ,13.0,8.36,8.65,1672.7,18.6,5.22,0.112,0.076,1.1
20,天津市,04-04 16:00,Ⅲ,16.0,8.6,10.86,1351.8,17.7,5.18,0.057,0.06,1.09
21,天津市,04-04 20:00,Ⅲ,15.9,8.59,10.73,1380.8,23.4,5.13,0.032,0.059,1.04
22,天津市,04-05 00:00,Ⅲ,15.0,8.62,10.51,1317.9,20.4,5.38,0.034,0.063,0.96
23,天津市,04-05 04:00,Ⅲ,14.6,8.59,10.37,1327.4,21.2,5.38,0.034,0.063,0.96
24,天津市,04-05 08:00,Ⅲ,14.4,8.58,10.35,1350.3,22.5,5.38,0.025,0.071,0.99
25,天津市,04-05 12:00,Ⅲ,15.5,8.63,10.96,1325.4,23.5,5.15,0.025,0.063,0.99
26,天津市,04-05 16:00,Ⅲ,15.6,8.67,10.98,1294.7,24.6,5.57,0.025,0.065,1.04
27,天津市,04-05 20:00,Ⅲ,15.2,8.65,10.68,1328.8,24.0,5.84,0.025,0.066,1.03
28,天津市,04-01 04:00,Ⅱ,13.7,7.91,9.93,636.8,16.6,1.73,0.11,0.034,1.1
29,天津市,04-01 12:00,Ⅱ,14.0,7.99,10.24,606.4,15.2,1.89,0.1,0.033,1.07
30,天津市,04-01 12:00,Ⅱ,14.0,7.99,10.24,606.4,15.2,1.89,0.1,0.033,1.07
31,天津市,04-01 16:00,Ⅱ,14.0,7.99,10.18,623.0,15.4,1.3,0.08,0.033,1.04
32,天津市,04-01 20:00,Ⅱ,14.0,7.96,10.05,636.0,17.1,2.09,0.09,0.034,1.03
33,天津市,04-02 00:00,Ⅱ,14.0,7.93,9.93,648.0,14.0,1.57,0.11,0.033,1.05
34,天津市,04-02 04:00,Ⅱ,14.0,7.92,9.92,648.4,13.1,0.72,0.05,0.03,0.95
35,天津市,04-02 08:00,Ⅱ,14.0,7.92,9.87,647.2,12.9,1.18,0.07,0.03,0.98
36,天津市,04-02 12:00,Ⅱ,14.1,7.92,9.91,672.2,15.1,1.66,0.1,0.033,1.02
37,天津市,04-02 16:00,Ⅱ,14.1,7.98,10.14,681.2,13.9,1.8,0.04,0.032,0.99
38,天津市,04-02 20:00,Ⅱ,14.1,7.95,9.97,717.9,13.5,1.3,0.08,0.037,0.95
39,天津市,04-03 00:00,Ⅱ,14.0,7.91,9.79,732.0,15.0,2.05,0.1,0.034,1.12
40,天津市,04-03 04:00,Ⅱ,13.9,7.91,9.77,706.0,13.4,1.12,0.09,0.031,1.04
41,天津市,04-03 08:00,Ⅱ,13.8,7.94,9.9,699.9,15.0,1.57,0.07,0.033,1.05
42,天津市,04-03 12:00,Ⅱ,14.4,8.01,10.27,714.2,13.2,2.46,0.09,0.036,1.03
43,天津市,04-03 16:00,Ⅱ,14.4,7.96,10.03,758.0,15.6,2.62,0.07,0.033,1.08
44,天津市,04-03 20:00,Ⅱ,14.4,7.96,10.01,777.7,17.8,2.74,0.08,0.037,1.06
45,天津市,04-04 00:00,Ⅱ,14.2,7.95,10.02,775.4,19.7,2.66,0.09,0.037,1.11
47,天津市,04-04 04:00,Ⅱ,14.1,7.92,9.84,765.5,15.3,2.71,0.11,0.036,1.1
48,天津市,04-04 12:00,Ⅱ,14.9,8.05,10.51,744.9,14.5,2.69,0.08,0.032,0.98
49,天津市,04-04 16:00,Ⅱ,15.0,8.09,10.63,768.7,16.9,0.44,0.12,0.034,1.01
50,天津市,04-04 20:00,Ⅱ,14.9,8.1,10.66,813.3,19.2,2.55,0.07,0.036,1.0
51,天津市,04-05 00:00,Ⅱ,14.9,8.11,10.79,792.6,17.4,2.19,0.08,0.033,1.0
52,天津市,04-05 04:00,Ⅱ,14.7,8.06,10.54,804.1,17.1,1.74,0.08,0.037,1.0
53,天津市,04-05 08:00,Ⅱ,14.6,8.07,10.78,797.8,15.0,2.06,0.06,0.035,1.0
54,天津市,04-05 12:00,Ⅱ,15.0,8.22,11.51,783.0,16.4,2.84,0.12,0.042,1.0
55,天津市,04-05 16:00,Ⅲ,15.1,8.21,11.42,791.2,17.3,4.51,0.05,0.106,4.13
56,天津市,04-01 08:00,Ⅱ,13.0,8.4,11.36,531.2,6.8,3.04,0.025,0.005,1.38
57,天津市,04-01 12:00,Ⅱ,13.2,8.41,11.71,562.0,6.2,2.6,0.025,0.005,1.41
58,天津市,04-01 12:00,Ⅱ,13.2,8.41,11.71,562.0,6.2,2.6,0.025,0.005,1.41
59,天津市,04-01 16:00,Ⅱ,13.4,8.45,11.84,561.4,5.2,2.88,0.025,0.005,1.35
60,天津市,04-01 20:00,Ⅱ,12.9,8.44,11.7,561.5,5.6,2.89,0.025,0.005,1.32
61,天津市,04-02 00:00,Ⅱ,12.7,8.42,11.58,562.3,5.5,2.98,0.025,0.005,1.33
62,天津市,04-02 04:00,Ⅱ,12.4,8.38,11.25,564.4,5.4,2.91,0.025,0.005,1.34
63,天津市,04-02 08:00,Ⅱ,12.4,8.39,11.34,564.2,5.6,2.93,0.025,0.005,1.32
64,天津市,04-02 12:00,Ⅱ,12.4,8.42,11.53,563.0,6.1,2.89,0.025,0.005,1.35
65,天津市,04-02 16:00,Ⅱ,12.3,8.47,11.88,561.9,4.6,2.89,0.025,0.005,1.34
66,天津市,04-02 20:00,Ⅱ,12.4,8.46,11.81,562.2,5.1,2.91,0.025,0.005,1.33
67,天津市,04-03 00:00,Ⅱ,12.2,8.43,11.61,561.8,5.0,2.87,0.025,0.005,1.33
68,天津市,04-03 04:00,Ⅱ,12.4,8.45,11.71,561.2,5.8,2.93,0.025,0.005,1.32
69,天津市,04-03 08:00,Ⅱ,12.8,8.53,12.26,559.6,4.3,2.98,0.025,0.005,1.33
70,天津市,04-03 08:00,Ⅱ,12.8,8.53,12.26,559.6,4.3,2.98,0.025,0.005,1.33
71,天津市,04-03 16:00,Ⅱ,13.7,8.55,12.39,557.6,5.4,3.06,0.025,0.005,1.33
72,天津市,04-03 20:00,Ⅱ,13.3,8.48,11.77,559.2,7.3,2.91,0.025,0.005,1.37
73,天津市,04-04 00:00,Ⅱ,13.0,8.44,11.58,560.5,7.8,2.9,0.025,0.005,1.35
74,天津市,04-04 04:00,Ⅱ,12.8,8.43,11.43,561.1,8.1,2.87,0.025,0.005,1.34
75,天津市,04-04 08:00,Ⅱ,12.9,8.46,11.58,560.9,8.7,2.87,0.025,0.005,1.34
76,天津市,04-04 16:00,Ⅱ,13.3,8.46,11.64,559.4,8.6,3.1,0.025,0.005,1.34
77,天津市,04-04 20:00,Ⅱ,13.0,8.43,11.25,561.3,8.3,3.11,0.025,0.005,1.34
78,天津市,04-05 00:00,Ⅱ,12.8,8.44,11.35,561.3,7.7,2.95,0.025,0.005,1.34
79,天津市,04-05 04:00,Ⅱ,12.8,8.46,11.38,561.1,5.7,2.95,0.025,0.005,1.34
80,天津市,04-05 08:00,Ⅱ,12.9,8.46,11.4,561.7,5.4,3.04,0.025,0.005,1.33
81,天津市,04-05 12:00,Ⅱ,13.3,8.46,11.44,560.2,6.7,2.93,0.025,0.005,1.31
82,天津市,04-05 16:00,Ⅱ,13.1,8.44,11.29,560.4,7.9,3.09,0.025,0.005,1.32
83,天津市,04-05 20:00,Ⅱ,13.0,8.42,11.03,561.9,8.5,3.09,0.025,0.005,1.31
84,天津市,04-01 08:00,Ⅱ,11.9,8.58,12.96,581.0,1.2,3.35,0.025,0.016,1.26
85,天津市,04-01 12:00,Ⅱ,13.0,8.58,12.95,582.2,0.9,3.37,0.025,0.013,1.26
86,天津市,04-01 16:00,Ⅱ,13.6,8.62,13.17,582.9,0.7,3.37,0.025,0.013,1.26
87,天津市,04-01 20:00,Ⅱ,12.9,8.62,13.2,583.3,0.8,3.53,0.025,0.015,1.31
88,天津市,04-02 00:00,Ⅱ,12.8,8.61,12.96,583.3,1.0,3.48,0.025,0.013,1.29
89,天津市,04-02 04:00,Ⅱ,12.5,8.6,12.9,582.9,1.0,3.48,0.025,0.013,1.28
90,天津市,04-02 08:00,Ⅱ,12.5,8.59,12.73,584.0,0.8,3.46,0.025,0.013,1.28
