,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,宁夏回族自治区,04-01 04:00,Ⅱ,10.7,7.76,9.81,613.1,39.8,2.9,0.17,0.005,2.11
1,宁夏回族自治区,04-01 12:00,Ⅱ,10.8,7.65,10.21,639.7,29.7,2.93,0.17,0.009,2.3
2,宁夏回族自治区,04-01 12:00,Ⅱ,10.8,7.65,10.21,639.7,29.7,2.93,0.17,0.009,2.3
3,宁夏回族自治区,04-01 16:00,Ⅱ,10.9,7.67,10.22,631.2,28.1,2.85,0.15,0.006,2.3
4,宁夏回族自治区,04-01 20:00,Ⅱ,10.7,7.68,9.99,634.1,37.9,2.83,0.17,0.005,2.5
5,宁夏回族自治区,04-02 00:00,Ⅱ,10.6,7.67,9.96,646.8,59.7,3.11,0.13,0.009,2.47
6,宁夏回族自治区,04-02 04:00,Ⅱ,10.4,7.64,9.88,648.2,58.8,3.1,0.11,0.005,2.26
7,宁夏回族自治区,04-02 08:00,Ⅱ,10.4,7.61,9.92,638.8,69.5,3.06,0.13,0.005,2.34
8,宁夏回族自治区,04-02 12:00,Ⅱ,10.5,7.62,9.94,637.6,175.3,3.41,0.17,0.005,2.4
9,宁夏回族自治区,04-02 16:00,Ⅱ,10.4,7.6,9.85,642.0,222.1,3.64,0.13,0.006,2.58
10,宁夏回族自治区,04-02 20:00,Ⅱ,10.3,7.56,9.74,631.9,238.0,3.6,0.14,0.005,2.5
11,宁夏回族自治区,04-03 00:00,Ⅱ,10.3,7.52,9.67,608.7,202.1,3.3,0.14,0.005,2.38
12,宁夏回族自治区,04-03 04:00,Ⅱ,10.3,7.52,9.65,609.3,166.0,3.26,0.15,0.005,2.37
13,宁夏回族自治区,04-03 08:00,Ⅱ,10.3,7.54,9.75,611.3,130.6,3.06,0.21,0.008,2.71
14,宁夏回族自治区,04-03 12:00,Ⅱ,10.4,7.49,9.97,615.1,101.2,3.01,0.16,0.008,2.69
15,宁夏回族自治区,04-03 16:00,Ⅱ,10.5,7.51,9.92,601.2,96.5,2.92,0.17,0.005,2.7
16,宁夏回族自治区,04-03 20:00,Ⅱ,10.4,7.54,9.93,592.7,152.0,3.35,0.18,0.005,2.46
17,宁夏回族自治区,04-04 00:00,Ⅱ,10.2,7.51,9.89,608.1,168.2,3.23,2.83,0.006,2.69
19,宁夏回族自治区,04-04 08:00,Ⅱ,10.3,7.52,9.8,617.3,169.7,3.16,0.11,0.005,2.47
20,宁夏回族自治区,04-04 12:00,Ⅱ,10.4,7.5,9.85,607.6,161.8,2.99,0.1,0.009,2.37
