,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,安徽省,04-01 04:00,Ⅳ,18.9,6.67,5.93,431.3,16.8,6.24,0.149,0.193,2.32
1,安徽省,04-01 12:00,Ⅳ,18.8,6.7,6.01,438.6,18.7,6.89,0.303,0.21,2.56
2,安徽省,04-01 12:00,Ⅳ,18.8,6.7,6.01,438.6,18.7,6.89,0.303,0.21,2.56
3,安徽省,04-01 16:00,Ⅳ,18.8,6.67,6.08,429.3,20.1,7.29,0.244,0.229,2.63
4,安徽省,04-01 20:00,Ⅳ,18.6,6.66,5.85,416.9,18.4,7.5,0.272,0.237,2.66
5,安徽省,04-02 00:00,Ⅳ,18.5,6.58,5.92,405.3,18.3,7.66,0.197,0.266,2.88
6,安徽省,04-02 04:00,Ⅴ,18.3,6.57,5.63,413.9,18.2,7.88,0.136,0.319,3.13
7,安徽省,04-02 08:00,Ⅴ,18.4,6.51,6.01,401.5,17.3,7.78,0.165,0.352,3.23
8,安徽省,04-02 12:00,Ⅳ,18.9,6.52,6.56,411.3,12.4,6.74,0.313,0.285,2.99
9,安徽省,04-02 16:00,Ⅳ,19.0,6.56,5.71,413.9,13.6,6.37,0.451,0.233,3.01
10,安徽省,04-02 20:00,Ⅳ,18.6,6.54,6.3,403.6,15.9,6.55,0.372,0.257,3.11
11,安徽省,04-03 00:00,Ⅳ,18.4,6.51,5.92,403.3,16.0,6.87,0.254,0.268,3.16
12,安徽省,04-03 04:00,Ⅳ,18.2,6.47,6.21,405.5,17.2,7.14,0.182,0.275,3.12
13,安徽省,04-03 08:00,Ⅳ,18.1,6.47,6.31,406.8,17.3,7.04,0.187,0.268,3.13
14,安徽省,04-03 12:00,Ⅳ,18.7,6.45,6.86,414.0,15.0,6.68,0.131,0.227,2.87
15,安徽省,04-03 16:00,Ⅳ,18.4,6.46,6.2,413.1,13.4,6.57,0.128,0.212,2.78
16,安徽省,04-03 20:00,Ⅳ,18.0,6.46,6.16,412.8,14.5,6.57,0.123,0.212,2.81
17,安徽省,04-04 00:00,Ⅳ,17.6,6.47,6.02,410.4,15.9,6.33,0.162,0.201,2.83
19,安徽省,04-04 08:00,Ⅳ,17.3,6.46,6.61,414.7,15.8,6.09,0.159,0.19,2.78
20,安徽省,04-04 12:00,Ⅲ,19.4,6.44,5.89,407.4,11.6,5.07,0.177,0.146,2.64
21,安徽省,04-04 16:00,Ⅲ,20.1,6.74,6.79,366.4,12.7,5.23,0.137,0.137,2.61
22,安徽省,04-04 20:00,Ⅲ,18.0,6.74,7.51,365.2,12.6,5.01,0.127,0.133,2.56
23,安徽省,04-04 20:00,Ⅲ,18.0,6.74,7.51,365.2,12.6,5.01,0.127,0.133,2.56
24,安徽省,04-05 04:00,Ⅲ,16.8,6.65,6.92,367.5,11.0,5.72,0.042,0.138,2.29
25,安徽省,04-05 08:00,Ⅲ,17.6,6.63,7.74,364.9,12.1,5.72,0.078,0.139,2.29
26,安徽省,04-05 12:00,Ⅲ,19.8,6.63,7.27,364.0,13.1,5.71,0.075,0.129,2.36
27,安徽省,04-05 16:00,Ⅲ,19.6,6.69,7.7,365.9,14.7,5.77,0.054,0.125,2.36
28,安徽省,04-01 04:00,Ⅳ,19.1,7.07,4.39,269.9,33.2,4.46,0.418,0.137,2.08
29,安徽省,04-01 12:00,Ⅳ,19.2,7.06,4.86,247.6,43.8,4.58,0.401,0.136,2.18
30,安徽省,04-01 12:00,Ⅳ,19.2,7.06,4.86,247.6,43.8,4.58,0.401,0.136,2.18
31,安徽省,04-01 16:00,Ⅳ,19.4,7.05,4.62,245.9,56.2,4.5,0.395,0.139,2.26
32,安徽省,04-01 20:00,Ⅳ,19.0,7.07,4.81,253.5,57.4,4.7,0.406,0.142,2.31
33,安徽省,04-02 00:00,Ⅳ,18.7,7.07,5.02,248.4,69.0,5.06,0.43,0.15,2.48
34,安徽省,04-02 04:00,Ⅳ,18.1,7.06,4.03,256.2,77.4,5.39,0.55,0.184,2.74
35,安徽省,04-02 08:00,Ⅳ,17.5,7.07,5.29,241.8,110.3,6.8,0.657,0.23,3.3
36,安徽省,04-02 12:00,Ⅳ,17.2,7.07,5.73,224.6,119.4,6.58,0.582,0.205,3.02
37,安徽省,04-02 16:00,Ⅳ,17.2,7.07,6.31,207.8,145.8,6.51,0.567,0.191,3.09
38,安徽省,04-02 20:00,Ⅳ,16.7,7.03,6.62,187.4,169.2,6.21,0.599,0.176,3.31
39,安徽省,04-03 00:00,Ⅳ,16.3,7.0,6.73,175.1,176.4,6.36,0.737,0.153,3.36
40,安徽省,04-03 04:00,Ⅳ,16.2,7.0,6.84,178.9,148.6,6.38,0.757,0.146,3.02
41,安徽省,04-03 08:00,Ⅳ,16.2,7.0,6.67,178.1,118.0,7.17,0.725,0.184,3.13
42,安徽省,04-03 12:00,Ⅳ,16.1,7.01,6.8,178.0,97.8,6.36,0.673,0.173,2.69
43,安徽省,04-03 16:00,Ⅲ,16.1,7.02,6.91,179.3,87.3,5.94,0.607,0.157,2.5
44,安徽省,04-03 20:00,Ⅲ,16.0,7.01,6.88,180.3,75.0,5.79,0.546,0.154,2.49
45,安徽省,04-04 00:00,Ⅲ,15.9,7.02,6.82,183.3,74.8,5.79,0.543,0.148,2.46
46,安徽省,04-04 04:00,Ⅲ,15.8,7.02,6.97,183.2,78.8,5.8,0.544,0.147,2.52
47,安徽省,04-04 04:00,Ⅲ,15.8,7.02,6.97,183.2,78.8,5.8,0.544,0.147,2.52
48,安徽省,04-04 12:00,Ⅲ,16.1,7.03,6.56,202.1,71.6,5.73,0.557,0.141,2.51
49,安徽省,04-04 16:00,Ⅲ,16.6,7.03,6.74,194.0,73.1,5.62,0.519,0.14,2.39
50,安徽省,04-04 20:00,Ⅲ,16.6,7.03,6.62,195.8,64.2,5.42,0.494,0.132,2.29
51,安徽省,04-05 00:00,Ⅲ,16.4,7.04,6.68,201.6,60.6,5.42,0.494,0.132,2.29
52,安徽省,04-05 04:00,Ⅲ,16.2,7.03,6.58,203.7,55.9,5.43,0.431,0.121,2.18
53,安徽省,04-05 08:00,Ⅳ,16.1,7.04,6.64,210.4,53.1,6.36,0.422,0.146,2.36
54,安徽省,04-05 12:00,Ⅲ,16.2,7.04,6.62,204.8,51.7,5.41,0.383,0.131,2.13
55,安徽省,04-05 16:00,Ⅲ,16.4,7.04,6.7,205.1,55.2,5.18,0.388,0.127,2.09
56,安徽省,04-01 08:00,Ⅱ,17.6,7.43,8.78,103.3,16.7,1.74,0.229,0.044,1.18
57,安徽省,04-01 12:00,Ⅱ,17.8,7.43,8.83,104.1,14.6,1.77,0.22,0.062,1.29
58,安徽省,04-01 12:00,Ⅱ,17.8,7.43,8.83,104.1,14.6,1.77,0.22,0.062,1.29
59,安徽省,04-01 16:00,Ⅱ,17.5,7.37,8.55,103.6,17.4,1.54,0.251,0.056,1.21
60,安徽省,04-01 20:00,Ⅱ,17.4,7.31,8.2,113.0,21.3,1.52,0.277,0.056,1.24
61,安徽省,04-02 00:00,Ⅱ,17.2,7.26,8.12,107.8,16.2,1.54,0.245,0.054,1.23
62,安徽省,04-02 04:00,Ⅱ,17.2,7.33,8.5,110.1,17.1,1.57,0.244,0.051,1.2
63,安徽省,04-02 08:00,Ⅱ,17.0,7.24,7.73,134.8,16.0,2.82,0.3,0.083,1.53
64,安徽省,04-02 12:00,Ⅱ,17.2,7.26,8.09,131.7,24.3,2.5,0.381,0.077,1.48
65,安徽省,04-02 16:00,Ⅱ,17.1,7.24,7.92,123.2,23.4,2.24,0.361,0.068,1.4
66,安徽省,04-02 20:00,Ⅱ,16.9,7.24,7.86,127.1,29.2,2.48,0.421,0.077,1.44
