,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,山东省,04-01 04:00,Ⅰ,15.8,7.98,9.36,747.2,39.0,1.42,0.029,0.018,1.78
1,山东省,04-01 12:00,Ⅰ,16.3,8.01,9.74,754.7,35.5,1.47,0.025,0.017,1.71
2,山东省,04-01 12:00,Ⅰ,16.3,8.01,9.74,754.7,35.5,1.47,0.025,0.017,1.71
3,山东省,04-01 16:00,Ⅰ,16.5,8.03,9.76,749.6,40.6,1.46,0.027,0.018,1.75
4,山东省,04-01 20:00,Ⅰ,15.4,8.02,9.78,752.4,45.2,1.48,0.025,0.017,1.71
5,山东省,04-02 00:00,Ⅰ,16.0,7.99,9.26,758.3,58.4,1.52,0.047,0.036,1.86
6,山东省,04-02 04:00,Ⅱ,15.6,7.98,9.14,750.0,63.9,1.38,0.041,0.032,1.84
8,山东省,04-02 12:00,Ⅱ,15.4,7.98,9.3,754.4,64.7,1.38,0.042,0.041,1.81
9,山东省,04-02 16:00,Ⅱ,15.3,7.98,9.36,755.2,71.6,1.33,0.048,0.021,1.82
10,山东省,04-02 20:00,Ⅰ,15.0,8.11,9.5,762.6,25.9,1.44,0.036,0.019,1.77
11,山东省,04-03 00:00,Ⅰ,14.7,8.02,9.47,754.4,25.3,1.48,0.033,0.017,1.77
12,山东省,04-03 04:00,Ⅰ,14.4,8.05,9.4,758.9,19.1,1.36,0.034,0.017,1.76
13,山东省,04-03 08:00,Ⅰ,14.4,8.09,9.48,763.4,22.8,1.71,0.04,0.018,1.77
14,山东省,04-03 12:00,Ⅱ,14.4,8.11,9.62,764.7,18.9,1.41,0.036,0.022,1.75
15,山东省,04-03 16:00,Ⅰ,14.6,8.13,9.88,769.2,17.4,1.27,0.034,0.015,1.72
16,山东省,04-03 20:00,Ⅰ,14.4,8.12,9.8,761.0,16.2,1.42,0.032,0.019,1.76
17,山东省,04-03 20:00,Ⅰ,14.4,8.12,9.8,761.0,16.2,1.42,0.032,0.019,1.76
19,山东省,04-04 08:00,Ⅰ,14.1,8.08,9.6,758.1,16.4,1.56,0.033,0.016,1.72
20,山东省,04-04 12:00,Ⅰ,15.0,8.08,9.82,749.8,18.4,1.41,0.037,0.018,1.71
21,山东省,04-04 16:00,Ⅰ,15.7,8.07,9.9,762.6,19.4,1.55,0.038,0.019,1.69
22,山东省,04-04 20:00,Ⅱ,15.2,8.09,10.03,757.7,18.8,1.55,0.045,0.022,1.75
23,山东省,04-04 20:00,Ⅱ,15.2,8.09,10.03,757.7,18.8,1.55,0.045,0.022,1.75
24,山东省,04-05 04:00,Ⅰ,14.7,8.06,9.36,766.9,19.4,1.34,0.038,0.02,1.76
25,山东省,04-05 08:00,Ⅰ,14.4,8.04,9.49,758.1,20.0,1.57,0.038,0.019,1.73
26,山东省,04-05 12:00,Ⅱ,14.6,8.08,9.88,766.8,19.9,1.68,0.035,0.023,1.78
27,山东省,04-05 16:00,Ⅱ,14.9,8.1,10.12,761.9,21.2,1.63,0.034,0.02,1.74
28,山东省,04-01 04:00,Ⅲ,14.0,8.1,7.37,9047.0,19.9,5.53,0.238,0.03,2.88
29,山东省,04-01 12:00,Ⅲ,14.2,8.1,7.74,9532.4,17.6,5.63,0.255,0.031,2.91
30,山东省,04-01 12:00,Ⅲ,14.2,8.1,7.74,9532.4,17.6,5.63,0.255,0.031,2.91
31,山东省,04-01 16:00,Ⅲ,14.6,8.09,7.37,9705.6,16.8,5.59,0.264,0.032,2.85
32,山东省,04-01 20:00,Ⅲ,14.2,8.08,7.38,9702.5,20.8,5.37,0.29,0.031,2.88
33,山东省,04-02 00:00,Ⅲ,13.9,8.08,7.41,9694.8,23.2,5.45,0.305,0.031,2.95
34,山东省,04-02 04:00,Ⅲ,13.8,8.08,7.22,9467.0,22.9,5.9,0.26,0.032,2.94
35,山东省,04-02 08:00,Ⅲ,13.7,8.08,7.18,9297.3,17.1,5.55,0.261,0.03,2.96
