,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,山西省,04-01 08:00,Ⅲ,10.5,8.46,12.05,882.6,24.7,4.29,0.121,0.068,3.44
1,山西省,04-01 12:00,Ⅲ,10.3,8.45,11.86,882.9,27.5,4.45,0.118,0.067,3.51
2,山西省,04-01 16:00,Ⅲ,10.4,8.52,12.35,880.3,24.2,4.45,0.118,0.005,3.35
3,山西省,04-01 20:00,Ⅱ,10.5,8.48,11.83,885.4,29.5,3.29,0.13,0.005,3.35
4,山西省,04-02 00:00,Ⅲ,10.4,8.44,11.34,886.6,26.5,4.61,0.129,0.075,3.44
5,山西省,04-02 04:00,Ⅲ,10.1,8.42,10.98,889.7,27.2,4.61,0.129,0.075,3.44
6,山西省,04-02 08:00,Ⅲ,10.0,8.42,10.92,888.1,23.6,4.05,0.157,0.065,3.37
7,山西省,04-02 12:00,Ⅲ,10.6,8.5,11.85,889.8,27.3,4.32,0.14,0.071,3.38
8,山西省,04-02 16:00,Ⅲ,11.8,8.6,13.45,882.2,26.2,4.33,0.13,0.066,3.3
9,山西省,04-02 20:00,Ⅲ,11.8,8.63,14.14,880.0,25.9,4.45,0.101,0.071,3.43
10,山西省,04-03 00:00,Ⅲ,9.8,8.32,9.98,901.6,34.0,4.89,0.087,0.082,3.42
11,山西省,04-03 04:00,Ⅲ,10.4,8.51,12.19,887.7,26.0,4.89,0.087,0.082,3.42
12,山西省,04-03 08:00,Ⅲ,10.2,8.49,11.87,889.5,28.6,4.5,0.096,0.075,3.52
13,山西省,04-03 12:00,Ⅲ,10.5,8.5,11.77,890.7,31.7,4.64,0.099,0.075,3.37
14,山西省,04-03 16:00,Ⅲ,10.6,8.52,11.95,890.6,30.3,4.5,0.114,0.078,3.42
15,山西省,04-03 20:00,Ⅲ,10.4,8.51,11.73,891.7,30.7,4.55,0.12,0.072,3.41
16,山西省,04-04 00:00,Ⅲ,10.3,8.5,11.41,896.6,35.3,4.39,0.121,0.069,3.4
17,山西省,04-04 04:00,Ⅲ,10.2,8.47,11.08,895.2,39.3,4.39,0.121,0.069,3.4
18,山西省,04-04 04:00,Ⅲ,10.2,8.47,11.08,895.2,39.3,4.48,0.12,0.076,3.28
19,山西省,04-04 08:00,Ⅲ,9.9,8.46,10.9,896.5,34.2,4.48,0.12,0.076,3.28
20,山西省,04-04 12:00,Ⅲ,10.3,8.5,11.48,894.7,30.1,4.52,0.104,0.072,3.41
21,山西省,04-04 20:00,Ⅲ,10.4,8.47,11.16,897.3,27.8,4.96,0.087,0.075,3.42
22,山西省,04-04 20:00,Ⅲ,10.4,8.47,11.16,897.3,27.8,4.14,0.12,0.062,3.34
23,山西省,04-05 00:00,Ⅲ,10.0,8.41,10.46,902.1,25.5,4.14,0.12,0.062,3.34
24,山西省,04-05 08:00,Ⅲ,10.6,8.49,11.56,895.5,22.8,4.04,0.085,0.061,3.3
25,山西省,04-05 12:00,Ⅲ,11.2,8.65,14.31,887.2,22.4,4.06,0.098,0.063,3.44
26,山西省,04-05 16:00,Ⅲ,11.1,8.63,13.82,889.6,25.4,5.02,0.025,0.084,3.49
27,山西省,04-05 20:00,Ⅲ,10.8,8.58,13.29,893.7,25.5,4.92,0.025,0.081,3.56
28,山西省,04-01 08:00,Ⅳ,10.4,8.11,7.82,770.3,220.2,2.9,0.223,0.212,8.05
29,山西省,04-01 12:00,Ⅲ,11.1,8.18,8.03,726.1,207.5,3.05,0.204,0.164,7.71
30,山西省,04-01 12:00,Ⅲ,11.1,8.18,8.03,726.1,207.5,3.05,0.204,0.164,7.71
31,山西省,04-01 16:00,Ⅲ,10.5,8.22,8.25,726.4,195.4,2.73,0.202,0.155,7.52
32,山西省,04-01 20:00,Ⅲ,9.7,8.2,8.36,719.1,257.4,2.77,0.156,0.165,7.96
33,山西省,04-02 00:00,Ⅲ,9.1,8.19,8.21,714.4,206.6,2.84,0.179,0.172,7.68
34,山西省,04-02 04:00,Ⅲ,8.6,8.2,8.67,700.3,193.9,2.47,0.136,0.15,7.52
35,山西省,04-02 08:00,Ⅲ,8.3,8.22,9.07,758.7,146.2,2.47,0.025,0.12,7.02
36,山西省,04-02 12:00,Ⅲ,11.8,8.25,9.35,712.7,155.9,2.29,0.025,0.124,6.87
37,山西省,04-02 16:00,Ⅲ,12.9,8.29,9.42,710.7,144.7,1.97,0.025,0.113,6.77
38,山西省,04-02 20:00,Ⅲ,11.3,8.29,9.3,697.7,209.5,2.51,0.025,0.14,7.11
39,山西省,04-03 00:00,Ⅲ,9.8,8.25,8.91,714.1,283.3,3.36,0.025,0.172,8.07
40,山西省,04-03 04:00,Ⅲ,8.8,8.22,8.63,707.8,228.3,2.89,0.168,0.156,7.66
41,山西省,04-03 08:00,Ⅲ,8.0,8.21,8.93,710.7,352.1,3.71,0.173,0.171,8.7
42,山西省,04-03 12:00,Ⅳ,12.6,8.19,8.49,725.6,821.4,5.6,0.113,0.254,12.6
43,山西省,04-03 16:00,Ⅳ,14.9,8.18,7.61,749.8,637.8,4.7,0.089,0.228,11.07
44,山西省,04-03 20:00,Ⅳ,12.2,8.15,7.36,742.1,583.3,4.74,0.209,0.265,10.1
45,山西省,04-04 00:00,Ⅳ,10.1,8.16,7.72,732.5,397.6,4.37,0.318,0.229,9.18
46,山西省,04-04 04:00,Ⅳ,8.1,8.21,8.65,720.3,326.7,3.52,0.188,0.186,8.58
47,山西省,04-04 08:00,Ⅲ,7.2,8.25,9.55,707.1,186.3,2.8,0.188,0.186,8.58
48,山西省,04-04 12:00,Ⅲ,12.1,8.27,9.4,710.8,151.3,2.28,0.025,0.119,6.85
49,山西省,04-04 20:00,Ⅲ,12.3,8.3,9.17,730.3,220.6,2.27,0.025,0.119,6.73
50,山西省,04-04 20:00,Ⅲ,12.3,8.3,9.17,730.3,220.6,2.54,0.025,0.145,7.33
51,山西省,04-05 00:00,Ⅲ,10.4,8.29,9.24,725.2,196.7,2.54,0.025,0.145,7.33
52,山西省,04-05 08:00,Ⅲ,8.1,8.31,9.75,707.3,158.9,2.74,0.025,0.142,7.35
53,山西省,04-05 12:00,Ⅲ,9.8,8.33,9.82,711.8,107.6,2.34,0.025,0.118,6.97
54,山西省,04-05 16:00,Ⅲ,10.0,8.36,9.87,703.8,101.1,1.97,0.025,0.103,6.44
55,山西省,04-05 20:00,Ⅱ,9.0,8.35,9.73,697.0,94.1,1.77,0.025,0.092,6.25
56,山西省,04-01 08:00,Ⅱ,8.7,8.14,11.06,718.7,3.7,2.99,0.123,0.024,0.76
57,山西省,04-01 12:00,Ⅱ,8.8,8.17,11.56,717.5,1.5,3.29,0.068,0.022,0.74
58,山西省,04-01 16:00,Ⅱ,9.0,8.21,11.5,707.4,1.4,3.29,0.068,0.022,0.74
59,山西省,04-01 20:00,Ⅱ,8.6,8.03,9.2,717.1,1.0,3.19,0.046,0.025,0.75
60,山西省,04-02 00:00,Ⅱ,8.6,7.99,9.15,722.9,1.3,2.97,0.054,0.017,0.76
61,山西省,04-02 04:00,Ⅱ,8.3,8.01,9.39,715.7,1.2,2.97,0.054,0.017,0.76
62,山西省,04-02 08:00,Ⅱ,8.6,8.17,11.66,713.0,0.9,3.06,0.049,0.016,0.72
63,山西省,04-02 12:00,Ⅱ,9.6,7.94,11.47,709.6,2.7,3.34,0.057,0.016,0.73
65,山西省,04-02 20:00,Ⅱ,8.4,8.02,10.34,715.3,2.9,3.03,0.067,0.021,0.71
66,山西省,04-03 00:00,Ⅱ,8.3,8.02,10.59,716.2,2.0,2.89,0.059,0.024,0.71
67,山西省,04-03 04:00,Ⅱ,8.3,8.03,10.45,715.1,4.8,2.89,0.059,0.024,0.71
68,山西省,04-03 08:00,Ⅱ,8.4,8.16,11.11,711.0,1.4,2.84,0.06,0.015,0.71
69,山西省,04-03 12:00,Ⅱ,8.6,8.2,11.26,708.1,4.9,2.8,0.048,0.014,0.68
70,山西省,04-03 16:00,Ⅱ,9.0,8.22,11.39,707.3,4.2,2.85,0.043,0.017,0.71
71,山西省,04-03 20:00,Ⅱ,8.0,8.07,10.46,716.1,2.4,2.86,0.046,0.021,0.69
72,山西省,04-04 00:00,Ⅱ,7.6,8.04,10.34,721.8,2.6,2.93,0.055,0.023,0.71
73,山西省,04-04 04:00,Ⅱ,7.9,8.04,10.6,723.7,1.1,2.93,0.055,0.023,0.71
74,山西省,04-04 04:00,Ⅱ,7.9,8.04,10.6,723.7,1.1,2.79,0.08,0.022,0.76
75,山西省,04-04 08:00,Ⅱ,8.2,8.15,11.37,720.0,1.9,2.79,0.08,0.022,0.76
76,山西省,04-04 12:00,Ⅱ,10.9,8.23,11.48,707.6,10.6,3.16,0.074,0.02,0.76
77,山西省,04-04 20:00,Ⅱ,8.1,8.08,10.32,715.5,2.6,3.4,0.066,0.02,0.74
78,山西省,04-04 20:00,Ⅱ,8.1,8.08,10.32,715.5,2.6,2.77,0.063,0.022,0.73
79,山西省,04-05 00:00,Ⅱ,7.9,8.07,10.15,715.8,0.9,2.77,0.063,0.022,0.73
80,山西省,04-05 08:00,Ⅱ,8.4,8.16,11.12,713.4,1.3,2.8,0.047,0.021,0.7
