,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,广东省,04-01 04:00,Ⅱ,23.6,7.17,6.88,279.6,9.6,1.0,0.133,0.029,2.11
1,广东省,04-01 12:00,Ⅱ,25.3,7.29,7.87,280.1,7.4,0.88,0.081,0.026,2.14
2,广东省,04-01 12:00,Ⅱ,25.3,7.29,7.87,280.1,7.4,0.88,0.081,0.026,2.14
3,广东省,04-01 16:00,Ⅱ,24.5,7.43,8.32,278.7,11.2,0.83,0.025,0.025,1.98
4,广东省,04-01 20:00,Ⅱ,24.8,7.3,7.66,279.4,11.0,0.83,0.077,0.026,2.3
5,广东省,04-01 20:00,Ⅱ,24.8,7.3,7.66,279.4,11.0,0.83,0.077,0.026,2.3
6,广东省,04-02 04:00,Ⅱ,23.8,7.19,7.0,280.4,8.2,0.79,0.111,0.024,1.95
7,广东省,04-02 08:00,Ⅱ,23.9,7.2,6.97,281.6,12.8,0.79,0.168,0.027,2.22
8,广东省,04-02 12:00,Ⅱ,24.6,7.31,7.9,282.1,9.9,0.75,0.216,0.027,2.11
9,广东省,04-02 16:00,Ⅱ,24.9,7.42,8.32,281.4,13.6,0.75,0.067,0.026,1.97
10,广东省,04-02 20:00,Ⅱ,24.3,7.2,7.16,283.1,7.2,0.92,0.101,0.026,2.25
11,广东省,04-02 20:00,Ⅱ,24.3,7.2,7.16,283.1,7.2,0.92,0.101,0.026,2.25
12,广东省,04-03 04:00,Ⅱ,24.0,7.14,6.6,284.0,9.8,1.0,0.066,0.029,2.36
13,广东省,04-03 08:00,Ⅱ,24.0,7.13,6.71,284.4,7.4,0.67,0.195,0.024,2.08
14,广东省,04-03 12:00,Ⅱ,25.4,7.21,7.46,284.1,7.9,0.75,0.214,0.025,2.11
15,广东省,04-03 16:00,Ⅱ,25.2,7.41,8.26,283.4,9.4,0.96,0.102,0.026,2.17
16,广东省,04-03 20:00,Ⅱ,24.9,7.29,7.66,285.0,9.2,0.75,0.079,0.025,2.04
17,广东省,04-03 20:00,Ⅱ,24.9,7.29,7.66,285.0,9.2,0.75,0.079,0.025,2.04
19,广东省,04-04 04:00,Ⅱ,24.2,7.27,7.4,285.4,12.1,1.0,0.224,0.026,2.17
20,广东省,04-04 12:00,Ⅱ,24.2,7.32,7.75,285.4,10.9,1.17,0.238,0.026,2.12
21,广东省,04-04 16:00,Ⅱ,24.1,7.41,8.12,285.4,14.7,1.08,0.066,0.026,2.18
22,广东省,04-04 20:00,Ⅱ,23.8,7.25,7.18,286.0,11.2,1.04,0.23,0.026,2.23
23,广东省,04-04 20:00,Ⅱ,23.8,7.25,7.18,286.0,11.2,1.04,0.23,0.026,2.23
24,广东省,04-05 04:00,Ⅱ,23.2,7.31,7.52,286.5,12.6,0.96,0.083,0.032,2.35
25,广东省,04-05 08:00,Ⅱ,23.0,7.33,7.65,286.1,12.6,1.0,0.081,0.029,1.98
26,广东省,04-05 12:00,Ⅱ,23.3,7.47,8.34,286.3,12.5,1.04,0.076,0.028,2.0
27,广东省,04-05 16:00,Ⅱ,23.6,7.49,8.43,286.1,10.2,1.21,0.115,0.026,1.76
32,广东省,02-08 12:00,Ⅱ,24.1,8.03,6.72,28427.2,4.7,2.54,0.311,0.017,1.66
33,广东省,02-08 12:00,Ⅱ,24.1,8.03,6.72,28427.2,4.7,2.54,0.311,0.017,1.66
38,广东省,02-08 12:00,Ⅱ,24.1,8.03,6.72,28427.2,4.7,2.54,0.311,0.017,1.66
39,广东省,02-08 12:00,Ⅱ,24.1,8.03,6.72,28427.2,4.7,2.54,0.311,0.017,1.66
44,广东省,02-08 12:00,Ⅱ,24.1,8.03,6.72,28427.2,4.7,2.54,0.311,0.017,1.66
