,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,广西壮族自治区,04-01 08:00,Ⅲ,24.2,6.79,5.46,6255.9,7.0,2.25,0.441,0.099,1.72
1,广西壮族自治区,04-01 12:00,Ⅱ,25.3,7.12,6.73,11386.1,5.7,2.3,0.282,0.085,1.58
2,广西壮族自治区,04-01 16:00,Ⅱ,26.5,7.39,7.82,10761.5,7.6,2.3,0.282,0.085,1.58
3,广西壮族自治区,04-01 20:00,Ⅱ,25.4,7.51,7.51,16199.3,6.7,2.22,0.285,0.087,1.57
4,广西壮族自治区,04-02 00:00,Ⅱ,25.4,7.18,6.68,10704.5,5.9,2.07,0.373,0.075,1.44
5,广西壮族自治区,04-02 00:00,Ⅱ,25.4,7.18,6.68,10704.5,5.9,2.07,0.373,0.075,1.44
6,广西壮族自治区,04-02 08:00,Ⅳ,25.2,6.69,4.79,4348.2,4.9,2.59,0.325,0.088,1.71
7,广西壮族自治区,04-02 12:00,Ⅲ,26.0,6.99,6.29,11312.0,5.2,2.39,0.467,0.107,1.84
8,广西壮族自治区,04-02 16:00,Ⅱ,27.5,7.3,7.35,12816.6,6.8,2.25,0.428,0.085,1.53
9,广西壮族自治区,04-02 20:00,Ⅱ,25.9,7.21,6.52,19313.3,4.7,2.19,0.272,0.086,1.58
10,广西壮族自治区,04-03 00:00,Ⅱ,26.2,7.18,6.76,13095.3,4.3,2.07,0.49,0.072,1.39
11,广西壮族自治区,04-03 00:00,Ⅱ,26.2,7.18,6.76,13095.3,4.3,2.07,0.49,0.072,1.39
12,广西壮族自治区,04-03 08:00,Ⅲ,26.1,6.77,5.2,7855.9,2.6,2.17,0.33,0.088,1.61
13,广西壮族自治区,04-03 12:00,Ⅲ,26.5,6.97,5.85,8279.1,6.7,2.24,0.38,0.092,1.66
14,广西壮族自治区,04-03 16:00,Ⅲ,26.2,6.99,5.96,13443.3,6.7,3.01,0.707,0.123,2.05
15,广西壮族自治区,04-03 20:00,Ⅲ,25.9,7.19,5.97,19399.2,4.4,2.29,0.342,0.092,1.64
16,广西壮族自治区,04-04 00:00,Ⅲ,25.9,7.09,5.54,15620.5,3.6,2.02,0.412,0.073,1.43
17,广西壮族自治区,04-04 00:00,Ⅲ,25.9,7.09,5.54,15620.5,3.6,2.02,0.412,0.073,1.43
19,广西壮族自治区,04-04 08:00,Ⅳ,24.8,6.83,4.92,10171.7,3.0,1.87,0.41,0.09,1.63
21,广西壮族自治区,04-04 16:00,Ⅲ,23.9,7.01,6.34,11350.2,23.1,2.93,0.675,0.119,1.99
22,广西壮族自治区,04-04 20:00,Ⅱ,24.0,7.23,6.27,19573.1,10.1,2.27,0.417,0.082,1.53
23,广西壮族自治区,04-05 00:00,Ⅱ,23.5,7.23,6.52,16489.9,7.5,2.27,0.417,0.082,1.53
24,广西壮族自治区,04-05 04:00,Ⅲ,23.4,6.94,5.57,9313.6,12.8,2.85,0.612,0.114,2.08
25,广西壮族自治区,04-05 08:00,Ⅲ,23.0,6.82,5.97,4902.9,7.7,2.52,0.454,0.103,1.75
26,广西壮族自治区,04-05 12:00,Ⅲ,23.5,6.8,7.79,2271.5,10.2,2.32,0.206,0.112,1.53
27,广西壮族自治区,04-05 16:00,Ⅲ,24.5,6.78,7.84,995.0,8.2,2.33,0.152,0.122,1.5
28,广西壮族自治区,04-01 04:00,Ⅱ,22.8,7.86,7.75,333.6,1.1,1.34,0.025,0.028,1.5
29,广西壮族自治区,04-01 12:00,Ⅱ,24.3,7.81,7.81,334.7,2.1,1.4,0.039,0.022,1.53
30,广西壮族自治区,04-01 12:00,Ⅱ,24.3,7.81,7.81,334.7,2.1,1.4,0.039,0.022,1.53
31,广西壮族自治区,04-01 16:00,Ⅱ,25.8,7.88,8.09,336.3,1.8,1.41,0.027,0.024,1.57
32,广西壮族自治区,04-01 20:00,Ⅰ,24.8,7.9,7.87,334.8,2.1,1.42,0.025,0.018,1.48
