,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,新疆维吾尔自治区,04-01 04:00,Ⅱ,10.0,8.52,8.69,2593.9,9.3,0.73,0.025,0.02,12.55
1,新疆维吾尔自治区,04-01 12:00,Ⅱ,11.4,8.72,10.79,2632.4,3.6,0.87,0.034,0.022,13.0
2,新疆维吾尔自治区,04-01 12:00,Ⅱ,11.4,8.72,10.79,2632.4,3.6,0.87,0.034,0.022,13.0
3,新疆维吾尔自治区,04-01 16:00,Ⅱ,12.6,8.68,10.5,2628.6,3.4,0.89,0.025,0.021,12.8
4,新疆维吾尔自治区,04-01 20:00,Ⅱ,11.7,8.51,8.65,2519.2,3.9,1.13,0.025,0.021,12.64
5,新疆维吾尔自治区,04-02 00:00,Ⅱ,10.4,8.43,8.37,2632.2,3.9,0.84,0.025,0.02,12.98
6,新疆维吾尔自治区,04-02 04:00,Ⅰ,10.3,8.42,8.35,2530.6,4.1,0.87,0.025,0.02,12.84
9,新疆维吾尔自治区,04-02 16:00,Ⅱ,13.0,8.67,10.27,2630.5,7.9,1.04,0.025,0.021,12.74
14,新疆维吾尔自治区,04-03 12:00,Ⅱ,10.8,8.61,10.91,2599.6,5.4,1.13,0.041,0.028,12.87
15,新疆维吾尔自治区,04-03 16:00,Ⅱ,12.4,8.68,11.39,2636.2,3.0,0.71,0.025,0.021,12.96
16,新疆维吾尔自治区,04-03 20:00,Ⅰ,11.5,8.5,9.64,2589.1,2.8,0.48,0.025,0.019,12.99
17,新疆维吾尔自治区,04-04 00:00,Ⅰ,10.3,8.41,9.47,2623.7,3.5,0.69,0.025,0.02,13.04
19,新疆维吾尔自治区,04-04 04:00,Ⅰ,10.2,8.41,9.42,2585.0,3.8,0.65,0.025,0.019,12.89
20,新疆维吾尔自治区,04-04 12:00,Ⅱ,11.2,8.65,11.58,2601.8,1.7,0.73,0.026,0.021,12.77
21,新疆维吾尔自治区,04-04 16:00,Ⅰ,12.3,8.68,11.4,2626.4,2.4,0.69,0.025,0.02,12.83
27,新疆维吾尔自治区,04-05 16:00,Ⅰ,13.3,8.68,11.23,2601.9,1.8,0.83,0.025,0.017,12.82
28,新疆维吾尔自治区,04-01 04:00,Ⅱ,8.9,8.37,9.07,892.0,59.8,2.53,0.192,0.027,1.17
29,新疆维吾尔自治区,04-01 12:00,Ⅱ,9.4,8.33,9.21,850.8,48.7,3.0,0.126,0.024,0.89
30,新疆维吾尔自治区,04-01 12:00,Ⅱ,9.4,8.33,9.21,850.8,48.7,3.0,0.126,0.024,0.89
31,新疆维吾尔自治区,04-01 16:00,Ⅱ,11.8,8.34,9.1,828.6,36.4,2.7,0.1,0.021,0.8
32,新疆维吾尔自治区,04-01 20:00,Ⅱ,12.3,8.37,8.85,826.2,33.8,2.83,0.082,0.02,0.8
33,新疆维吾尔自治区,04-02 00:00,Ⅱ,10.6,8.34,8.68,840.5,49.5,2.94,0.143,0.025,1.12
34,新疆维吾尔自治区,04-02 04:00,Ⅱ,9.6,8.34,8.86,883.8,42.2,2.97,0.117,0.024,0.96
35,新疆维吾尔自治区,04-02 08:00,Ⅱ,9.2,8.34,8.96,914.8,32.9,3.47,0.091,0.019,0.8
36,新疆维吾尔自治区,04-02 12:00,Ⅱ,9.9,8.33,9.17,902.2,29.5,3.34,0.079,0.017,0.75
37,新疆维吾尔自治区,04-02 16:00,Ⅱ,12.0,8.34,9.13,879.3,28.4,3.15,0.068,0.017,0.72
38,新疆维吾尔自治区,04-02 20:00,Ⅱ,11.9,8.38,8.93,830.3,26.6,3.17,0.056,0.017,0.69
39,新疆维吾尔自治区,04-03 00:00,Ⅱ,10.6,8.38,8.7,814.6,24.6,3.38,0.051,0.015,0.66
40,新疆维吾尔自治区,04-03 04:00,Ⅱ,10.2,8.39,8.88,782.6,35.6,3.55,0.065,0.017,0.66
41,新疆维吾尔自治区,04-03 08:00,Ⅱ,9.4,8.37,8.92,795.1,23.9,3.41,0.046,0.015,0.64
42,新疆维吾尔自治区,04-03 12:00,Ⅱ,9.7,8.38,9.19,803.2,22.8,3.16,0.046,0.015,0.62
43,新疆维吾尔自治区,04-03 16:00,Ⅱ,11.4,8.4,9.28,788.7,24.5,3.34,0.047,0.015,0.64
44,新疆维吾尔自治区,04-03 20:00,Ⅱ,12.0,8.43,9.06,785.0,23.4,3.16,0.04,0.016,0.62
45,新疆维吾尔自治区,04-04 00:00,Ⅱ,10.6,8.4,8.75,783.8,23.1,2.97,0.037,0.015,0.61
47,新疆维吾尔自治区,04-04 04:00,Ⅱ,9.8,8.36,8.82,796.9,24.3,3.04,0.04,0.015,0.63
48,新疆维吾尔自治区,04-04 12:00,Ⅱ,9.6,8.38,9.09,818.1,22.2,3.15,0.035,0.013,0.6
49,新疆维吾尔自治区,04-04 16:00,Ⅱ,11.9,8.39,9.31,790.7,22.9,3.19,0.032,0.013,0.59
50,新疆维吾尔自治区,04-04 20:00,Ⅱ,12.4,8.44,9.07,807.9,21.7,3.42,0.025,0.013,0.56
51,新疆维吾尔自治区,04-04 20:00,Ⅱ,12.4,8.44,9.07,807.9,21.7,3.42,0.025,0.013,0.56
52,新疆维吾尔自治区,04-05 04:00,Ⅱ,10.2,8.38,8.59,858.5,20.9,3.27,0.029,0.012,0.57
53,新疆维吾尔自治区,04-05 08:00,Ⅱ,9.5,8.36,8.74,861.0,20.2,3.74,0.025,0.012,0.59
54,新疆维吾尔自治区,04-05 12:00,Ⅱ,10.5,8.39,9.12,849.1,20.3,3.67,0.025,0.012,0.56
55,新疆维吾尔自治区,04-05 16:00,Ⅱ,13.2,8.48,9.32,832.7,20.8,3.51,0.025,0.012,0.57
56,新疆维吾尔自治区,04-01 04:00,Ⅰ,11.5,8.04,12.3,605.8,7.0,0.25,0.025,0.005,0.78
60,新疆维吾尔自治区,04-01 04:00,Ⅰ,2.9,7.87,11.71,345.7,5.3,0.25,0.025,0.005,0.7
61,新疆维吾尔自治区,04-01 12:00,Ⅰ,4.3,7.88,11.51,343.8,3.8,0.25,0.025,0.005,0.67
62,新疆维吾尔自治区,04-01 12:00,Ⅰ,4.3,7.88,11.51,343.8,3.8,0.25,0.025,0.005,0.67
63,新疆维吾尔自治区,04-01 16:00,Ⅰ,6.1,7.89,11.05,341.4,3.0,0.25,0.025,0.005,0.66
64,新疆维吾尔自治区,04-01 20:00,Ⅰ,4.9,7.81,11.16,339.4,4.2,0.27,0.025,0.005,0.65
65,新疆维吾尔自治区,04-02 00:00,Ⅰ,3.6,7.86,11.38,339.3,3.1,0.25,0.025,0.006,0.65
66,新疆维吾尔自治区,04-02 04:00,Ⅰ,3.1,7.87,11.65,338.8,7.5,0.26,0.025,0.006,0.68
67,新疆维吾尔自治区,04-02 08:00,Ⅰ,2.9,7.86,11.71,337.1,4.3,0.26,0.025,0.005,0.66
68,新疆维吾尔自治区,04-02 12:00,Ⅰ,3.9,7.88,11.55,336.4,6.9,0.25,0.025,0.005,0.65
69,新疆维吾尔自治区,04-02 16:00,Ⅰ,5.7,7.89,11.17,335.0,6.8,0.25,0.025,0.005,0.66
70,新疆维吾尔自治区,04-02 20:00,Ⅰ,4.3,7.88,11.47,337.8,6.6,0.3,0.025,0.005,0.67
71,新疆维吾尔自治区,04-03 00:00,Ⅰ,3.2,7.86,11.62,340.7,4.1,0.25,0.025,0.005,0.66
73,新疆维吾尔自治区,04-03 08:00,Ⅰ,2.6,7.86,11.62,343.0,3.1,0.25,0.025,0.005,0.67
74,新疆维吾尔自治区,04-03 12:00,Ⅰ,4.2,7.88,11.53,341.6,4.2,0.25,0.025,0.005,0.66
75,新疆维吾尔自治区,04-03 16:00,Ⅰ,6.1,7.77,10.85,341.3,10.2,0.25,0.025,0.005,0.65
76,新疆维吾尔自治区,04-03 20:00,Ⅰ,4.8,7.89,11.35,340.5,6.4,0.25,0.025,0.005,0.66
77,新疆维吾尔自治区,04-04 00:00,Ⅰ,3.4,7.87,11.57,342.3,5.5,0.25,0.025,0.005,0.66
80,新疆维吾尔自治区,04-04 12:00,Ⅰ,3.8,7.88,11.62,341.5,5.7,0.25,0.025,0.005,0.67
81,新疆维吾尔自治区,04-04 16:00,Ⅰ,5.0,7.89,11.44,340.2,6.7,0.64,0.025,0.005,0.67
82,新疆维吾尔自治区,04-04 20:00,Ⅰ,6.2,7.64,10.77,337.8,2.8,0.55,0.025,0.005,0.67
83,新疆维吾尔自治区,04-04 20:00,Ⅰ,6.2,7.64,10.77,337.8,2.8,0.55,0.025,0.005,0.67
84,新疆维吾尔自治区,04-05 04:00,Ⅰ,2.9,7.86,11.54,343.5,4.6,0.53,0.025,0.005,0.67
85,新疆维吾尔自治区,04-05 08:00,Ⅰ,2.9,7.86,11.57,346.2,6.0,0.7,0.025,0.005,0.66
86,新疆维吾尔自治区,04-05 12:00,Ⅰ,4.5,7.88,11.53,344.5,13.5,0.76,0.025,0.005,0.68
88,新疆维吾尔自治区,04-01 04:00,Ⅰ,2.8,8.14,12.3,387.8,24.8,1.14,0.027,0.014,1.74
89,新疆维吾尔自治区,04-01 12:00,Ⅰ,2.8,8.19,12.6,380.1,23.7,0.88,0.025,0.014,1.64
90,新疆维吾尔自治区,04-01 12:00,Ⅰ,2.8,8.19,12.6,380.1,23.7,0.88,0.025,0.014,1.64
91,新疆维吾尔自治区,04-01 16:00,Ⅰ,3.6,8.22,12.71,388.4,22.3,0.91,0.026,0.013,3.06
92,新疆维吾尔自治区,04-01 20:00,Ⅰ,3.2,8.23,12.42,413.3,21.8,1.04,0.026,0.015,1.74
93,新疆维吾尔自治区,04-02 00:00,Ⅰ,3.2,8.18,12.13,414.8,22.4,0.8,0.026,0.014,1.7
94,新疆维吾尔自治区,04-02 04:00,Ⅰ,2.6,8.18,12.36,414.7,22.8,0.78,0.025,0.014,1.67
95,新疆维吾尔自治区,04-02 08:00,Ⅰ,2.6,8.17,12.44,416.7,22.4,0.97,0.025,0.014,1.67
96,新疆维吾尔自治区,04-02 12:00,Ⅰ,2.6,8.19,12.61,411.4,20.4,0.95,0.025,0.013,1.6
97,新疆维吾尔自治区,04-02 16:00,Ⅰ,2.5,8.18,12.7,408.2,20.9,0.75,0.025,0.013,1.58
98,新疆维吾尔自治区,04-02 20:00,Ⅰ,2.6,8.17,12.63,407.2,20.9,0.75,0.025,0.013,1.54
