,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,江苏省,04-01 08:00,Ⅱ,17.6,8.5,8.42,442.3,10.4,2.65,0.043,0.055,1.66
1,江苏省,04-01 12:00,Ⅱ,17.5,8.53,8.68,442.2,9.7,2.51,0.047,0.054,1.72
2,江苏省,04-01 12:00,Ⅱ,17.5,8.53,8.68,442.2,9.7,2.66,0.039,0.058,1.77
3,江苏省,04-01 16:00,Ⅲ,17.9,8.73,9.83,441.8,8.2,4.14,0.025,0.059,1.87
4,江苏省,04-01 20:00,Ⅱ,17.7,8.66,9.34,444.6,7.8,3.24,0.04,0.067,1.85
5,江苏省,04-02 00:00,Ⅱ,17.7,8.55,8.64,447.9,8.1,2.93,0.062,0.063,1.88
6,江苏省,04-02 04:00,Ⅱ,17.7,8.5,8.37,449.5,7.5,2.68,0.066,0.056,1.76
7,江苏省,04-02 08:00,Ⅱ,17.6,8.41,7.87,448.9,7.6,2.82,0.073,0.055,1.83
8,江苏省,04-02 12:00,Ⅱ,18.0,8.6,9.23,446.6,7.8,2.83,0.045,0.052,1.73
9,江苏省,04-02 16:00,Ⅱ,18.4,8.54,9.06,452.5,10.1,2.7,0.053,0.058,1.78
10,江苏省,04-02 20:00,Ⅱ,18.2,8.47,8.64,455.0,8.4,2.59,0.056,0.054,1.78
11,江苏省,04-03 00:00,Ⅱ,18.3,8.42,8.48,453.3,9.4,2.56,0.058,0.052,1.72
12,江苏省,04-03 04:00,Ⅱ,18.1,8.34,8.06,471.5,10.0,2.51,0.078,0.058,2.12
13,江苏省,04-03 08:00,Ⅱ,17.9,8.21,7.47,464.2,10.3,2.33,0.097,0.052,1.93
14,江苏省,04-03 12:00,Ⅱ,17.8,8.24,7.66,465.8,10.3,2.62,0.094,0.049,2.02
15,江苏省,04-03 16:00,Ⅱ,17.7,8.43,8.65,464.2,10.0,2.77,0.094,0.054,1.79
16,江苏省,04-03 20:00,Ⅱ,17.5,8.49,9.05,456.3,9.6,2.68,0.094,0.054,1.12
17,江苏省,04-04 00:00,Ⅱ,17.2,8.33,8.14,457.0,10.9,2.37,0.076,0.048,1.67
19,江苏省,04-04 08:00,Ⅱ,16.8,8.31,8.45,447.0,14.6,2.37,0.074,0.047,1.64
20,江苏省,04-04 12:00,Ⅳ,17.3,8.42,9.14,446.2,11.9,6.07,0.048,0.059,1.55
21,江苏省,04-04 20:00,Ⅱ,17.6,8.5,9.4,458.0,10.4,2.79,0.069,0.058,1.6
22,江苏省,04-04 20:00,Ⅱ,17.6,8.5,9.4,458.0,10.4,2.61,0.059,0.054,1.78
