,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,江西省,04-01 08:00,Ⅰ,22.0,8.58,11.53,172.2,4.0,1.6,0.072,0.015,3.14
1,江西省,04-01 12:00,Ⅱ,22.3,8.69,12.36,173.6,4.4,2.11,0.074,0.015,3.14
2,江西省,04-01 12:00,Ⅱ,22.3,8.69,12.36,173.6,4.4,2.11,0.074,0.015,3.14
3,江西省,04-01 16:00,Ⅰ,22.2,8.54,12.22,170.7,4.5,1.9,0.081,0.016,3.18
4,江西省,04-01 20:00,Ⅰ,22.3,8.45,11.76,171.0,3.9,1.96,0.077,0.015,3.11
5,江西省,04-02 00:00,Ⅰ,22.7,8.38,11.06,173.5,3.6,1.96,0.077,0.015,3.11
6,江西省,04-02 04:00,Ⅰ,22.4,8.3,10.84,172.8,3.3,1.73,0.075,0.015,3.09
7,江西省,04-02 08:00,Ⅰ,22.5,8.36,10.88,173.2,3.3,1.75,0.074,0.014,3.08
8,江西省,04-02 12:00,Ⅱ,23.1,8.52,11.54,175.6,3.6,2.14,0.058,0.02,2.92
9,江西省,04-02 16:00,Ⅱ,23.4,8.53,11.77,175.7,4.2,2.0,0.077,0.015,2.98
10,江西省,04-02 20:00,Ⅰ,23.2,8.46,11.46,175.5,3.7,1.83,0.073,0.016,2.98
11,江西省,04-03 00:00,Ⅰ,23.2,8.24,10.6,176.1,5.4,1.83,0.073,0.016,2.98
12,江西省,04-03 04:00,Ⅰ,23.1,8.14,10.32,175.8,5.0,1.64,0.071,0.013,2.95
13,江西省,04-03 08:00,Ⅰ,23.2,8.21,10.4,176.6,3.8,1.43,0.071,0.015,2.96
14,江西省,04-03 12:00,Ⅰ,24.2,8.31,10.75,179.8,4.3,1.68,0.069,0.014,3.0
15,江西省,04-03 16:00,Ⅰ,24.8,8.58,11.38,181.3,3.9,1.84,0.074,0.014,2.98
16,江西省,04-03 20:00,Ⅰ,24.9,8.44,10.6,182.2,3.4,1.81,0.07,0.011,2.94
17,江西省,04-04 00:00,Ⅰ,23.7,8.15,9.89,178.7,14.0,1.81,0.07,0.011,2.94
20,江西省,04-04 12:00,Ⅰ,23.4,8.1,9.57,178.7,11.4,1.45,0.065,0.014,3.08
21,江西省,04-04 16:00,Ⅰ,23.9,8.2,9.74,180.6,9.5,1.6,0.064,0.014,3.05
22,江西省,04-04 20:00,Ⅰ,23.4,8.1,9.69,179.2,9.2,1.55,0.065,0.013,3.08
23,江西省,04-05 00:00,Ⅰ,23.1,7.99,9.53,178.1,9.9,1.55,0.065,0.013,3.08
24,江西省,04-05 04:00,Ⅰ,22.8,7.86,9.04,177.3,11.1,1.51,0.069,0.014,3.07
25,江西省,04-05 08:00,Ⅰ,22.7,7.8,9.07,176.4,11.3,1.47,0.07,0.015,3.08
26,江西省,04-05 12:00,Ⅰ,22.8,7.85,8.82,176.8,11.1,1.42,0.069,0.016,3.08
27,江西省,04-05 16:00,Ⅰ,22.8,7.92,9.05,176.8,10.1,1.49,0.071,0.016,3.08
29,江西省,04-01 12:00,劣Ⅴ,18.6,6.84,8.85,60.3,380.5,9.78,0.274,0.596,3.79
30,江西省,04-01 12:00,劣Ⅴ,18.6,6.84,8.85,60.3,380.5,9.78,0.274,0.596,3.79
31,江西省,04-01 16:00,劣Ⅴ,18.4,6.99,8.62,64.6,384.4,12.16,0.318,0.766,3.85
32,江西省,04-01 20:00,劣Ⅴ,17.8,6.87,8.85,54.5,374.4,10.53,0.245,0.501,3.6
33,江西省,04-02 00:00,劣Ⅴ,17.6,6.86,9.04,52.2,329.1,9.11,0.237,0.414,3.35
34,江西省,04-02 04:00,Ⅴ,17.4,6.94,9.19,55.2,326.9,8.66,0.174,0.369,3.04
35,江西省,04-02 08:00,Ⅳ,17.3,6.94,8.69,65.6,199.4,6.29,0.121,0.249,2.2
36,江西省,04-02 12:00,Ⅳ,17.5,6.89,8.49,56.4,202.7,6.12,0.116,0.222,2.23
37,江西省,04-02 16:00,Ⅲ,17.4,6.96,9.34,56.3,180.8,5.1,0.094,0.181,1.89
