,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
1,河北省,04-01 12:00,Ⅰ,11.4,8.23,9.32,1340.5,1.5,1.56,0.025,0.005,4.21
2,河北省,04-01 12:00,Ⅰ,11.4,8.23,9.32,1340.5,1.5,1.56,0.025,0.005,4.21
3,河北省,04-01 16:00,Ⅱ,12.5,8.56,11.47,1333.5,2.3,2.09,0.025,0.005,4.2
4,河北省,04-01 20:00,Ⅱ,12.5,8.53,10.79,1334.2,2.8,2.17,0.025,0.005,4.37
5,河北省,04-02 00:00,Ⅱ,12.0,8.33,9.1,1343.3,2.0,2.19,0.025,0.005,4.53
6,河北省,04-02 04:00,Ⅱ,11.4,8.09,7.55,1354.6,2.9,2.01,0.025,0.005,4.63
7,河北省,04-02 08:00,Ⅱ,11.0,8.02,7.14,1360.9,2.2,2.24,0.025,0.005,4.64
8,河北省,04-02 12:00,Ⅰ,11.3,8.15,8.48,1359.4,2.0,1.99,0.025,0.005,4.58
9,河北省,04-02 16:00,Ⅱ,11.6,8.42,10.36,1350.9,2.6,2.25,0.025,0.005,4.48
10,河北省,04-02 20:00,Ⅱ,11.6,8.43,10.15,1346.7,2.9,2.11,0.025,0.005,4.45
11,河北省,04-03 00:00,Ⅱ,11.4,8.3,8.85,1346.6,2.3,1.93,0.025,0.005,4.42
12,河北省,04-03 04:00,Ⅰ,10.8,8.09,7.55,1358.7,2.6,1.84,0.025,0.005,4.47
13,河北省,04-03 08:00,Ⅱ,10.0,8.14,8.17,1359.2,2.1,2.09,0.025,0.005,4.58
14,河北省,04-03 12:00,Ⅰ,11.0,8.34,10.09,1356.7,2.3,1.89,0.025,0.005,4.57
15,河北省,04-03 16:00,Ⅰ,12.0,8.61,11.8,1347.4,2.7,1.87,0.025,0.005,4.55
16,河北省,04-03 20:00,Ⅰ,12.6,8.65,11.13,1345.7,2.8,1.89,0.025,0.005,4.73
17,河北省,04-04 00:00,Ⅰ,11.4,8.47,9.78,1354.3,2.4,1.88,0.025,0.005,4.8
19,河北省,04-04 08:00,Ⅰ,9.4,8.14,8.1,1371.5,1.4,1.81,0.025,0.005,4.66
20,河北省,04-04 16:00,Ⅰ,13.5,8.6,12.21,1341.7,1.9,1.45,0.025,0.005,4.51
21,河北省,04-04 20:00,Ⅰ,13.6,8.61,11.3,1334.1,2.0,1.49,0.025,0.005,4.3
22,河北省,04-05 00:00,Ⅰ,12.1,8.43,9.86,1342.7,2.7,1.57,0.025,0.005,4.19
23,河北省,04-05 00:00,Ⅰ,12.1,8.43,9.86,1342.7,2.7,1.57,0.025,0.005,4.19
24,河北省,04-05 08:00,Ⅰ,9.7,8.13,8.11,1365.6,2.0,1.52,0.025,0.005,4.28
25,河北省,04-05 12:00,Ⅰ,11.3,8.3,9.97,1359.1,1.5,1.54,0.025,0.005,4.38
26,河北省,04-05 16:00,Ⅰ,12.3,8.6,11.81,1342.7,2.2,1.48,0.025,0.005,4.36
27,河北省,04-05 20:00,Ⅰ,12.5,8.6,10.92,1337.5,2.3,1.5,0.025,0.005,4.15
28,河北省,04-01 08:00,Ⅳ,15.0,8.82,18.63,967.0,6.2,6.64,0.025,0.104,1.64
29,河北省,04-01 12:00,劣Ⅴ,15.7,9.05,28.03,966.6,7.0,6.89,0.025,0.114,1.65
30,河北省,04-01 12:00,劣Ⅴ,15.7,9.05,28.03,966.6,7.0,6.89,0.025,0.114,1.65
32,河北省,04-01 20:00,劣Ⅴ,15.3,9.07,28.37,965.7,7.4,7.25,0.025,0.113,1.66
33,河北省,04-02 00:00,Ⅳ,14.8,8.84,18.38,974.9,7.3,6.76,0.025,0.109,1.73
34,河北省,04-02 04:00,Ⅳ,14.4,8.61,12.45,984.5,7.2,6.72,0.025,0.11,1.77
35,河北省,04-02 08:00,Ⅳ,14.2,8.39,8.87,991.7,7.5,6.93,0.025,0.131,1.88
36,河北省,04-02 12:00,Ⅳ,14.7,8.71,14.68,978.9,8.0,7.05,0.025,0.127,2.11
37,河北省,04-02 16:00,劣Ⅴ,15.3,9.03,26.75,966.2,6.0,7.06,0.025,0.131,2.11
38,河北省,04-02 20:00,Ⅳ,14.9,8.93,22.32,971.1,6.3,6.8,0.027,0.12,2.05
39,河北省,04-03 00:00,Ⅳ,14.6,8.71,15.59,976.2,5.8,6.66,0.025,0.114,2.0
40,河北省,04-03 04:00,Ⅳ,14.2,8.41,10.46,984.0,5.8,6.62,0.025,0.114,1.91
41,河北省,04-03 08:00,Ⅳ,14.0,8.25,8.28,993.0,5.9,6.88,0.025,0.126,2.0
42,河北省,04-03 12:00,Ⅳ,15.8,8.91,23.75,970.1,5.2,6.76,0.025,0.121,1.91
45,河北省,04-04 00:00,劣Ⅴ,15.0,9.14,29.0,951.9,6.0,6.74,0.025,0.103,1.74
47,河北省,04-04 08:00,Ⅳ,13.8,8.65,15.05,966.7,5.4,6.53,0.025,0.114,1.63
52,河北省,04-05 08:00,劣Ⅴ,14.3,9.02,25.44,947.0,4.3,6.58,0.025,0.092,1.45
56,河北省,04-01 08:00,Ⅱ,13.1,8.88,9.95,1059.6,3.9,3.91,0.025,0.054,4.94
57,河北省,04-01 12:00,Ⅲ,13.8,8.91,10.6,1051.2,4.8,4.26,0.025,0.059,5.11
58,河北省,04-01 12:00,Ⅲ,13.8,8.91,10.6,1051.2,4.8,4.26,0.025,0.059,5.11
59,河北省,04-01 16:00,Ⅲ,13.7,8.94,10.85,1042.4,4.9,4.05,0.025,0.055,5.11
60,河北省,04-01 20:00,Ⅲ,13.7,8.92,10.37,1035.7,5.3,4.13,0.025,0.058,5.16
61,河北省,04-02 00:00,Ⅲ,13.4,8.88,10.25,1035.2,5.1,4.06,0.025,0.058,5.12
62,河北省,04-02 04:00,Ⅱ,13.2,8.86,10.04,1024.4,4.5,3.85,0.025,0.062,5.24
63,河北省,04-02 08:00,Ⅲ,13.1,8.85,10.09,1012.8,4.0,4.17,0.025,0.052,5.34
64,河北省,04-02 12:00,Ⅱ,13.7,8.92,10.88,994.9,6.0,3.99,0.025,0.059,5.15
65,河北省,04-02 16:00,Ⅲ,14.1,8.73,11.88,1027.8,4.8,4.0,0.025,0.07,5.17
66,河北省,04-02 20:00,Ⅲ,13.6,8.72,11.59,1041.0,7.3,4.15,0.025,0.055,5.0
67,河北省,04-03 00:00,Ⅲ,13.3,8.66,10.95,1053.1,6.0,4.19,0.082,0.06,4.92
68,河北省,04-03 04:00,Ⅲ,13.0,8.64,10.75,1048.3,4.3,4.13,0.025,0.049,5.11
69,河北省,04-03 08:00,Ⅲ,13.0,8.63,10.9,1041.7,3.8,4.06,0.025,0.047,5.11
70,河北省,04-03 12:00,Ⅱ,16.7,8.65,11.02,1039.5,4.1,3.99,0.081,0.049,4.95
71,河北省,04-03 16:00,Ⅱ,14.8,8.64,10.77,1062.5,3.3,3.86,0.115,0.049,4.78
72,河北省,04-03 20:00,Ⅱ,13.6,8.66,10.98,1056.8,4.2,3.89,0.025,0.051,4.87
73,河北省,04-04 00:00,Ⅱ,12.9,8.68,11.06,1041.8,4.0,3.98,0.025,0.054,5.01
75,河北省,04-04 08:00,Ⅱ,12.6,8.67,11.22,1035.7,3.8,3.9,0.025,0.057,5.01
76,河北省,04-04 12:00,Ⅱ,16.7,8.75,12.31,1029.2,5.6,3.73,0.09,0.054,4.89
77,河北省,04-04 16:00,Ⅲ,17.8,8.77,11.99,1031.5,24.7,4.49,0.157,0.068,5.05
78,河北省,04-04 20:00,Ⅲ,13.9,8.6,9.91,1041.8,10.9,4.05,0.227,0.058,4.78
79,河北省,04-05 00:00,Ⅲ,15.8,8.33,9.62,4.5,0.5,4.05,0.227,0.058,4.78
84,河北省,04-01 08:00,Ⅰ,10.2,7.92,9.76,567.9,3.4,1.22,0.025,0.005,4.23
85,河北省,04-01 12:00,Ⅰ,11.9,8.03,10.56,561.2,3.1,1.56,0.025,0.005,4.07
86,河北省,04-01 12:00,Ⅰ,11.9,8.03,10.56,561.2,3.1,1.56,0.025,0.005,4.07
87,河北省,04-01 16:00,Ⅰ,12.6,8.11,11.02,556.7,3.6,1.45,0.025,0.005,4.14
88,河北省,04-01 20:00,Ⅰ,12.3,8.02,10.11,556.6,4.4,1.53,0.025,0.005,4.21
89,河北省,04-02 00:00,Ⅰ,12.0,7.92,9.26,556.8,3.5,1.49,0.025,0.005,4.18
90,河北省,04-02 04:00,Ⅰ,11.5,7.83,8.68,555.0,5.2,1.6,0.025,0.005,4.14
91,河北省,04-02 08:00,Ⅰ,11.1,7.84,8.87,550.5,5.0,1.59,0.025,0.005,4.11
92,河北省,04-02 12:00,Ⅰ,11.9,8.0,9.99,543.8,5.6,1.62,0.025,0.005,4.13
93,河北省,04-02 16:00,Ⅰ,12.4,8.15,10.73,539.0,3.8,1.56,0.025,0.005,4.2
94,河北省,04-02 20:00,Ⅰ,12.1,8.04,9.89,542.5,5.2,1.54,0.025,0.005,4.19
95,河北省,04-03 00:00,Ⅰ,11.8,7.93,9.13,547.0,4.5,1.69,0.025,0.005,4.23
96,河北省,04-03 04:00,Ⅰ,11.0,7.85,8.67,553.0,5.5,1.6,0.025,0.005,4.28
97,河北省,04-03 08:00,Ⅰ,10.1,7.91,9.37,557.9,3.5,1.62,0.025,0.005,4.28
98,河北省,04-03 12:00,Ⅰ,11.9,8.1,10.81,551.8,3.0,1.49,0.025,0.005,4.31
99,河北省,04-03 16:00,Ⅰ,13.2,8.22,11.22,546.1,2.9,1.53,0.025,0.005,4.35
100,河北省,04-03 20:00,Ⅰ,12.3,8.11,10.23,550.5,4.4,1.48,0.025,0.005,4.36
101,河北省,04-04 00:00,Ⅰ,10.9,8.01,9.61,556.1,4.3,1.49,0.025,0.005,4.4
103,河北省,04-04 08:00,Ⅰ,8.6,7.99,9.83,564.5,2.8,1.42,0.025,0.005,4.4
104,河北省,04-04 16:00,Ⅰ,13.4,8.24,11.43,543.4,2.6,1.53,0.025,0.005,4.4
105,河北省,04-04 20:00,Ⅰ,12.4,8.12,10.23,547.8,3.2,1.5,0.025,0.005,4.47
106,河北省,04-04 20:00,Ⅰ,12.4,8.12,10.23,547.8,3.2,1.52,0.025,0.005,4.4
107,河北省,04-05 00:00,Ⅰ,11.0,8.0,9.56,554.8,3.7,1.52,0.025,0.005,4.4
108,河北省,04-05 08:00,Ⅰ,8.6,7.98,9.82,563.1,3.1,1.54,0.025,0.005,4.41
109,河北省,04-05 12:00,Ⅰ,10.7,8.15,11.14,553.1,3.3,1.47,0.025,0.005,4.39
110,河北省,04-05 16:00,Ⅰ,12.2,8.27,11.64,544.9,3.1,1.47,0.025,0.005,4.4
111,河北省,04-05 20:00,Ⅰ,11.9,8.14,10.39,548.7,4.0,1.44,0.025,0.005,4.39
112,河北省,04-01 08:00,Ⅲ,11.7,8.11,9.53,576.4,80.4,5.57,0.11,0.107,4.82
113,河北省,04-01 12:00,Ⅲ,12.5,8.13,9.8,568.3,65.6,5.68,0.103,0.112,4.81
114,河北省,04-01 12:00,Ⅲ,12.5,8.13,9.8,568.3,65.6,5.68,0.103,0.112,4.81
115,河北省,04-01 16:00,Ⅲ,12.9,8.16,9.9,563.5,68.3,5.69,0.1,0.11,4.73
116,河北省,04-01 20:00,Ⅲ,12.4,8.14,9.78,562.1,72.0,5.78,0.101,0.106,4.71
117,河北省,04-02 00:00,Ⅲ,12.4,8.1,9.53,562.5,71.5,5.71,0.087,0.111,4.66
118,河北省,04-02 04:00,Ⅲ,12.4,8.09,9.37,579.5,58.8,5.47,0.082,0.097,4.59
119,河北省,04-02 08:00,Ⅲ,12.1,8.09,9.36,579.8,65.6,5.74,0.093,0.103,4.7
120,河北省,04-02 12:00,Ⅲ,12.4,8.09,9.61,583.9,59.4,5.59,0.097,0.101,4.64
121,河北省,04-02 16:00,Ⅲ,12.5,8.15,9.83,571.5,71.9,5.57,0.152,0.112,4.73
122,河北省,04-02 20:00,Ⅲ,12.1,8.13,9.72,576.8,75.8,5.9,0.212,0.139,5.0
123,河北省,04-03 00:00,Ⅲ,12.1,8.11,9.58,586.4,63.6,5.85,0.273,0.11,5.08
124,河北省,04-03 04:00,Ⅲ,12.0,8.11,9.5,589.7,64.3,5.81,0.246,0.122,4.96
125,河北省,04-03 08:00,Ⅲ,11.8,8.11,9.54,586.0,64.5,5.93,0.19,0.109,4.85
126,河北省,04-03 12:00,Ⅲ,12.9,8.11,9.8,595.1,62.3,5.62,0.228,0.108,4.73
127,河北省,04-03 16:00,Ⅲ,13.9,8.13,9.93,593.3,62.4,5.48,0.306,0.104,4.78
128,河北省,04-03 20:00,Ⅲ,12.8,8.17,9.8,569.6,70.3,5.73,0.273,0.103,4.82
129,河北省,04-04 00:00,Ⅲ,12.3,8.16,9.55,566.2,65.3,5.89,0.369,0.111,4.85
130,河北省,04-04 04:00,Ⅲ,12.0,8.15,9.45,577.8,77.5,5.7,0.432,0.114,4.95
131,河北省,04-04 08:00,Ⅳ,11.4,8.15,9.61,584.8,97.6,6.07,0.432,0.114,5.0
132,河北省,04-04 16:00,Ⅲ,13.9,8.14,9.91,599.8,54.2,5.6,0.563,0.106,5.09
133,河北省,04-04 20:00,Ⅲ,12.7,8.16,9.8,595.0,71.4,5.44,0.684,0.093,5.28
134,河北省,04-05 00:00,Ⅲ,12.3,8.15,9.55,599.8,55.9,5.48,0.632,0.097,5.27
135,河北省,04-05 00:00,Ⅲ,12.3,8.15,9.55,599.8,55.9,5.48,0.632,0.097,5.27
136,河北省,04-05 08:00,Ⅲ,11.7,8.14,9.48,612.2,44.4,5.17,0.691,0.102,5.25
137,河北省,04-05 12:00,Ⅲ,13.0,7.96,9.87,590.0,46.1,5.22,0.589,0.087,5.16
138,河北省,04-05 16:00,Ⅲ,13.4,8.01,9.89,575.9,61.0,5.11,0.554,0.089,5.27
139,河北省,04-05 20:00,Ⅲ,12.6,8.01,9.76,566.4,55.5,5.17,0.535,0.099,5.24
140,河北省,04-01 08:00,Ⅲ,14.5,8.75,10.1,822.1,58.7,3.52,0.025,0.122,3.75
141,河北省,04-01 12:00,Ⅲ,14.9,8.9,12.14,832.0,49.4,3.74,0.025,0.137,3.77
142,河北省,04-01 12:00,Ⅲ,14.9,8.9,12.14,832.0,49.4,3.74,0.025,0.137,3.77
143,河北省,04-01 16:00,Ⅲ,15.0,8.97,12.14,819.5,65.2,3.78,0.025,0.165,3.67
144,河北省,04-01 20:00,Ⅲ,14.5,8.85,10.49,828.6,65.0,3.61,0.025,0.184,3.56
145,河北省,04-02 04:00,Ⅲ,13.6,8.75,10.09,793.8,78.8,3.61,0.025,0.184,3.56
146,河北省,04-02 04:00,Ⅴ,13.6,8.75,10.09,793.8,78.8,11.27,0.025,0.153,3.68
147,河北省,04-02 08:00,Ⅲ,13.4,8.76,10.6,796.0,71.4,3.57,0.025,0.153,3.7
148,河北省,04-02 12:00,Ⅲ,14.1,8.95,13.53,784.8,51.7,4.06,0.025,0.141,3.46
149,河北省,04-02 16:00,劣Ⅴ,14.4,9.06,14.11,785.2,55.2,4.36,0.025,0.136,3.55
