,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,河南省,04-01 08:00,Ⅳ,16.8,8.33,5.0,2970.6,7.5,4.97,0.91,0.218,6.61
1,河南省,04-01 12:00,Ⅴ,17.6,8.5,8.92,2999.9,8.2,9.9,0.7,0.377,7.5
2,河南省,04-01 16:00,Ⅴ,19.1,8.62,13.42,2946.8,7.9,9.9,0.7,0.377,7.5
3,河南省,04-01 20:00,Ⅲ,18.3,8.15,8.43,2931.2,10.8,5.83,0.72,0.195,7.2
4,河南省,04-02 00:00,Ⅲ,17.5,7.95,5.93,2982.5,10.7,5.8,0.81,0.19,7.24
5,河南省,04-02 04:00,Ⅲ,16.8,7.91,4.74,2936.7,9.7,5.8,0.81,0.19,7.24
6,河南省,04-02 08:00,Ⅳ,16.6,7.92,4.76,2862.5,9.3,5.86,1.09,0.174,7.28
7,河南省,04-02 12:00,Ⅴ,17.2,8.09,9.06,2904.3,7.3,6.02,1.81,0.168,7.72
9,河南省,04-02 20:00,Ⅳ,16.9,8.05,7.58,2987.4,10.4,6.39,1.18,0.143,8.12
28,河南省,04-01 04:00,Ⅲ,15.6,7.73,9.12,1102.2,82.2,3.71,0.09,0.104,7.25
29,河南省,04-01 12:00,Ⅱ,16.0,7.78,9.24,1098.7,45.3,3.58,0.081,0.097,7.39
30,河南省,04-01 12:00,Ⅱ,16.0,7.78,9.24,1098.7,45.3,3.58,0.081,0.097,7.39
31,河南省,04-01 16:00,Ⅱ,17.2,7.82,9.59,1100.6,38.4,3.36,0.1,0.087,7.43
32,河南省,04-01 20:00,Ⅱ,17.0,7.81,9.56,1101.8,37.3,3.31,0.104,0.078,7.32
33,河南省,04-02 00:00,Ⅱ,16.5,7.73,9.15,1102.0,43.5,3.32,0.051,0.085,7.39
34,河南省,04-02 04:00,Ⅱ,16.2,7.68,8.71,1103.9,44.3,3.33,0.091,0.088,7.37
35,河南省,04-02 08:00,Ⅱ,16.0,7.68,8.37,1104.7,55.1,3.35,0.084,0.088,7.29
37,河南省,04-02 16:00,Ⅱ,16.3,7.71,9.58,1087.5,56.8,2.82,0.029,0.088,6.31
38,河南省,04-02 20:00,Ⅲ,16.1,7.69,9.14,1076.8,60.4,3.77,0.066,0.116,7.9
39,河南省,04-03 00:00,Ⅲ,15.1,7.57,8.87,1071.9,57.4,3.32,0.044,0.1,7.57
40,河南省,04-03 04:00,Ⅲ,14.9,7.63,9.22,1058.4,71.4,3.5,0.109,0.105,7.59
41,河南省,04-03 08:00,Ⅲ,14.9,7.65,8.97,1060.2,77.9,3.59,0.17,0.113,7.5
42,河南省,04-03 12:00,Ⅱ,15.1,7.69,9.24,1046.3,69.1,3.55,0.095,0.099,7.23
43,河南省,04-03 16:00,Ⅲ,14.7,7.63,8.89,1050.3,135.7,3.61,0.041,0.118,7.11
44,河南省,04-03 20:00,Ⅲ,14.7,7.72,9.33,1049.6,107.5,3.62,0.025,0.123,7.33
45,河南省,04-03 20:00,Ⅲ,14.7,7.72,9.33,1049.6,107.5,3.62,0.025,0.123,7.33
50,河南省,04-04 20:00,Ⅲ,16.6,7.68,8.88,1030.7,90.2,3.32,0.025,0.126,7.24
51,河南省,04-05 00:00,Ⅲ,15.9,7.71,8.81,1026.4,56.8,3.32,0.025,0.126,7.24
52,河南省,04-05 04:00,Ⅲ,15.0,7.66,8.56,1025.0,53.5,2.85,0.025,0.102,7.13
53,河南省,04-05 08:00,Ⅲ,14.5,7.69,8.44,1030.2,53.0,3.1,0.025,0.104,7.23
54,河南省,04-05 12:00,Ⅲ,15.1,7.75,8.68,1022.9,59.0,2.85,0.025,0.107,7.17
55,河南省,04-05 16:00,Ⅲ,15.6,7.68,8.68,1006.6,87.1,2.99,0.025,0.115,7.16
