,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,浙江省,04-01 04:00,Ⅳ,18.5,8.05,8.61,494.3,151.0,6.33,0.816,0.171,4.93
1,浙江省,04-01 12:00,Ⅳ,18.7,8.24,10.62,544.3,41.0,7.48,0.71,0.2,4.82
2,浙江省,04-01 12:00,Ⅳ,18.7,8.24,10.62,544.3,41.0,7.48,0.71,0.2,4.82
3,浙江省,04-01 16:00,Ⅳ,18.8,8.35,11.64,526.7,34.0,7.54,0.661,0.2,4.92
4,浙江省,04-01 20:00,Ⅳ,18.8,8.26,10.99,543.7,38.0,8.01,0.633,0.196,4.88
5,浙江省,04-02 00:00,Ⅳ,18.6,7.97,8.93,556.3,35.3,6.65,0.719,0.189,4.86
6,浙江省,04-02 04:00,Ⅳ,18.4,8.01,9.04,561.2,33.0,6.74,0.671,0.19,4.76
7,浙江省,04-02 08:00,Ⅳ,18.3,7.89,7.98,568.5,26.1,6.01,0.655,0.181,4.7
8,浙江省,04-02 12:00,Ⅳ,18.7,8.18,9.44,553.4,30.0,6.67,0.601,0.184,4.78
9,浙江省,04-02 16:00,Ⅳ,20.3,8.86,14.84,445.5,192.2,8.28,0.447,0.189,4.68
10,浙江省,04-02 20:00,Ⅳ,20.1,8.74,13.78,477.2,106.9,7.5,0.413,0.183,4.53
11,浙江省,04-03 00:00,Ⅳ,19.8,8.61,12.63,487.7,79.2,7.52,0.388,0.183,4.56
15,浙江省,04-03 16:00,Ⅳ,18.9,8.17,9.5,557.3,57.8,6.15,0.445,0.173,4.68
16,浙江省,04-03 20:00,Ⅳ,18.8,8.18,9.39,561.5,51.0,6.81,0.432,0.193,4.72
17,浙江省,04-04 00:00,Ⅳ,18.5,8.06,8.58,557.8,43.2,7.12,0.44,0.198,4.77
19,浙江省,04-04 08:00,Ⅳ,18.0,7.76,6.64,566.0,25.7,6.42,0.539,0.195,4.85
21,浙江省,04-04 16:00,Ⅳ,19.3,8.12,9.29,547.6,66.1,7.51,0.526,0.187,4.77
22,浙江省,04-04 20:00,Ⅳ,18.9,8.57,11.38,550.9,90.6,8.41,0.324,0.198,4.83
23,浙江省,04-04 20:00,Ⅳ,18.9,8.57,11.38,550.9,90.6,8.41,0.324,0.198,4.83
24,浙江省,04-05 04:00,Ⅳ,17.7,8.03,8.23,562.1,45.4,7.16,0.399,0.183,4.76
25,浙江省,04-05 08:00,Ⅳ,17.4,7.89,7.5,568.1,36.6,6.85,0.444,0.184,4.7
26,浙江省,04-05 12:00,Ⅳ,18.2,8.62,11.53,521.8,130.5,8.91,0.332,0.216,4.9
27,浙江省,04-05 16:00,Ⅳ,18.0,8.1,9.16,562.5,71.5,6.96,0.42,0.171,4.63
28,浙江省,04-01 04:00,Ⅲ,17.4,7.47,6.47,556.2,176.6,4.82,0.289,0.152,5.39
29,浙江省,04-01 12:00,Ⅲ,17.3,7.45,6.31,568.3,197.0,5.3,0.292,0.16,5.68
30,浙江省,04-01 12:00,Ⅲ,17.3,7.45,6.31,568.3,197.0,5.3,0.292,0.16,5.68
31,浙江省,04-01 16:00,Ⅲ,17.4,7.45,6.33,572.0,167.4,4.92,0.286,0.135,5.32
32,浙江省,04-01 20:00,Ⅲ,17.4,7.45,6.28,571.8,165.9,4.87,0.29,0.142,5.35
33,浙江省,04-02 00:00,Ⅲ,17.4,7.45,6.19,570.2,198.7,5.04,0.301,0.149,5.56
34,浙江省,04-02 04:00,Ⅲ,17.3,7.44,6.1,575.7,169.9,4.72,0.294,0.134,5.31
35,浙江省,04-02 08:00,Ⅲ,17.3,7.43,6.04,579.3,140.8,4.38,0.294,0.127,5.15
36,浙江省,04-02 12:00,Ⅲ,17.6,7.54,5.98,577.8,163.3,4.98,0.288,0.152,5.37
37,浙江省,04-02 16:00,Ⅲ,17.6,7.57,6.09,576.7,160.9,4.84,0.306,0.145,5.32
38,浙江省,04-02 20:00,Ⅲ,17.5,7.57,6.04,577.4,167.7,4.96,0.289,0.144,5.33
39,浙江省,04-03 00:00,Ⅲ,17.5,7.57,5.93,570.1,143.6,4.48,0.284,0.124,5.17
40,浙江省,04-03 04:00,Ⅲ,17.5,7.56,5.85,567.6,162.6,4.62,0.3,0.124,5.25
41,浙江省,04-03 08:00,Ⅲ,17.4,7.55,5.77,562.4,162.4,4.77,0.298,0.132,5.25
42,浙江省,04-03 12:00,Ⅲ,17.4,7.55,5.87,555.3,148.9,4.7,0.283,0.123,5.21
43,浙江省,04-03 16:00,Ⅲ,17.4,7.55,5.93,544.8,167.6,5.04,0.294,0.138,5.36
44,浙江省,04-03 20:00,Ⅲ,17.3,7.56,5.92,546.4,165.0,4.71,0.283,0.151,5.38
45,浙江省,04-04 00:00,Ⅲ,17.2,7.56,5.91,551.5,164.2,4.81,0.267,0.139,5.34
47,浙江省,04-04 08:00,Ⅲ,17.0,7.56,5.86,545.8,148.9,4.55,0.28,0.139,5.26
48,浙江省,04-04 12:00,Ⅲ,17.1,7.56,5.95,531.4,146.4,4.4,0.281,0.127,5.25
49,浙江省,04-04 16:00,Ⅲ,17.3,7.57,5.99,526.1,139.8,4.22,0.266,0.126,5.18
50,浙江省,04-04 20:00,Ⅲ,17.1,7.58,6.06,524.8,152.4,4.76,0.262,0.132,5.21
51,浙江省,04-04 20:00,Ⅲ,17.1,7.58,6.06,524.8,152.4,4.76,0.262,0.132,5.21
52,浙江省,04-05 04:00,Ⅲ,16.8,7.58,6.03,532.4,173.3,4.97,0.268,0.161,4.44
53,浙江省,04-05 08:00,Ⅲ,16.7,7.57,6.06,533.1,179.4,4.78,0.249,0.15,5.45
54,浙江省,04-05 12:00,Ⅲ,16.9,7.58,6.17,529.7,201.8,4.99,0.287,0.184,5.67
55,浙江省,04-05 16:00,Ⅳ,17.1,7.58,6.13,530.1,200.1,5.22,0.255,0.205,5.67
56,浙江省,04-01 08:00,Ⅲ,18.9,7.61,8.2,403.3,116.9,2.83,0.418,0.112,3.1
57,浙江省,04-01 12:00,Ⅲ,19.0,7.58,7.9,415.8,100.3,3.39,0.379,0.112,2.92
58,浙江省,04-01 12:00,Ⅲ,19.0,7.58,7.9,415.8,100.3,3.23,0.402,0.116,3.06
59,浙江省,04-01 16:00,Ⅲ,19.0,7.54,7.76,441.2,74.3,2.85,0.418,0.113,3.05
60,浙江省,04-01 20:00,Ⅲ,19.0,7.53,7.67,432.0,71.7,2.76,0.388,0.109,3.17
61,浙江省,04-02 00:00,Ⅲ,18.9,7.54,7.76,418.9,64.1,2.62,0.369,0.106,3.22
62,浙江省,04-02 04:00,Ⅲ,18.7,7.54,7.77,397.9,65.9,2.61,0.342,0.102,3.08
63,浙江省,04-02 08:00,Ⅲ,18.6,7.55,7.8,391.0,69.7,3.22,0.322,0.104,3.07
64,浙江省,04-02 12:00,Ⅲ,19.5,7.52,7.78,393.3,82.8,2.94,0.351,0.107,3.03
65,浙江省,04-02 16:00,Ⅲ,19.6,7.55,7.81,389.1,91.1,2.87,0.392,0.114,3.03
66,浙江省,04-02 20:00,Ⅲ,19.2,7.55,7.81,383.3,82.5,2.73,0.442,0.112,3.04
67,浙江省,04-03 00:00,Ⅲ,19.0,7.53,7.61,388.6,59.6,2.47,0.332,0.106,3.12
68,浙江省,04-03 04:00,Ⅲ,18.9,7.5,7.11,399.9,50.4,2.63,0.406,0.105,3.23
69,浙江省,04-03 08:00,Ⅲ,18.7,7.49,6.98,403.6,65.2,2.78,0.366,0.105,3.1
70,浙江省,04-03 12:00,Ⅲ,18.8,7.51,7.6,389.8,66.9,2.68,0.357,0.108,3.18
71,浙江省,04-03 16:00,Ⅲ,18.6,7.53,7.97,377.1,76.2,2.64,0.396,0.11,3.2
72,浙江省,04-03 20:00,Ⅲ,18.5,7.52,7.91,375.4,73.2,2.77,0.377,0.11,3.25
73,浙江省,04-04 00:00,Ⅲ,18.3,7.54,8.06,381.5,105.6,2.86,0.353,0.111,3.1
76,浙江省,04-04 12:00,Ⅲ,18.7,7.53,7.87,401.4,71.3,3.35,0.398,0.112,3.09
77,浙江省,04-04 16:00,Ⅲ,18.6,7.55,8.16,403.1,98.5,2.93,0.44,0.117,3.27
78,浙江省,04-04 20:00,Ⅲ,18.4,7.53,8.29,382.3,100.3,2.19,0.291,0.107,3.16
79,浙江省,04-05 00:00,Ⅲ,17.9,7.55,8.32,372.1,72.8,2.19,0.291,0.107,3.16
80,浙江省,04-05 04:00,Ⅲ,17.8,7.57,8.22,363.9,134.8,3.33,0.424,0.117,3.12
81,浙江省,04-05 08:00,Ⅲ,17.5,7.56,8.27,375.0,98.5,3.34,0.309,0.127,3.18
82,浙江省,04-05 16:00,Ⅲ,18.7,7.54,8.16,360.3,92.2,2.89,0.479,0.119,2.99
83,浙江省,04-05 20:00,Ⅲ,18.2,7.56,8.44,354.8,73.8,2.71,0.45,0.119,3.19
84,浙江省,04-01 04:00,Ⅲ,17.4,7.76,6.5,723.4,27.8,4.06,0.557,0.123,6.26
85,浙江省,04-01 12:00,Ⅲ,17.6,7.72,6.1,697.6,28.5,4.06,0.601,0.126,6.13
