,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,海南省,04-01 04:00,Ⅱ,27.7,7.4,8.41,827.4,39.0,0.25,0.025,0.042,0.78
1,海南省,04-01 12:00,Ⅱ,30.7,7.41,8.36,855.4,28.6,0.56,0.025,0.04,0.7
2,海南省,04-01 16:00,Ⅱ,30.6,7.45,8.26,877.0,34.2,0.56,0.025,0.04,0.7
3,海南省,04-01 20:00,Ⅱ,29.2,7.77,8.34,8008.6,32.9,0.25,0.025,0.039,0.75
4,海南省,04-02 00:00,Ⅱ,28.4,7.5,8.42,2869.1,35.9,3.69,0.065,0.042,0.41
5,海南省,04-02 00:00,Ⅱ,28.4,7.5,8.42,2869.1,35.9,3.69,0.065,0.042,0.41
6,海南省,04-02 08:00,Ⅱ,27.6,7.4,8.55,1204.3,19.4,0.93,0.025,0.038,0.34
7,海南省,04-02 12:00,Ⅱ,30.7,7.46,8.46,1404.0,21.2,0.72,0.025,0.035,0.32
8,海南省,04-02 16:00,Ⅱ,30.7,7.26,8.44,1335.7,24.2,0.87,0.025,0.034,0.3
9,海南省,04-02 20:00,Ⅱ,29.9,7.71,8.06,26704.9,13.6,1.4,0.025,0.037,0.71
10,海南省,04-03 00:00,劣Ⅴ,29.2,7.39,7.88,13721.6,24.9,28.35,0.348,0.037,0.49
11,海南省,04-03 00:00,劣Ⅴ,29.2,7.39,7.88,13721.6,24.9,28.35,0.348,0.037,0.49
12,海南省,04-03 08:00,Ⅱ,28.0,7.26,7.87,4161.1,10.6,1.66,0.025,0.037,0.43
13,海南省,04-03 12:00,Ⅱ,30.7,7.3,7.9,4045.5,10.1,0.82,0.025,0.031,0.36
14,海南省,04-03 16:00,Ⅱ,30.6,7.37,7.99,2941.1,15.1,0.38,0.025,0.032,0.39
15,海南省,04-03 20:00,Ⅱ,30.0,7.69,8.17,26664.0,28.3,0.5,0.025,0.038,0.33
16,海南省,04-04 00:00,Ⅳ,29.4,7.47,8.42,21721.9,21.0,8.73,0.312,0.04,0.51
17,海南省,04-04 00:00,Ⅳ,29.4,7.47,8.42,21721.9,21.0,8.73,0.312,0.04,0.51
19,海南省,04-04 08:00,Ⅱ,28.9,7.29,8.44,4804.1,9.3,1.22,0.026,0.041,0.36
20,海南省,04-04 12:00,Ⅱ,30.6,7.31,8.14,4150.8,9.6,0.93,0.025,0.029,0.35
21,海南省,04-04 16:00,Ⅱ,31.1,7.36,8.11,3722.5,11.7,0.87,0.025,0.032,0.42
22,海南省,04-04 20:00,Ⅱ,30.1,7.6,8.36,19764.3,30.8,3.85,0.08,0.04,0.4
23,海南省,04-05 00:00,Ⅱ,29.1,7.7,8.48,27928.9,17.4,3.85,0.417,0.04,0.4
24,海南省,04-05 04:00,Ⅱ,28.5,7.35,8.53,9429.5,18.4,2.06,0.064,0.038,0.48
25,海南省,04-05 08:00,Ⅱ,28.3,7.29,8.64,5188.9,10.4,2.02,0.025,0.033,0.37
26,海南省,04-05 12:00,Ⅱ,29.9,7.34,8.6,4069.9,10.2,1.04,0.025,0.033,0.33
27,海南省,04-05 16:00,Ⅱ,30.7,7.4,8.37,4677.0,10.1,0.71,0.025,0.03,0.38
31,海南省,04-01 20:00,Ⅲ,31.0,7.38,10.17,302.0,13.9,4.72,0.025,0.06,0.77
32,海南省,04-02 00:00,Ⅲ,30.0,6.97,8.34,304.0,10.8,4.5,0.025,0.043,0.6
33,海南省,04-02 00:00,Ⅲ,30.0,6.97,8.34,304.0,10.8,4.5,0.025,0.043,0.6
34,海南省,04-02 08:00,Ⅲ,28.9,6.73,6.25,311.2,13.8,4.04,0.025,0.038,0.61
35,海南省,04-02 12:00,Ⅲ,30.3,6.85,7.2,294.8,17.7,4.22,0.025,0.045,0.72
36,海南省,04-02 16:00,Ⅲ,30.6,7.03,8.35,330.9,18.8,4.48,0.025,0.05,1.12
37,海南省,04-02 20:00,Ⅲ,29.8,7.09,8.63,374.3,17.2,4.65,0.025,0.049,1.07
38,海南省,04-03 00:00,Ⅲ,29.4,6.96,7.88,327.4,17.2,4.41,0.025,0.042,1.01
39,海南省,04-03 00:00,Ⅲ,29.4,6.96,7.88,327.4,17.2,4.41,0.025,0.042,1.01
40,海南省,04-03 08:00,Ⅲ,28.8,6.72,6.07,327.2,13.3,4.14,0.025,0.041,1.0
