,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
1,湖北省,04-01 12:00,Ⅲ,13.9,8.08,10.36,269.8,117.1,3.02,0.068,0.102,2.54
2,湖北省,04-01 16:00,Ⅲ,14.0,8.09,10.33,272.1,103.3,3.02,0.068,0.102,2.54
3,湖北省,04-01 20:00,Ⅱ,13.8,8.09,10.3,269.2,89.5,2.94,0.082,0.098,2.57
4,湖北省,04-02 00:00,Ⅱ,13.8,8.08,10.3,289.6,70.7,2.65,0.099,0.09,2.71
5,湖北省,04-02 00:00,Ⅱ,13.8,8.08,10.3,289.6,70.7,2.65,0.179,0.09,2.71
6,湖北省,04-02 08:00,Ⅱ,13.8,8.1,10.31,284.4,62.4,2.99,0.152,0.097,2.26
7,湖北省,04-02 12:00,Ⅱ,13.9,8.12,10.31,277.9,59.6,2.91,0.08,0.088,2.16
8,湖北省,04-02 16:00,Ⅱ,14.0,8.14,10.25,284.2,55.2,2.28,0.029,0.085,2.19
9,湖北省,04-02 20:00,Ⅱ,13.8,8.14,10.25,281.8,50.5,1.91,0.057,0.073,2.46
10,湖北省,04-03 00:00,Ⅱ,13.7,8.14,10.37,275.5,51.4,1.82,0.07,0.076,1.94
11,湖北省,04-03 00:00,Ⅱ,13.7,8.14,10.37,275.5,51.4,1.82,0.063,0.076,1.94
12,湖北省,04-03 08:00,Ⅱ,13.6,8.16,10.48,293.5,42.8,1.58,0.05,0.066,2.09
13,湖北省,04-03 12:00,Ⅱ,13.7,8.18,10.48,296.3,41.2,1.56,0.047,0.061,2.04
14,湖北省,04-03 16:00,Ⅱ,13.8,8.19,10.38,292.6,39.1,1.44,0.054,0.061,1.99
15,湖北省,04-03 20:00,Ⅱ,13.8,8.18,10.46,303.4,39.1,1.86,0.058,0.059,2.16
16,湖北省,04-04 00:00,Ⅱ,13.7,8.18,10.46,320.1,36.8,1.36,0.063,0.058,2.21
17,湖北省,04-04 00:00,Ⅱ,13.7,8.18,10.46,320.1,36.8,1.36,0.063,0.055,2.21
18,湖北省,04-04 04:00,Ⅱ,13.6,8.17,10.45,310.5,34.6,1.62,0.069,0.056,2.2
19,湖北省,04-04 08:00,Ⅱ,13.5,8.17,10.54,310.1,35.3,1.62,0.091,0.057,2.2
20,湖北省,04-04 12:00,Ⅱ,13.5,8.18,10.53,306.4,39.6,2.45,0.078,0.057,2.11
21,湖北省,04-04 16:00,Ⅱ,13.6,8.18,10.45,300.4,34.4,2.38,0.069,0.057,2.1
22,湖北省,04-04 20:00,Ⅱ,13.5,8.17,10.5,312.6,32.4,2.45,0.073,0.058,2.18
23,湖北省,04-05 00:00,Ⅱ,13.5,8.17,10.48,309.7,33.9,2.45,0.064,0.056,1.98
24,湖北省,04-05 04:00,Ⅱ,13.3,8.17,10.49,314.7,29.9,2.44,0.063,0.055,1.87
25,湖北省,04-05 08:00,Ⅱ,13.2,8.17,10.5,305.0,29.5,2.32,0.068,0.052,2.37
26,湖北省,04-05 12:00,Ⅱ,13.2,8.18,10.56,318.4,27.8,2.27,0.049,0.052,1.89
27,湖北省,04-05 16:00,Ⅱ,13.3,8.22,10.52,320.3,27.8,2.15,0.036,0.05,2.2
28,湖北省,04-01 08:00,Ⅱ,16.0,7.53,8.16,415.3,41.3,3.65,0.191,0.055,2.07
29,湖北省,04-01 12:00,Ⅱ,15.9,7.51,8.09,413.9,42.3,3.69,0.38,0.062,2.24
30,湖北省,04-01 12:00,Ⅱ,15.9,7.51,8.09,413.9,42.3,3.69,0.38,0.062,2.24
31,湖北省,04-01 16:00,Ⅱ,15.8,7.49,8.15,413.2,35.8,3.68,0.46,0.066,2.47
32,湖北省,04-01 20:00,Ⅱ,15.6,7.46,8.23,417.3,38.2,3.92,0.482,0.068,2.5
33,湖北省,04-02 00:00,Ⅱ,15.5,7.44,8.16,419.4,38.5,3.92,0.482,0.068,2.5
34,湖北省,04-02 04:00,Ⅱ,15.3,7.43,8.21,420.8,36.2,3.98,0.39,0.065,2.34
35,湖北省,04-02 08:00,Ⅱ,15.1,7.44,8.35,422.9,36.6,3.73,0.358,0.062,2.42
36,湖北省,04-02 12:00,Ⅱ,15.1,7.44,8.41,421.5,35.1,3.85,0.318,0.062,2.31
37,湖北省,04-02 16:00,Ⅱ,15.1,7.46,8.55,421.6,32.5,3.77,0.318,0.061,2.41
38,湖北省,04-02 20:00,Ⅱ,14.9,7.47,8.53,424.3,32.7,3.38,0.285,0.06,2.4
39,湖北省,04-03 00:00,Ⅱ,14.7,7.48,20.0,427.8,35.9,3.38,0.285,0.06,2.4
40,湖北省,04-03 04:00,Ⅱ,14.6,7.5,20.0,437.4,38.8,3.62,0.258,0.061,2.57
41,湖北省,04-03 08:00,Ⅱ,14.5,7.53,20.0,431.2,40.2,3.45,0.262,0.069,2.52
42,湖北省,04-03 08:00,Ⅱ,14.5,7.53,20.0,431.2,40.2,3.45,0.262,0.069,2.52
43,湖北省,04-03 08:00,Ⅱ,14.5,7.53,20.0,431.2,40.2,3.45,0.262,0.069,2.52
