,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,湖南省,04-01 08:00,Ⅳ,14.7,7.39,9.36,217.6,41.7,2.03,0.057,0.057,1.75
1,湖南省,04-01 12:00,Ⅳ,14.6,7.38,9.37,218.3,50.0,2.08,0.056,0.061,1.67
2,湖南省,04-01 16:00,Ⅳ,14.6,7.4,9.39,220.5,47.9,2.08,0.05,0.061,1.67
3,湖南省,04-01 20:00,Ⅳ,14.5,7.4,9.37,220.5,44.2,1.82,0.052,0.06,1.73
4,湖南省,04-02 00:00,Ⅳ,14.4,7.4,9.36,219.8,58.6,1.96,0.052,0.064,1.81
5,湖南省,04-02 00:00,Ⅳ,14.4,7.4,9.36,219.8,58.6,1.96,0.048,0.079,1.78
6,湖南省,04-02 08:00,Ⅳ,14.2,7.39,9.37,219.2,33.8,1.62,0.062,0.056,1.74
7,湖南省,04-02 12:00,Ⅳ,14.1,7.4,9.45,218.0,42.6,2.66,0.06,0.055,1.76
8,湖南省,04-02 16:00,Ⅳ,14.2,7.39,9.42,217.7,44.9,2.2,0.054,0.067,1.98
9,湖南省,04-02 20:00,Ⅳ,14.1,7.39,9.41,216.5,39.6,3.11,0.054,0.072,1.94
10,湖南省,04-03 00:00,Ⅳ,14.1,7.37,9.38,215.8,37.5,2.74,0.062,0.075,1.7
11,湖南省,04-03 00:00,Ⅳ,14.1,7.37,9.38,215.8,37.5,2.74,0.062,0.071,1.87
13,湖南省,04-03 12:00,Ⅳ,14.1,7.31,9.26,201.3,43.1,2.17,0.09,0.071,1.94
14,湖南省,04-03 16:00,Ⅳ,14.2,7.31,9.25,201.1,41.4,2.85,0.094,0.071,1.88
15,湖南省,04-03 20:00,Ⅳ,14.2,7.29,9.18,201.7,39.5,1.83,0.104,0.069,1.88
16,湖南省,04-04 00:00,Ⅳ,14.1,7.29,9.15,201.6,38.9,1.77,0.101,0.074,2.0
17,湖南省,04-04 00:00,Ⅳ,14.1,7.29,9.15,201.6,38.9,1.77,0.101,0.07,1.96
18,湖南省,04-04 04:00,Ⅳ,14.0,7.28,9.16,200.5,39.1,1.99,0.097,0.071,1.93
19,湖南省,04-04 08:00,Ⅳ,14.0,7.29,9.2,199.2,40.5,1.99,0.084,0.065,1.98
20,湖南省,04-04 12:00,Ⅳ,14.0,7.3,9.27,199.8,43.8,1.86,0.078,0.072,1.93
21,湖南省,04-04 16:00,Ⅳ,14.0,7.29,9.23,200.4,37.1,1.88,0.085,0.069,1.93
22,湖南省,04-04 20:00,Ⅳ,14.0,7.28,9.14,199.7,34.8,1.78,0.099,0.064,1.96
23,湖南省,04-05 00:00,Ⅳ,13.9,7.25,9.03,198.8,35.3,1.97,0.121,0.068,1.99
24,湖南省,04-05 04:00,Ⅳ,13.9,7.22,8.94,196.0,37.2,2.03,0.138,0.069,2.01
25,湖南省,04-05 08:00,Ⅳ,13.8,7.2,8.92,193.1,40.9,2.4,0.135,0.071,2.04
26,湖南省,04-05 12:00,Ⅳ,13.8,7.2,8.93,190.6,43.4,2.77,0.127,0.071,1.96
27,湖南省,04-05 16:00,Ⅳ,14.0,7.19,8.94,189.4,42.9,2.58,0.124,0.072,2.0
28,湖南省,04-01 08:00,Ⅱ,17.4,7.53,7.73,209.7,16.7,2.08,0.025,0.062,2.63
29,湖南省,04-01 12:00,Ⅱ,17.4,7.54,7.83,209.3,17.1,2.22,0.118,0.063,2.68
30,湖南省,04-01 16:00,Ⅱ,17.4,7.56,7.9,210.0,13.2,2.22,0.118,0.063,2.68
31,湖南省,04-01 20:00,Ⅱ,17.5,7.54,7.82,210.8,13.5,2.08,0.154,0.062,2.68
32,湖南省,04-02 00:00,Ⅱ,17.4,7.52,7.68,212.0,19.1,2.08,0.16,0.054,2.65
33,湖南省,04-02 00:00,Ⅱ,17.4,7.52,7.68,212.0,19.1,2.08,0.16,0.054,2.65
34,湖南省,04-02 08:00,Ⅱ,17.1,7.49,7.43,207.9,23.4,2.23,0.135,0.061,2.83
