,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,甘肃省,04-01 04:00,Ⅰ,7.8,7.83,9.74,740.1,19.0,0.45,0.025,0.018,3.06
1,甘肃省,04-01 12:00,Ⅰ,8.8,8.0,10.42,771.1,17.7,0.55,0.025,0.016,3.01
2,甘肃省,04-01 12:00,Ⅰ,8.8,8.0,10.42,771.1,17.7,0.55,0.025,0.016,3.01
3,甘肃省,04-01 16:00,Ⅱ,12.0,8.08,9.85,784.7,20.5,1.05,0.025,0.039,3.06
4,甘肃省,04-01 20:00,Ⅱ,10.2,8.07,9.5,773.4,21.9,0.59,0.025,0.029,3.0
5,甘肃省,04-02 00:00,Ⅱ,9.0,8.01,9.44,760.6,21.5,0.62,0.025,0.025,2.97
6,甘肃省,04-02 04:00,Ⅱ,8.3,7.99,9.62,747.8,21.1,0.67,0.025,0.023,2.87
7,甘肃省,04-02 08:00,Ⅱ,7.7,7.98,9.88,747.5,18.8,1.09,0.025,0.021,2.87
8,甘肃省,04-02 12:00,Ⅰ,10.6,8.05,10.2,761.8,17.7,0.57,0.025,0.02,2.83
9,甘肃省,04-02 16:00,Ⅰ,12.0,8.11,9.72,767.0,17.4,0.55,0.025,0.019,2.9
10,甘肃省,04-02 20:00,Ⅰ,10.8,8.1,9.54,756.7,17.0,0.43,0.025,0.019,2.88
11,甘肃省,04-03 00:00,Ⅰ,9.0,8.04,9.49,748.8,16.8,0.47,0.025,0.018,2.85
12,甘肃省,04-03 04:00,Ⅰ,8.1,8.01,9.7,740.3,17.1,0.41,0.025,0.017,2.83
13,甘肃省,04-03 08:00,Ⅰ,7.6,8.0,9.92,740.4,17.4,0.9,0.025,0.017,2.9
14,甘肃省,04-03 12:00,Ⅰ,11.1,8.09,10.17,751.8,16.8,0.54,0.025,0.017,2.82
15,甘肃省,04-03 16:00,Ⅰ,13.0,8.14,9.61,769.2,18.1,0.51,0.025,0.017,2.93
16,甘肃省,04-03 20:00,Ⅰ,11.3,8.12,8.9,757.3,15.9,0.43,0.025,0.016,2.9
17,甘肃省,04-04 00:00,Ⅰ,9.6,8.04,9.27,747.0,17.0,0.4,0.025,0.016,2.98
23,甘肃省,04-01 04:00,Ⅰ,4.6,8.4,10.21,575.4,71.7,0.48,0.025,0.005,1.09
24,甘肃省,04-01 12:00,Ⅰ,4.8,8.41,10.39,572.2,59.8,0.39,0.025,0.005,1.04
25,甘肃省,04-01 12:00,Ⅰ,4.8,8.41,10.39,572.2,59.8,0.39,0.025,0.005,1.04
26,甘肃省,04-01 16:00,Ⅰ,5.4,8.41,10.21,572.3,58.3,0.25,0.025,0.005,1.03
27,甘肃省,04-01 20:00,Ⅰ,4.6,8.41,10.26,576.2,69.3,0.44,0.025,0.005,1.05
28,甘肃省,04-02 00:00,Ⅰ,4.6,8.4,10.32,576.8,75.4,0.69,0.025,0.005,1.11
29,甘肃省,04-02 04:00,Ⅰ,4.1,8.4,10.32,577.3,82.8,0.37,0.025,0.005,1.11
