,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,福建省,04-01 08:00,Ⅳ,24.9,6.67,4.63,336.2,11.1,4.15,0.112,0.105,3.62
1,福建省,04-01 12:00,Ⅳ,26.0,6.6,4.33,319.3,10.8,3.99,0.126,0.112,3.44
2,福建省,04-01 12:00,Ⅳ,26.0,6.6,4.33,319.3,10.8,4.17,0.134,0.105,3.51
3,福建省,04-01 16:00,Ⅲ,26.3,6.57,5.01,325.9,11.5,4.28,0.097,0.1,3.56
4,福建省,04-01 20:00,Ⅳ,25.5,6.65,4.56,326.4,11.0,3.94,0.11,0.097,3.56
5,福建省,04-02 00:00,Ⅳ,25.2,6.58,4.38,324.4,11.0,4.11,0.147,0.098,3.43
6,福建省,04-02 04:00,Ⅳ,25.1,6.58,4.4,329.8,11.6,4.17,0.115,0.104,3.3
7,福建省,04-02 08:00,Ⅳ,25.4,6.59,4.24,326.0,11.3,4.08,0.113,0.104,3.21
8,福建省,04-02 12:00,Ⅳ,26.9,6.51,4.03,330.2,89.6,4.33,0.079,0.104,3.22
9,福建省,04-02 16:00,Ⅳ,27.0,6.35,4.36,320.8,10.9,4.22,0.105,0.1,3.3
10,福建省,04-02 20:00,Ⅳ,25.8,6.5,4.45,320.5,13.0,4.16,0.102,0.095,3.27
11,福建省,04-03 00:00,Ⅳ,25.7,6.46,4.34,326.5,10.7,4.1,0.113,0.093,3.28
12,福建省,04-03 04:00,Ⅳ,25.7,6.47,4.37,327.5,1891.9,4.35,0.122,0.096,3.11
13,福建省,04-03 08:00,Ⅳ,25.6,6.52,4.42,326.7,1048.2,4.26,0.115,0.098,3.1
14,福建省,04-03 12:00,Ⅳ,26.2,6.45,4.21,325.7,11.1,4.26,0.115,0.098,3.1
15,福建省,04-03 12:00,Ⅳ,26.2,6.45,4.21,325.7,11.1,4.26,0.115,0.098,3.1
19,福建省,04-04 20:00,Ⅳ,25.0,6.21,3.87,342.8,20.5,4.62,0.232,0.133,2.92
20,福建省,04-05 00:00,Ⅳ,24.5,6.2,3.7,350.6,11.9,4.62,0.232,0.133,2.92
21,福建省,04-05 04:00,Ⅳ,24.3,6.24,3.97,347.6,12.4,4.35,0.196,0.12,2.89
22,福建省,04-05 08:00,Ⅳ,24.1,6.25,3.73,358.6,12.8,4.3,0.173,0.116,2.83
23,福建省,04-05 12:00,Ⅳ,24.9,6.26,3.88,355.5,12.2,4.28,0.177,0.118,2.82
24,福建省,04-05 16:00,Ⅳ,25.4,6.25,3.46,352.8,13.4,4.19,0.172,0.116,2.8
25,福建省,04-01 08:00,Ⅳ,25.0,7.45,3.47,4307.6,8.8,3.61,0.025,0.062,1.76
26,福建省,04-01 12:00,Ⅱ,28.2,7.56,6.76,4236.9,9.9,3.73,0.357,0.064,1.74
27,福建省,04-01 16:00,Ⅱ,29.4,6.4,6.89,4293.4,9.6,3.73,0.357,0.064,1.74
28,福建省,04-01 20:00,Ⅱ,26.0,7.31,5.48,4475.3,9.0,3.73,0.326,0.063,1.72
29,福建省,04-02 00:00,Ⅳ,25.2,7.86,4.87,4281.1,8.8,4.27,0.32,0.079,1.76
30,福建省,04-02 04:00,Ⅳ,24.8,7.86,5.09,4126.5,9.2,4.27,0.32,0.079,1.76
31,福建省,04-02 08:00,Ⅲ,25.1,7.83,5.94,3938.6,8.8,3.82,0.306,0.069,1.7
32,福建省,04-02 12:00,Ⅱ,31.6,7.81,7.03,3158.5,11.7,3.64,0.29,0.069,1.69
33,福建省,04-02 16:00,Ⅲ,30.6,6.42,7.94,3160.6,10.8,4.15,0.273,0.089,1.82
34,福建省,04-02 20:00,Ⅲ,27.0,6.45,5.68,4081.4,9.3,4.15,0.272,0.08,1.72
35,福建省,04-03 00:00,Ⅲ,26.3,6.53,5.31,4163.8,8.8,3.95,0.292,0.084,1.66
36,福建省,04-03 04:00,Ⅲ,25.9,6.59,5.18,4041.9,9.0,3.95,0.292,0.084,1.66
37,福建省,04-03 08:00,Ⅲ,25.7,6.55,5.26,3865.1,8.8,3.65,0.292,0.072,1.73
38,福建省,04-03 12:00,Ⅱ,29.4,6.54,7.23,3834.5,9.2,3.73,0.287,0.079,1.69
39,福建省,04-03 16:00,Ⅱ,29.8,6.97,8.52,3831.5,11.8,3.82,0.299,0.077,1.61
40,福建省,04-03 20:00,Ⅲ,26.1,7.95,7.25,3921.5,9.7,4.24,0.325,0.081,1.71
41,福建省,04-04 00:00,Ⅲ,25.8,7.89,5.52,3984.8,9.0,4.21,0.337,0.075,1.66
42,福建省,04-04 04:00,Ⅲ,24.7,7.9,4.63,3883.1,9.4,4.21,0.337,0.075,1.66
45,福建省,04-04 12:00,Ⅲ,27.3,7.84,8.24,3901.6,9.9,4.14,0.332,0.075,1.59
