,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,西藏自治区,04-01 04:00,Ⅲ,11.1,8.11,5.98,229.1,20.3,0.91,0.162,0.029,0.96
1,西藏自治区,04-01 12:00,Ⅱ,10.3,8.06,6.31,230.8,27.0,2.86,0.154,0.03,0.95
2,西藏自治区,04-01 12:00,Ⅱ,10.3,8.06,6.31,230.8,27.0,2.86,0.154,0.03,0.95
3,西藏自治区,04-01 16:00,Ⅱ,11.0,8.37,7.23,228.9,24.7,0.71,0.144,0.029,0.93
4,西藏自治区,04-01 20:00,Ⅱ,11.1,8.46,7.3,227.4,21.7,0.64,0.143,0.026,0.91
5,西藏自治区,04-02 00:00,Ⅱ,10.5,8.26,6.55,228.8,20.3,0.6,0.143,0.025,0.88
6,西藏自治区,04-02 04:00,Ⅱ,9.9,8.18,6.15,227.1,20.1,0.59,0.152,0.027,0.93
7,西藏自治区,04-02 08:00,Ⅲ,9.4,8.0,5.92,229.1,22.1,0.59,0.162,0.027,0.94
8,西藏自治区,04-02 12:00,Ⅱ,9.7,8.14,6.75,231.4,22.5,0.5,0.142,0.026,0.91
9,西藏自治区,04-02 16:00,Ⅱ,10.5,8.35,7.53,229.4,21.5,0.65,0.132,0.025,0.9
10,西藏自治区,04-02 20:00,Ⅱ,10.7,8.5,7.52,226.6,20.9,0.74,0.143,0.026,0.89
11,西藏自治区,04-03 00:00,Ⅱ,10.1,8.36,6.86,227.2,19.8,0.55,0.134,0.025,0.89
12,西藏自治区,04-03 04:00,Ⅱ,9.3,8.13,6.29,227.7,17.5,0.68,0.148,0.025,0.9
13,西藏自治区,04-03 08:00,Ⅱ,8.6,8.0,6.06,230.8,17.4,0.53,0.15,0.024,0.91
14,西藏自治区,04-03 12:00,Ⅱ,8.7,8.15,6.9,230.5,16.2,0.48,0.143,0.023,0.88
15,西藏自治区,04-03 16:00,Ⅱ,10.1,8.36,7.64,231.6,16.1,0.43,0.128,0.022,0.88
16,西藏自治区,04-03 20:00,Ⅱ,10.2,8.47,7.54,226.5,17.8,0.66,0.132,0.024,0.89
17,西藏自治区,04-04 00:00,Ⅱ,9.6,8.27,6.81,229.2,18.3,0.63,0.139,0.023,0.9
19,西藏自治区,04-04 04:00,Ⅱ,8.7,8.16,6.46,228.5,18.2,0.54,0.147,0.023,0.91
20,西藏自治区,04-04 12:00,Ⅱ,8.0,8.14,6.92,230.0,20.8,0.61,0.139,0.023,0.92
21,西藏自治区,04-04 16:00,Ⅱ,8.7,8.1,7.84,228.7,22.2,0.91,0.116,0.023,0.93
22,西藏自治区,04-04 20:00,Ⅱ,9.1,8.13,7.84,227.9,20.3,0.87,0.139,0.023,0.94
23,西藏自治区,04-04 20:00,Ⅱ,9.1,8.13,7.84,227.9,20.3,0.87,0.139,0.023,0.94
24,西藏自治区,04-05 04:00,Ⅱ,8.4,7.78,6.63,230.1,20.0,0.75,0.136,0.022,0.94
25,西藏自治区,04-05 08:00,Ⅱ,8.0,7.63,6.3,231.0,20.3,0.49,0.123,0.023,0.95
26,西藏自治区,04-05 12:00,Ⅱ,8.4,7.84,7.21,231.5,19.8,0.64,0.137,0.022,0.94
27,西藏自治区,04-05 16:00,Ⅱ,10.0,8.12,8.19,231.4,21.1,0.5,0.123,0.023,0.91
