,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,贵州省,04-01 04:00,Ⅲ,18.8,8.92,7.55,373.2,9.7,0.93,0.09,0.037,2.32
1,贵州省,04-01 12:00,Ⅲ,19.6,8.93,8.18,378.3,9.7,0.97,0.09,0.035,2.27
2,贵州省,04-01 12:00,Ⅲ,19.6,8.93,8.18,378.3,9.7,0.97,0.09,0.035,2.27
3,贵州省,04-01 16:00,Ⅲ,19.7,8.93,8.53,379.2,9.8,0.94,0.18,0.033,2.29
4,贵州省,04-01 20:00,Ⅲ,19.3,8.89,7.93,376.8,9.7,1.22,0.11,0.034,2.25
5,贵州省,04-01 20:00,Ⅲ,19.3,8.89,7.93,376.8,9.7,1.22,0.11,0.034,2.25
6,贵州省,04-02 04:00,Ⅲ,19.0,8.9,7.52,375.0,9.7,1.08,0.08,0.037,2.26
7,贵州省,04-02 08:00,Ⅲ,19.0,8.88,7.09,375.8,9.7,0.96,0.1,0.043,2.22
8,贵州省,04-02 12:00,Ⅲ,20.0,8.9,8.06,384.0,10.0,0.96,0.1,0.04,2.23
9,贵州省,04-02 16:00,Ⅲ,19.7,8.88,8.39,380.7,10.5,0.94,0.09,0.039,2.3
10,贵州省,04-02 20:00,Ⅲ,19.7,8.83,7.85,380.6,10.1,1.12,0.1,0.038,2.18
11,贵州省,04-02 20:00,Ⅲ,19.7,8.83,7.85,380.6,10.1,1.12,0.1,0.038,2.18
12,贵州省,04-03 04:00,Ⅲ,19.7,8.87,7.38,381.8,10.0,1.01,0.11,0.037,2.23
13,贵州省,04-03 08:00,Ⅲ,19.4,8.84,7.27,379.2,9.8,1.19,0.09,0.042,2.2
14,贵州省,04-03 12:00,Ⅲ,20.1,8.85,8.07,383.0,9.9,1.04,0.12,0.04,2.2
15,贵州省,04-03 16:00,Ⅲ,20.2,8.85,8.48,385.1,10.1,1.16,0.09,0.039,2.26
16,贵州省,04-03 20:00,Ⅳ,19.5,8.82,6.98,382.1,10.0,0.99,0.12,0.052,2.14
17,贵州省,04-03 20:00,Ⅳ,19.5,8.82,6.98,382.1,10.0,0.99,0.12,0.052,2.14
19,贵州省,04-04 08:00,Ⅲ,17.4,8.76,7.41,371.4,9.9,0.94,0.09,0.045,2.23
21,贵州省,04-04 16:00,Ⅲ,18.5,8.03,6.84,379.2,9.6,1.27,0.09,0.048,2.15
22,贵州省,04-04 20:00,Ⅳ,18.3,8.0,6.23,377.7,9.8,0.49,0.18,0.052,2.14
23,贵州省,04-04 20:00,Ⅳ,18.3,8.0,6.23,377.7,9.8,0.49,0.18,0.052,2.14
24,贵州省,04-05 04:00,Ⅳ,18.1,7.97,5.63,376.9,10.0,0.36,0.15,0.062,2.03
25,贵州省,04-05 08:00,Ⅳ,18.0,7.96,5.16,377.1,9.7,0.37,0.18,0.069,2.03
27,贵州省,04-05 16:00,Ⅳ,18.0,7.95,4.94,377.3,9.6,0.96,0.18,0.078,1.93
32,贵州省,03-31 20:00,Ⅰ,21.9,7.96,10.95,339.6,18.6,1.12,0.025,0.005,1.86
33,贵州省,03-31 20:00,Ⅰ,21.9,7.96,10.95,339.6,18.6,1.12,0.025,0.005,1.86
37,贵州省,04-02 16:00,Ⅰ,21.7,7.97,10.8,341.0,18.3,1.01,0.025,0.005,1.84
38,贵州省,04-02 20:00,Ⅰ,21.4,7.92,10.98,342.4,18.6,1.43,0.025,0.005,1.84
39,贵州省,04-02 20:00,Ⅰ,21.4,7.92,10.98,342.4,18.6,1.43,0.025,0.005,1.84
40,贵州省,04-03 04:00,Ⅰ,21.3,7.87,10.99,343.1,18.3,1.01,0.025,0.014,2.17
41,贵州省,04-03 08:00,Ⅰ,21.0,7.81,10.73,344.8,17.7,1.04,0.025,0.009,2.2
42,贵州省,04-03 12:00,Ⅰ,21.2,7.86,11.08,354.4,17.2,0.89,0.025,0.012,2.27
43,贵州省,04-03 16:00,Ⅰ,21.4,7.93,11.25,353.1,17.7,1.17,0.025,0.012,2.2
44,贵州省,04-03 20:00,Ⅰ,21.2,7.88,11.18,354.3,17.6,1.26,0.025,0.01,2.27
45,贵州省,04-03 20:00,Ⅰ,21.2,7.88,11.18,354.3,17.6,1.26,0.025,0.01,2.27
47,贵州省,04-04 08:00,Ⅰ,21.7,7.89,10.84,349.7,17.1,0.82,0.025,0.009,2.24
48,贵州省,04-04 12:00,Ⅰ,21.7,7.88,10.74,350.7,17.0,0.9,0.025,0.012,2.21
49,贵州省,04-04 16:00,Ⅰ,21.6,7.9,10.72,340.8,17.0,1.32,0.025,0.011,2.2
50,贵州省,04-04 20:00,Ⅰ,21.5,7.9,10.66,341.6,17.6,0.89,0.025,0.012,2.17
51,贵州省,04-04 20:00,Ⅰ,21.5,7.9,10.66,341.6,17.6,0.89,0.025,0.012,2.17
52,贵州省,04-05 04:00,Ⅰ,21.4,7.85,10.07,342.5,18.0,1.07,0.025,0.01,2.23
53,贵州省,04-05 08:00,Ⅰ,21.3,7.84,10.3,343.6,16.8,0.94,0.025,0.01,2.22
54,贵州省,04-05 12:00,Ⅰ,21.4,7.86,10.33,341.6,16.8,0.88,0.025,0.008,2.19
55,贵州省,04-05 16:00,Ⅰ,21.4,7.88,10.39,341.7,17.6,0.94,0.025,0.009,2.17
56,贵州省,04-01 04:00,Ⅱ,23.4,8.12,7.9,282.1,4.0,0.96,0.108,0.039,1.5
57,贵州省,04-01 12:00,Ⅱ,24.2,8.21,9.87,280.5,4.2,1.1,0.085,0.036,1.41
58,贵州省,04-01 16:00,Ⅱ,24.8,8.43,10.94,279.4,3.3,1.1,0.085,0.036,1.41
59,贵州省,04-01 20:00,Ⅱ,24.2,8.28,8.39,281.8,3.2,1.25,0.105,0.037,1.49
60,贵州省,04-02 00:00,Ⅱ,24.0,8.22,7.98,281.8,3.0,1.16,0.094,0.039,1.4
