,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,辽宁省,04-01 04:00,Ⅳ,11.0,8.54,14.58,531.7,40.2,6.65,0.025,0.104,4.51
1,辽宁省,04-01 12:00,Ⅳ,12.3,8.83,18.43,528.2,30.4,7.29,0.025,0.099,4.48
2,辽宁省,04-01 16:00,Ⅳ,13.4,8.89,20.51,522.7,35.8,7.29,0.025,0.099,4.48
3,辽宁省,04-01 20:00,Ⅳ,12.4,8.62,18.13,520.2,44.2,7.8,0.025,0.108,4.46
4,辽宁省,04-02 00:00,Ⅳ,12.1,8.47,16.0,524.7,47.1,7.37,0.025,0.11,4.44
5,辽宁省,04-02 00:00,Ⅳ,12.1,8.47,16.0,524.7,47.1,7.37,0.025,0.11,4.44
6,辽宁省,04-02 08:00,Ⅳ,11.7,8.4,14.01,531.8,37.6,6.8,0.025,0.1,4.42
7,辽宁省,04-02 12:00,Ⅳ,12.0,8.55,15.66,529.6,40.4,6.8,0.027,0.095,4.6
8,辽宁省,04-02 16:00,Ⅳ,12.4,8.6,18.07,517.2,38.0,7.14,0.025,0.106,4.41
9,辽宁省,04-02 20:00,Ⅳ,12.4,8.5,18.04,523.2,41.2,7.82,0.025,0.106,4.5
10,辽宁省,04-03 00:00,Ⅳ,12.3,8.38,16.5,524.2,40.3,7.94,0.025,0.108,4.47
11,辽宁省,04-03 00:00,Ⅳ,12.3,8.38,16.5,524.2,40.3,7.94,0.025,0.108,4.47
12,辽宁省,04-03 08:00,Ⅳ,11.1,8.26,12.88,531.6,39.0,7.48,0.025,0.107,4.51
13,辽宁省,04-03 12:00,Ⅳ,11.3,8.52,15.29,530.3,37.9,7.38,0.026,0.103,4.7
14,辽宁省,04-03 16:00,Ⅳ,11.9,8.72,17.49,524.3,42.7,8.06,0.025,0.113,4.57
15,辽宁省,04-03 20:00,Ⅳ,11.8,8.61,16.28,521.5,40.8,8.76,0.025,0.117,4.51
16,辽宁省,04-04 00:00,Ⅳ,11.4,8.44,14.58,525.6,38.9,8.46,0.025,0.108,4.51
17,辽宁省,04-04 00:00,Ⅳ,11.4,8.44,14.58,525.6,38.9,8.46,0.025,0.108,4.51
19,辽宁省,04-04 08:00,Ⅳ,10.7,8.4,13.38,532.0,32.8,7.39,0.025,0.105,4.6
20,辽宁省,04-04 12:00,Ⅳ,12.4,8.72,18.37,526.8,29.9,8.3,0.025,0.105,4.56
21,辽宁省,04-04 16:00,Ⅳ,13.3,8.79,20.61,523.4,27.8,8.65,0.025,0.093,4.52
22,辽宁省,04-04 20:00,Ⅳ,12.4,8.57,18.56,522.5,33.4,8.31,0.025,0.098,4.48
23,辽宁省,04-05 00:00,Ⅳ,11.6,8.42,15.85,528.0,32.6,8.31,0.025,0.098,4.48
24,辽宁省,04-05 04:00,Ⅳ,10.9,8.32,13.82,536.2,30.5,7.4,0.025,0.095,4.42
25,辽宁省,04-05 08:00,Ⅳ,10.6,8.36,13.65,541.0,32.8,7.36,0.027,0.084,4.71
26,辽宁省,04-05 12:00,Ⅳ,11.8,8.61,17.03,539.0,35.2,8.03,0.025,0.096,4.5
27,辽宁省,04-05 16:00,Ⅳ,12.6,8.72,19.02,525.3,36.9,9.04,0.025,0.101,4.43
29,辽宁省,04-01 12:00,Ⅱ,9.1,7.42,11.64,124.4,5.3,1.06,0.025,0.029,2.11
30,辽宁省,04-01 12:00,Ⅱ,9.1,7.42,11.64,124.4,5.3,1.06,0.025,0.029,2.11
31,辽宁省,04-01 16:00,Ⅱ,9.8,7.43,11.66,124.8,6.0,1.14,0.025,0.034,2.18
32,辽宁省,04-01 20:00,Ⅱ,9.1,7.39,11.37,124.8,6.2,1.19,0.025,0.032,2.15
33,辽宁省,04-02 00:00,Ⅱ,8.4,7.36,11.05,124.4,6.9,1.19,0.025,0.032,2.18
34,辽宁省,04-02 04:00,Ⅱ,8.7,7.34,11.09,124.7,8.3,1.21,0.025,0.034,2.14
35,辽宁省,04-02 08:00,Ⅱ,9.5,7.4,11.5,125.4,4.7,1.1,0.025,0.033,2.23
36,辽宁省,04-02 12:00,Ⅱ,9.8,7.78,11.65,125.4,5.3,1.11,0.025,0.031,2.17
37,辽宁省,04-02 16:00,Ⅰ,9.5,7.74,11.36,125.0,6.6,1.12,0.025,0.011,2.16
38,辽宁省,04-03 00:00,Ⅰ,9.0,7.69,10.91,125.1,6.9,1.11,0.025,0.005,2.17
39,辽宁省,04-03 00:00,Ⅰ,9.0,7.69,10.91,125.1,6.9,1.24,0.025,0.005,2.16
40,辽宁省,04-03 08:00,Ⅰ,8.8,7.69,10.9,124.4,7.0,1.12,0.025,0.007,2.19
41,辽宁省,04-03 12:00,Ⅰ,8.6,7.67,10.83,124.1,19.2,1.54,0.025,0.005,2.2
42,辽宁省,04-03 12:00,Ⅰ,8.6,7.67,10.83,124.1,19.2,1.65,0.027,0.006,2.24
43,辽宁省,04-03 16:00,Ⅰ,8.9,7.74,11.24,123.9,11.1,1.6,0.025,0.005,2.19
44,辽宁省,04-03 20:00,Ⅰ,8.8,7.74,10.98,124.1,10.1,1.59,0.025,0.006,2.18
45,辽宁省,04-04 00:00,Ⅰ,8.5,7.73,10.81,124.0,8.2,1.51,0.025,0.006,2.17
47,辽宁省,04-04 08:00,Ⅰ,9.3,7.73,10.9,123.2,9.0,1.7,0.025,0.005,2.15
48,辽宁省,04-04 12:00,Ⅰ,8.0,7.64,10.53,125.6,12.5,1.48,0.035,0.005,2.22
49,辽宁省,04-04 20:00,Ⅰ,8.6,7.72,10.74,124.5,7.4,1.6,0.027,0.006,2.2
50,辽宁省,04-04 20:00,Ⅰ,8.6,7.72,10.74,124.5,7.4,1.48,0.025,0.006,2.13
51,辽宁省,04-05 00:00,Ⅰ,8.7,7.75,10.9,124.0,6.5,1.48,0.025,0.006,2.13
52,辽宁省,04-05 04:00,Ⅰ,8.8,7.74,10.82,123.8,6.8,1.68,0.025,0.006,2.17
53,辽宁省,04-05 12:00,Ⅰ,9.8,7.76,11.23,123.3,8.8,1.49,0.025,0.005,2.16
54,辽宁省,04-05 16:00,Ⅰ,10.2,7.79,11.3,122.8,12.5,1.52,0.025,0.007,2.19
55,辽宁省,04-05 20:00,Ⅰ,10.0,7.78,11.14,122.9,9.8,1.47,0.025,0.007,2.21
56,辽宁省,04-01 04:00,Ⅱ,10.3,8.73,13.25,759.5,8.4,3.38,0.047,0.04,9.5
57,辽宁省,04-01 12:00,Ⅲ,12.1,8.81,13.8,775.9,7.1,4.02,0.049,0.045,9.88
58,辽宁省,04-01 12:00,Ⅲ,12.1,8.81,13.8,775.9,7.1,4.02,0.049,0.045,9.88
59,辽宁省,04-01 16:00,Ⅱ,12.8,8.86,13.16,756.9,10.1,2.65,0.04,0.04,9.41
60,辽宁省,04-01 20:00,Ⅱ,12.8,8.87,13.44,768.4,12.2,3.88,0.042,0.044,9.68
61,辽宁省,04-02 00:00,Ⅱ,12.2,8.85,13.62,768.8,17.9,4.03,0.043,0.047,9.93
62,辽宁省,04-02 04:00,Ⅱ,11.9,8.82,15.12,768.6,13.4,3.98,0.035,0.049,10.04
63,辽宁省,04-02 08:00,Ⅲ,11.6,8.8,15.14,770.7,10.9,4.03,0.036,0.045,9.84
65,辽宁省,04-02 16:00,Ⅲ,11.9,8.92,15.35,761.6,11.1,4.11,0.033,0.044,9.69
68,辽宁省,04-03 04:00,Ⅱ,11.2,8.65,14.75,775.3,10.2,3.87,0.039,0.044,10.09
70,辽宁省,04-03 12:00,Ⅱ,10.8,8.57,13.11,779.5,12.6,3.5,0.05,0.047,10.11
71,辽宁省,04-03 16:00,Ⅱ,10.8,8.57,12.54,776.1,12.8,3.79,0.056,0.046,10.19
72,辽宁省,04-03 20:00,Ⅱ,10.5,8.52,12.19,780.4,12.0,3.71,0.062,0.046,10.17
73,辽宁省,04-04 00:00,Ⅱ,10.3,8.48,11.87,781.8,11.2,3.52,0.06,0.045,10.07
75,辽宁省,04-04 04:00,Ⅱ,10.2,8.45,11.59,782.4,11.1,3.64,0.063,0.046,10.04
76,辽宁省,04-04 12:00,Ⅱ,10.9,8.54,11.98,778.8,9.5,2.26,0.057,0.043,10.03
77,辽宁省,04-04 16:00,Ⅱ,11.5,8.61,12.41,775.3,8.6,3.77,0.057,0.043,10.08
78,辽宁省,04-04 20:00,Ⅱ,10.7,8.57,12.25,779.5,8.7,3.51,0.054,0.041,9.87
79,辽宁省,04-04 20:00,Ⅱ,10.7,8.57,12.25,779.5,8.7,3.51,0.054,0.041,9.87
80,辽宁省,04-05 04:00,Ⅱ,10.5,8.51,11.74,778.2,8.7,3.4,0.053,0.042,9.82
81,辽宁省,04-05 08:00,Ⅱ,10.6,8.53,12.33,777.9,8.6,3.39,0.052,0.041,9.94
82,辽宁省,04-05 12:00,Ⅱ,10.7,8.44,11.09,775.3,11.0,3.37,0.059,0.044,9.95
83,辽宁省,04-05 16:00,Ⅱ,10.8,8.47,11.16,775.4,10.0,3.65,0.067,0.044,9.8
84,辽宁省,04-01 04:00,Ⅲ,9.4,8.22,10.92,652.7,58.2,5.06,0.3,0.129,4.11
85,辽宁省,04-01 12:00,Ⅲ,10.9,8.37,11.62,648.2,60.3,5.52,0.27,0.109,3.9
86,辽宁省,04-01 12:00,Ⅲ,10.9,8.37,11.62,648.2,60.3,5.52,0.27,0.109,3.9
87,辽宁省,04-01 16:00,Ⅲ,11.9,8.43,11.49,644.6,43.1,5.15,0.26,0.108,4.09
88,辽宁省,04-01 20:00,Ⅲ,11.2,8.42,11.19,646.0,40.0,5.24,0.249,0.1,3.85
89,辽宁省,04-01 20:00,Ⅲ,11.2,8.42,11.19,646.0,40.0,5.24,0.249,0.1,3.85
92,辽宁省,04-02 04:00,Ⅲ,10.8,8.32,10.91,652.3,41.2,4.83,0.26,0.097,3.91
93,辽宁省,04-02 16:00,Ⅲ,11.4,8.47,11.66,654.7,36.1,5.24,0.239,0.096,3.68
94,辽宁省,04-02 20:00,Ⅲ,11.2,8.42,11.15,657.1,35.9,4.74,0.212,0.093,3.76
95,辽宁省,04-02 20:00,Ⅲ,11.2,8.42,11.15,657.1,35.9,4.74,0.212,0.093,3.76
96,辽宁省,04-03 04:00,Ⅲ,10.7,8.35,10.76,656.7,35.9,4.87,0.239,0.095,3.73
97,辽宁省,04-03 08:00,Ⅲ,10.0,8.37,11.02,656.7,34.3,4.51,0.228,0.09,3.68
98,辽宁省,04-03 12:00,Ⅲ,10.7,8.48,11.85,658.8,38.5,5.15,0.222,0.097,3.65
99,辽宁省,04-03 16:00,Ⅲ,11.3,8.54,11.84,665.5,40.5,5.15,0.232,0.102,3.64
100,辽宁省,04-03 20:00,Ⅲ,10.5,8.55,11.46,665.1,40.9,5.24,0.214,0.104,3.77
101,辽宁省,04-03 20:00,Ⅲ,10.5,8.55,11.46,665.1,40.9,5.24,0.214,0.104,3.77
103,辽宁省,04-04 04:00,Ⅲ,9.3,8.44,11.05,668.2,37.9,4.92,0.197,0.103,3.89
104,辽宁省,04-04 12:00,Ⅲ,11.1,8.52,12.06,683.8,45.0,5.61,0.227,0.112,3.76
105,辽宁省,04-04 16:00,Ⅲ,12.3,8.53,11.66,691.0,57.1,5.52,0.222,0.118,3.65
106,辽宁省,04-04 20:00,Ⅲ,11.3,8.54,11.53,684.4,71.7,5.47,0.176,0.133,4.24
107,辽宁省,04-04 20:00,Ⅲ,11.3,8.54,11.53,684.4,71.7,5.47,0.176,0.133,4.24
108,辽宁省,04-05 04:00,Ⅲ,9.7,8.44,11.06,699.8,81.3,5.89,0.165,0.14,4.17
109,辽宁省,04-05 08:00,Ⅲ,9.6,8.45,11.14,695.4,79.2,5.84,0.158,0.134,4.17
110,辽宁省,04-05 12:00,Ⅳ,11.7,8.58,11.95,676.5,89.9,6.48,0.126,0.152,3.8
111,辽宁省,04-05 16:00,Ⅳ,13.0,8.63,11.52,670.4,104.9,6.9,0.11,0.154,5.27
112,辽宁省,04-01 04:00,Ⅱ,10.2,7.87,10.12,643.8,4.8,2.13,0.292,0.049,5.17
113,辽宁省,04-01 12:00,Ⅱ,12.4,8.19,12.78,632.1,4.5,2.33,0.259,0.083,5.09
114,辽宁省,04-01 16:00,Ⅱ,12.4,8.27,13.11,629.3,5.0,2.33,0.259,0.083,5.09
115,辽宁省,04-01 20:00,Ⅱ,11.5,8.03,11.28,638.0,7.4,2.49,0.232,0.061,5.03
116,辽宁省,04-02 00:00,Ⅱ,11.6,7.94,10.76,639.0,7.3,2.39,0.24,0.058,4.93
117,辽宁省,04-02 00:00,Ⅱ,11.6,7.94,10.76,639.0,7.3,2.39,0.24,0.058,4.93
118,辽宁省,04-02 08:00,Ⅱ,11.6,7.99,11.21,639.1,4.4,2.24,0.242,0.055,5.02
119,辽宁省,04-02 12:00,Ⅱ,12.3,8.16,12.53,631.8,4.7,2.18,0.228,0.051,4.93
120,辽宁省,04-02 16:00,Ⅱ,12.2,8.18,12.31,630.4,6.2,2.24,0.207,0.049,4.98
121,辽宁省,04-02 20:00,Ⅱ,11.5,7.91,10.53,639.5,7.3,2.34,0.197,0.05,4.94
122,辽宁省,04-03 00:00,Ⅱ,11.5,7.9,10.36,638.0,8.4,2.26,0.228,0.048,5.03
123,辽宁省,04-03 00:00,Ⅱ,11.5,7.9,10.36,638.0,8.4,2.26,0.228,0.048,5.03
124,辽宁省,04-03 08:00,Ⅱ,11.0,7.88,10.16,637.0,4.9,2.2,0.23,0.051,4.99
125,辽宁省,04-03 12:00,Ⅱ,12.0,8.1,12.04,632.2,4.9,2.18,0.219,0.051,4.89
126,辽宁省,04-03 16:00,Ⅱ,12.1,8.14,12.18,629.8,6.1,2.24,0.193,0.046,4.86
127,辽宁省,04-03 20:00,Ⅱ,11.1,7.97,10.62,635.9,8.0,2.28,0.189,0.047,4.92
128,辽宁省,04-04 00:00,Ⅱ,11.0,7.91,10.27,637.5,7.6,2.22,0.186,0.052,5.04
129,辽宁省,04-04 00:00,Ⅱ,11.0,7.91,10.27,637.5,7.6,2.22,0.186,0.052,5.04
132,辽宁省,04-04 12:00,Ⅱ,12.7,7.9,12.17,627.3,5.8,2.17,0.129,0.048,4.92
133,辽宁省,04-04 16:00,Ⅱ,12.6,7.94,12.24,625.3,6.3,2.37,0.123,0.051,4.84
134,辽宁省,04-04 20:00,Ⅱ,11.5,7.76,10.66,631.5,7.7,2.27,0.128,0.054,4.88
135,辽宁省,04-05 00:00,Ⅱ,11.4,7.73,10.42,630.0,7.7,2.27,0.128,0.054,4.88
136,辽宁省,04-05 04:00,Ⅱ,11.0,7.69,10.13,628.7,7.6,2.21,0.121,0.048,4.95
137,辽宁省,04-05 08:00,Ⅱ,11.4,7.78,11.02,628.1,5.4,2.18,0.109,0.045,4.81
138,辽宁省,04-05 12:00,Ⅱ,13.2,7.94,12.22,621.1,7.4,2.33,0.101,0.051,4.83
139,辽宁省,04-05 16:00,Ⅱ,12.5,7.96,11.85,620.3,9.5,2.48,0.101,0.052,4.76
140,辽宁省,04-01 04:00,Ⅰ,9.8,7.82,10.26,433.2,3.4,1.45,0.025,0.012,5.56
141,辽宁省,04-01 12:00,Ⅰ,14.2,8.36,16.14,417.0,4.6,1.17,0.025,0.013,5.57
142,辽宁省,04-01 12:00,Ⅰ,14.2,8.36,16.14,417.0,4.6,1.17,0.025,0.013,5.57
