,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,重庆市,04-01 08:00,Ⅱ,15.1,8.11,8.95,436.7,2.8,0.96,0.086,0.038,2.54
1,重庆市,04-01 12:00,Ⅱ,15.6,8.09,9.04,447.6,3.3,0.96,0.082,0.038,2.62
2,重庆市,04-01 12:00,Ⅱ,15.6,8.09,9.04,447.6,3.3,0.96,0.082,0.038,2.62
3,重庆市,04-01 16:00,Ⅱ,15.4,8.15,9.23,445.3,2.3,1.09,0.125,0.039,2.64
4,重庆市,04-01 20:00,Ⅱ,15.2,8.18,9.47,448.3,2.3,1.07,0.118,0.04,2.63
5,重庆市,04-02 00:00,Ⅱ,15.1,8.12,9.23,448.0,2.3,1.07,0.118,0.04,2.63
6,重庆市,04-02 04:00,Ⅱ,15.0,8.09,9.18,444.4,2.0,1.11,0.115,0.041,2.66
7,重庆市,04-02 08:00,Ⅱ,15.0,8.1,8.85,443.0,1.9,1.06,0.125,0.04,2.69
8,重庆市,04-02 12:00,Ⅱ,15.1,8.12,9.12,445.7,5.2,1.1,0.12,0.04,2.69
9,重庆市,04-02 16:00,Ⅱ,15.2,8.14,9.36,444.8,3.7,0.25,0.126,0.041,2.68
10,重庆市,04-02 20:00,Ⅱ,15.1,8.17,9.4,438.5,4.3,0.25,0.117,0.041,2.63
11,重庆市,04-03 00:00,Ⅱ,15.1,8.13,9.11,440.1,3.0,0.25,0.117,0.041,2.63
12,重庆市,04-03 04:00,Ⅱ,14.8,8.13,9.14,428.1,3.5,1.03,0.116,0.036,2.56
13,重庆市,04-03 08:00,Ⅱ,14.7,8.11,9.15,422.7,5.0,1.06,0.13,0.036,2.57
14,重庆市,04-03 12:00,Ⅱ,15.2,8.1,9.32,431.4,7.2,0.98,0.126,0.037,2.55
15,重庆市,04-03 16:00,Ⅱ,15.2,8.17,9.64,419.0,11.2,1.04,0.127,0.035,2.51
16,重庆市,04-03 20:00,Ⅱ,14.9,8.19,9.65,415.2,21.2,0.72,0.147,0.035,2.47
17,重庆市,04-04 00:00,Ⅱ,14.8,8.13,9.24,426.9,12.9,0.72,0.147,0.035,2.47
18,重庆市,04-04 04:00,Ⅱ,14.7,8.12,9.14,417.2,8.2,0.79,0.132,0.035,2.5
19,重庆市,04-04 08:00,Ⅱ,14.7,8.12,9.1,425.5,8.4,0.79,0.132,0.035,2.5
20,重庆市,04-04 12:00,Ⅱ,15.1,8.09,9.14,443.4,18.8,0.81,0.163,0.038,2.62
21,重庆市,04-04 16:00,Ⅱ,15.1,8.12,9.34,446.0,11.0,0.8,0.139,0.038,2.65
22,重庆市,04-04 20:00,Ⅱ,15.9,8.09,8.97,424.4,6.7,0.81,0.134,0.04,2.64
23,重庆市,04-05 00:00,Ⅱ,14.7,8.07,9.08,442.3,8.0,0.81,0.134,0.04,2.64
28,重庆市,04-01 16:00,Ⅲ,21.0,8.3,8.84,923.1,22.3,4.91,0.05,0.163,3.32
29,重庆市,04-01 20:00,Ⅲ,20.8,8.21,7.54,882.5,17.0,4.8,0.069,0.145,3.26
30,重庆市,04-02 00:00,Ⅲ,20.7,8.12,6.35,885.6,22.1,4.8,0.069,0.145,3.26
31,重庆市,04-02 04:00,Ⅲ,20.5,8.18,7.4,957.5,26.2,4.88,0.08,0.169,3.43
32,重庆市,04-02 08:00,Ⅲ,20.4,8.19,7.7,991.1,26.8,4.92,0.087,0.17,3.8
33,重庆市,04-02 12:00,Ⅲ,20.4,8.22,7.59,998.8,27.1,5.03,0.087,0.18,4.36
34,重庆市,04-02 16:00,Ⅲ,20.4,8.26,7.64,1014.5,26.2,4.81,0.085,0.176,4.56
35,重庆市,04-02 20:00,Ⅲ,20.4,8.27,7.16,1020.1,23.7,4.52,0.082,0.172,4.86
36,重庆市,04-03 00:00,Ⅲ,20.2,8.23,6.67,1008.5,24.2,4.52,0.082,0.172,4.86
37,重庆市,04-03 04:00,Ⅲ,20.1,8.18,6.27,1000.4,21.6,4.43,0.105,0.179,5.39
38,重庆市,04-03 08:00,Ⅲ,20.1,8.15,6.03,1002.2,24.0,4.36,0.125,0.183,5.17
39,重庆市,04-03 12:00,Ⅲ,20.4,8.2,6.76,992.7,19.7,4.39,0.123,0.183,5.37
40,重庆市,04-03 16:00,Ⅲ,20.6,8.18,6.86,939.7,15.5,4.36,0.125,0.17,4.8
41,重庆市,04-03 20:00,Ⅲ,20.4,8.15,6.48,976.3,19.9,4.24,0.129,0.181,5.17
42,重庆市,04-04 00:00,Ⅲ,20.4,8.22,6.86,996.9,19.1,4.24,0.129,0.181,5.17
44,重庆市,04-04 08:00,Ⅲ,20.2,8.14,6.54,1019.1,23.9,4.07,0.109,0.194,5.27
45,重庆市,04-04 12:00,Ⅲ,20.3,8.16,6.85,1020.5,20.8,4.11,0.102,0.199,5.45
46,重庆市,04-04 16:00,Ⅲ,20.4,8.2,7.51,991.7,19.9,4.32,0.101,0.191,5.18
47,重庆市,04-04 20:00,Ⅲ,20.2,8.08,6.08,945.6,15.8,4.14,0.119,0.177,4.57
48,重庆市,04-05 00:00,Ⅲ,20.1,8.04,5.7,951.5,17.5,4.14,0.119,0.177,4.57
49,重庆市,04-05 04:00,Ⅲ,20.1,8.05,5.52,982.3,20.7,4.14,0.113,0.191,4.7
50,重庆市,04-05 08:00,Ⅲ,20.0,8.1,6.11,1034.9,26.0,3.98,0.086,0.199,4.89
51,重庆市,04-05 12:00,Ⅳ,20.2,8.12,6.91,1047.6,25.2,3.95,0.077,0.206,5.21
52,重庆市,04-05 16:00,Ⅳ,20.6,8.25,9.16,1046.8,20.6,4.27,0.063,0.207,5.36
53,重庆市,04-01 08:00,Ⅲ,20.3,8.39,22.3,457.9,13.9,5.01,0.025,0.048,0.96
54,重庆市,04-01 12:00,Ⅲ,19.7,7.94,14.44,489.5,9.2,5.14,0.025,0.065,1.19
55,重庆市,04-01 16:00,Ⅲ,20.2,8.32,19.04,455.8,14.7,5.14,0.025,0.065,1.19
56,重庆市,04-01 20:00,Ⅲ,20.1,8.26,18.37,455.7,7.9,5.24,0.025,0.058,1.02
57,重庆市,04-02 00:00,Ⅲ,20.0,8.25,17.33,457.5,6.4,4.96,0.029,0.055,1.01
