,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,陕西省,04-01 08:00,Ⅲ,15.5,8.18,8.28,528.8,18.0,1.02,0.09,0.122,4.13
1,陕西省,04-01 12:00,Ⅲ,15.4,8.32,9.37,528.1,15.7,0.94,0.076,0.111,4.03
2,陕西省,04-01 16:00,Ⅲ,15.2,8.36,9.25,524.1,15.8,0.94,0.076,0.111,4.03
3,陕西省,04-01 20:00,Ⅲ,14.9,8.32,8.73,524.6,16.2,0.92,0.066,0.12,4.07
4,陕西省,04-02 00:00,Ⅲ,14.6,8.3,8.68,527.5,16.7,0.84,0.063,0.109,4.01
5,陕西省,04-02 04:00,Ⅲ,14.4,8.26,8.69,528.2,20.6,0.84,0.063,0.109,4.01
6,陕西省,04-02 08:00,Ⅲ,14.1,8.25,8.98,528.3,23.8,0.9,0.053,0.129,4.07
7,陕西省,04-02 12:00,Ⅲ,14.0,8.36,9.77,526.6,21.6,1.0,0.052,0.124,4.05
8,陕西省,04-02 16:00,Ⅲ,14.0,8.39,9.74,526.3,20.9,0.86,0.046,0.112,4.03
9,陕西省,04-02 20:00,Ⅲ,13.8,8.32,9.3,529.1,23.2,1.0,0.055,0.122,4.05
10,陕西省,04-03 00:00,Ⅲ,13.6,8.29,9.07,529.3,22.9,1.14,0.191,0.139,4.38
11,陕西省,04-03 04:00,Ⅲ,13.3,8.24,9.24,529.2,24.2,1.14,0.191,0.139,4.38
12,陕西省,04-03 08:00,Ⅲ,13.1,8.25,9.22,529.2,25.6,1.12,0.185,0.128,4.42
13,陕西省,04-03 12:00,Ⅲ,13.2,8.35,9.95,529.1,26.9,1.13,0.134,0.134,4.29
14,陕西省,04-03 16:00,Ⅲ,13.6,8.39,9.93,522.5,21.2,1.77,0.104,0.126,4.26
15,陕西省,04-03 20:00,Ⅲ,13.3,8.36,9.61,534.6,23.1,1.87,0.078,0.121,4.24
16,陕西省,04-04 00:00,Ⅲ,13.2,8.35,9.48,540.1,20.9,1.76,0.071,0.133,4.36
17,陕西省,04-04 04:00,Ⅲ,13.0,8.31,9.39,542.0,22.8,1.76,0.071,0.133,4.36
20,陕西省,04-04 12:00,Ⅲ,13.0,8.35,10.09,539.5,22.3,1.9,0.201,0.14,4.5
21,陕西省,04-04 16:00,Ⅲ,12.9,8.38,10.22,533.7,21.4,1.88,0.201,0.132,4.41
22,陕西省,04-04 20:00,Ⅲ,12.9,8.34,9.69,527.0,22.3,1.83,0.186,0.115,4.41
23,陕西省,04-05 00:00,Ⅲ,12.7,8.32,9.57,519.6,22.2,1.83,0.17,0.115,4.41
