,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,青海省,04-01 04:00,Ⅰ,4.0,8.1,7.67,952.0,6.9,1.51,0.025,0.01,1.38
1,青海省,04-01 12:00,Ⅰ,5.1,8.13,8.55,968.2,2.0,1.64,0.025,0.011,1.43
2,青海省,04-01 12:00,Ⅰ,5.1,8.13,8.55,968.2,2.0,1.64,0.025,0.011,1.43
3,青海省,04-01 16:00,Ⅰ,7.0,8.19,9.32,1023.0,2.5,1.76,0.025,0.011,1.41
4,青海省,04-01 20:00,Ⅰ,6.5,8.2,9.23,1014.7,2.1,1.43,0.029,0.01,1.44
5,青海省,04-02 00:00,Ⅰ,4.4,8.12,8.29,955.6,2.6,4.05,0.025,0.012,1.51
6,青海省,04-02 04:00,Ⅱ,3.6,8.1,8.12,940.2,4.0,2.94,0.031,0.013,1.55
8,青海省,04-02 12:00,Ⅰ,6.0,8.16,9.13,990.7,2.3,1.13,0.025,0.014,1.52
9,青海省,04-02 16:00,Ⅰ,9.9,8.2,9.47,1104.9,3.4,1.31,0.025,0.011,1.49
10,青海省,04-02 20:00,Ⅰ,7.9,8.21,9.18,1048.3,2.4,1.26,0.025,0.011,1.44
12,青海省,04-03 04:00,Ⅱ,6.3,8.05,7.43,1002.3,2.4,1.75,0.033,0.011,1.56
13,青海省,04-03 08:00,Ⅱ,5.8,8.0,7.05,986.5,2.0,1.85,0.032,0.013,1.54
14,青海省,04-03 12:00,Ⅰ,6.8,8.05,8.16,1014.7,6.2,1.47,0.034,0.012,1.55
15,青海省,04-03 16:00,Ⅰ,7.7,8.14,8.87,1044.7,6.1,1.44,0.025,0.011,1.46
16,青海省,04-03 20:00,Ⅰ,7.2,8.14,8.71,1035.5,6.2,1.48,0.027,0.01,1.48
17,青海省,04-04 00:00,Ⅰ,5.4,8.06,7.94,984.2,7.1,1.77,0.03,0.01,1.52
20,青海省,04-04 12:00,Ⅰ,7.1,8.09,8.84,1021.6,6.1,0.83,0.028,0.01,1.43
21,青海省,04-04 16:00,Ⅰ,12.2,8.16,9.05,1178.8,8.3,0.25,0.025,0.01,1.42
56,青海省,04-01 04:00,Ⅱ,4.2,8.06,8.16,374.2,12.1,2.45,0.029,0.025,1.97
57,青海省,04-01 12:00,Ⅱ,4.6,8.51,9.96,368.8,16.0,2.65,0.025,0.019,1.95
58,青海省,04-01 12:00,Ⅱ,4.6,8.51,9.96,368.8,16.0,2.65,0.025,0.019,1.95
59,青海省,04-01 16:00,Ⅱ,6.1,8.57,9.48,366.1,12.9,2.05,0.025,0.02,1.93
60,青海省,04-01 20:00,Ⅱ,4.9,8.22,8.19,368.7,14.3,2.07,0.025,0.019,1.95
61,青海省,04-02 00:00,Ⅱ,3.5,8.08,8.38,376.7,12.0,2.2,0.033,0.021,2.0
62,青海省,04-02 04:00,Ⅱ,3.2,8.08,8.58,375.1,15.6,2.2,0.029,0.022,2.11
63,青海省,04-02 08:00,Ⅱ,2.9,8.18,9.07,375.8,18.6,3.46,0.069,0.037,2.32
64,青海省,04-02 12:00,Ⅱ,4.8,8.56,10.19,367.4,11.9,2.01,0.025,0.025,2.15
65,青海省,04-02 16:00,Ⅱ,7.0,8.61,9.69,364.1,16.2,2.23,0.025,0.028,2.23
66,青海省,04-02 20:00,Ⅱ,6.1,8.21,7.78,371.0,26.1,2.89,0.028,0.05,2.4
67,青海省,04-03 00:00,Ⅱ,4.6,8.06,8.0,378.8,28.5,3.5,0.056,0.065,2.58
68,青海省,04-03 04:00,Ⅴ,3.7,8.05,8.04,396.5,79.5,10.31,0.408,0.32,4.71
69,青海省,04-03 08:00,Ⅲ,3.3,8.11,8.42,389.2,49.5,5.95,0.211,0.138,3.52
70,青海省,04-03 12:00,Ⅲ,4.7,8.39,9.11,380.0,36.1,4.93,0.202,0.113,3.14
71,青海省,04-03 16:00,Ⅱ,5.6,8.46,8.76,371.7,22.7,2.44,0.047,0.043,2.27
72,青海省,04-03 20:00,Ⅱ,5.2,8.22,7.79,375.3,24.6,1.98,0.06,0.033,2.15
73,青海省,04-04 00:00,Ⅱ,4.3,8.07,7.83,379.3,21.0,2.2,0.041,0.05,2.25
75,青海省,04-04 04:00,Ⅱ,3.8,8.08,7.79,378.5,43.2,2.96,0.045,0.057,2.38
76,青海省,04-04 12:00,Ⅱ,5.0,8.48,8.96,373.0,27.4,2.78,0.05,0.052,2.32
77,青海省,04-04 16:00,Ⅱ,7.5,8.64,8.65,365.7,46.9,2.08,0.025,0.035,2.11
78,青海省,04-04 20:00,Ⅱ,6.8,8.27,6.91,369.1,23.2,2.14,0.025,0.033,2.08
79,青海省,04-04 20:00,Ⅱ,6.8,8.27,6.91,369.1,23.2,2.14,0.025,0.033,2.08
80,青海省,04-05 04:00,Ⅱ,3.6,8.06,7.27,382.2,44.4,2.55,0.065,0.044,2.26
81,青海省,04-05 08:00,Ⅲ,2.7,8.15,7.82,385.5,63.5,4.17,0.129,0.087,2.72
82,青海省,04-05 12:00,Ⅱ,6.4,8.56,8.51,373.1,29.7,2.86,0.045,0.055,2.3
83,青海省,04-05 16:00,Ⅱ,10.6,8.65,7.82,364.1,30.8,2.61,0.025,0.049,2.17
84,青海省,04-01 12:00,Ⅱ,8.7,8.55,11.08,331.0,24.0,1.34,0.025,0.021,1.03
85,青海省,04-01 16:00,Ⅱ,8.7,8.54,11.17,331.0,25.0,1.34,0.025,0.021,1.03
86,青海省,04-01 20:00,Ⅱ,8.6,8.54,11.35,331.0,90.0,1.45,0.025,0.024,1.04
87,青海省,04-02 00:00,Ⅱ,8.3,8.54,11.38,323.0,115.0,1.45,0.025,0.024,1.04
88,青海省,04-02 04:00,Ⅱ,8.2,8.54,11.26,322.0,56.0,1.45,0.025,0.024,1.04
89,青海省,04-02 08:00,Ⅰ,8.2,8.55,11.19,312.0,58.0,1.61,0.044,0.005,1.08
90,青海省,04-02 12:00,Ⅰ,8.2,8.54,11.26,296.0,117.0,1.4,0.048,0.005,1.12
