,Province,Date,Class,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,黑龙江省,04-01 08:00,Ⅳ,6.5,6.53,7.98,124.7,80.9,6.32,0.354,0.12,2.32
1,黑龙江省,04-01 12:00,Ⅳ,6.5,6.53,8.05,123.1,80.9,6.32,0.351,0.122,2.43
2,黑龙江省,04-01 12:00,Ⅳ,6.5,6.53,8.05,123.1,80.9,6.41,0.345,0.122,2.27
3,黑龙江省,04-01 16:00,Ⅳ,7.0,6.53,7.92,121.3,81.0,6.43,0.339,0.122,2.16
4,黑龙江省,04-01 20:00,Ⅳ,6.6,6.53,8.03,121.7,80.9,6.39,0.34,0.119,2.25
5,黑龙江省,04-02 00:00,Ⅳ,6.6,6.53,8.02,122.3,80.9,6.39,0.34,0.119,2.25
6,黑龙江省,04-02 04:00,Ⅳ,6.3,6.53,8.08,123.0,80.9,6.33,0.335,0.117,2.16
7,黑龙江省,04-02 08:00,Ⅳ,6.3,6.53,8.14,123.1,80.8,6.12,0.327,0.117,2.29
8,黑龙江省,04-02 12:00,Ⅳ,5.7,6.54,8.3,123.5,101.4,7.02,0.346,0.161,2.84
9,黑龙江省,04-02 16:00,Ⅳ,3.8,6.39,8.4,134.0,81.0,6.43,0.328,0.12,2.16
10,黑龙江省,04-02 20:00,Ⅳ,4.7,6.46,8.11,134.7,100.0,7.37,0.352,0.183,3.96
11,黑龙江省,04-03 00:00,Ⅳ,3.5,6.52,8.89,134.1,81.0,7.37,0.352,0.183,3.96
12,黑龙江省,04-03 04:00,Ⅳ,4.0,6.59,9.66,134.1,81.0,6.65,0.334,0.124,2.18
13,黑龙江省,04-03 08:00,Ⅳ,3.2,6.63,10.32,133.6,80.9,6.38,0.328,0.121,2.33
14,黑龙江省,04-03 12:00,Ⅳ,4.0,6.64,10.09,131.1,80.9,6.2,0.317,0.118,2.03
15,黑龙江省,04-03 16:00,Ⅳ,3.8,6.7,10.78,129.5,81.0,6.27,0.316,0.12,2.06
16,黑龙江省,04-03 20:00,Ⅳ,3.2,6.71,10.9,129.5,80.9,6.18,0.317,0.116,2.04
17,黑龙江省,04-04 00:00,Ⅳ,3.7,6.71,10.67,128.5,80.8,6.18,0.317,0.116,2.04
19,黑龙江省,04-04 08:00,Ⅳ,3.8,6.71,10.72,127.7,80.7,6.08,0.302,0.111,1.89
20,黑龙江省,04-04 12:00,Ⅳ,4.1,6.72,10.74,126.2,80.7,6.0,0.296,0.112,1.86
21,黑龙江省,04-04 16:00,Ⅳ,3.5,6.72,10.82,124.0,80.9,6.03,0.291,0.11,1.79
22,黑龙江省,04-04 20:00,Ⅲ,3.5,6.72,10.6,123.8,80.7,5.97,0.294,0.109,1.76
23,黑龙江省,04-05 00:00,Ⅲ,4.0,6.71,10.31,123.2,80.6,5.97,0.294,0.109,1.76
24,黑龙江省,04-05 04:00,Ⅲ,3.2,6.7,10.45,123.2,80.6,5.86,0.28,0.105,1.69
25,黑龙江省,04-05 08:00,Ⅲ,3.5,6.69,10.38,122.2,80.5,5.69,0.271,0.105,1.83
26,黑龙江省,04-05 12:00,Ⅲ,3.7,6.72,10.72,120.1,80.6,5.77,0.271,0.105,1.69
