,Date,temp,pH,Ox,Dao,Zhuodu,Yandu,Andan,Zonglin,Zongdan
0,45393.0,17.0,7.97,12.58,762.3,11.3,5.06,0.025,0.035,3.91
1,45393.0,18.1,8.33,10.58,882.8,2.5,5.45,0.04,0.051,7.95
2,45393.0,19.3,7.69,10.42,1175.1,12.5,3.86,0.054,0.042,9.62
3,45393.0,16.2,8.38,12.49,1121.8,15.3,4.32,0.037,0.03,1.92
4,45393.0,19.6,7.86,10.05,923.8,6.9,3.16,0.035,0.059,6.35
5,45393.0,17.5,8.75,14.59,1001.1,5.6,2.84,0.034,0.049,4.49
6,45393.0,16.5,7.83,9.17,987.5,11.1,3.96,0.073,0.051,4.38
7,45393.0,18.5,8.17,11.32,1052.7,13.2,4.60,0.034,0.068,4.27
8,45393.0,17.0,7.66,9.62,1209.1,38.7,3.25,0.259,0.085,6.68
9,45393.0,19.8,8.69,16.00,1229.7,13.3,4.97,0.108,0.125,7.05
10,45393.0,17.6,8.98,--,1151.7,1.7,4.73,0.035,0.055,6.06
11,45393.0,14.1,8.32,10.76,417.8,6.7,2.30,0.025,0.005,1.17
12,45393.0,16.3,8.1,9.64,880.9,24.8,4.44,0.419,0.082,5.63
13,45393.0,10.7,8.29,11.92,437.4,2.9,2.27,0.025,0.005,1.3
14,45393.0,13.8,8.11,10.38,500.8,16.3,1.29,0.025,0.005,4.62
15,45393.0,15.4,7.97,9.46,592.8,3.3,1.11,0.025,0.005,5.27
16,45393.0,16.9,8.48,13.67,595.6,8.1,2.70,0.025,0.005,3.84
17,45393.0,14.1,8.29,7.25,547.3,21.0,0.95,0.025,0.005,11.26
18,45393.0,16.2,8.1,9.31,1073.9,13.3,,0.087,0.056,0.98
19,45393.0,16.4,8.52,15.61,868.9,3.9,3.33,0.047,0.052,1.52
20,45393.0,16.5,9.13,18.84,1568.5,5.4,5.15,0.049,0.058,1.22
21,45393.0,16.6,8.3,9.71,282.6,1.1,1.57,0.025,0.005,1.1
22,45393.0,14.2,8.67,13.90,--,8.5,4.11,0.096,0.114,2.0
23,45393.0,15.1,8.05,9.61,288.3,5.0,1.78,0.025,0.005,1.14
